SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
TNTELE,BE,2.8,3,2.8,3,3,2.9,4740,13276,04-JAN-2016,8,INE141D01018,
TNTELE,BE,3.15,3.15,3.1,3.1,3.1,3,4200,13120,05-JAN-2016,2,INE141D01018,
TNTELE,BE,3.25,3.25,3.1,3.25,3.25,3.1,955,3103,06-JAN-2016,7,INE141D01018,
TNTELE,BE,3.25,3.25,3.25,3.25,3.25,3.25,600,1950,07-JAN-2016,3,INE141D01018,
TNTELE,BE,3.2,3.25,3.2,3.25,3.25,3.25,126,408.85,08-JAN-2016,3,INE141D01018,
TNTELE,BE,3.4,3.4,3.4,3.4,3.4,3.25,550,1870,11-JAN-2016,2,INE141D01018,
TNTELE,BE,3.35,3.35,3.35,3.35,3.35,3.4,1500,5025,12-JAN-2016,1,INE141D01018,
TNTELE,BE,3.5,3.5,3.25,3.25,3.25,3.35,477,1650.2,13-JAN-2016,4,INE141D01018,
TNTELE,BE,3.1,3.1,3.1,3.1,3.1,3.25,482,1494.2,19-JAN-2016,7,INE141D01018,
TNTELE,BE,3,3,2.95,2.95,2.95,3.1,410,1210,21-JAN-2016,2,INE141D01018,
TNTELE,BE,2.9,2.9,2.9,2.9,2.9,2.95,2,5.8,22-JAN-2016,2,INE141D01018,
TNTELE,BE,3,3,3,3,3,2.9,200,600,29-JAN-2016,2,INE141D01018,
TNTELE,BE,3.1,3.15,2.85,3.15,3.15,3,1235,3855.85,02-FEB-2016,9,INE141D01018,
TNTELE,BE,3.3,3.3,3,3.2,3,3.15,2948,9601.4,03-FEB-2016,9,INE141D01018,
TNTELE,BE,3.3,3.3,3.3,3.3,3.3,3.2,19,62.7,04-FEB-2016,1,INE141D01018,
TNTELE,BE,3.35,3.35,3.35,3.35,3.35,3.3,1000,3350,05-FEB-2016,1,INE141D01018,
TNTELE,BE,3.2,3.2,3.2,3.2,3.2,3.35,1,3.2,09-FEB-2016,1,INE141D01018,
