SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
TRU,EQ,96.95,100.8,88.25,98.7,98.5,95.95,1340348,130495669.05,01-SEP-2022,10519,INE615R01029,
TRU,EQ,100.95,101,93.8,93.8,93.8,98.7,1139532,108425012.5,02-SEP-2022,13298,INE615R01029,
TRU,EQ,90.1,94.7,89.15,89.75,89.4,93.8,1451845,130640411.15,05-SEP-2022,4225,INE615R01029,
TRU,EQ,91.4,91.4,85.3,85.3,85.3,89.75,474482,41033547.35,06-SEP-2022,1166,INE615R01029,
TRU,EQ,83.7,83.7,81.05,81.05,81.05,85.3,110066,9031565.1,07-SEP-2022,1004,INE615R01029,
TRU,EQ,79.05,85.1,77.5,81.9,81.6,81.05,705779,58406674.25,08-SEP-2022,27498,INE615R01029,
TRU,EQ,82.7,84.4,78.2,78.8,78.75,81.9,336587,26887131.8,09-SEP-2022,6992,INE615R01029,
TRU,EQ,78.8,81.65,75.3,76.15,75.9,78.8,286521,22348983.35,12-SEP-2022,2151,INE615R01029,
TRU,EQ,77,78,75.75,77.2,77,76.15,756659,58464784,13-SEP-2022,1348,INE615R01029,
TRU,EQ,76,81.05,75.5,77.2,77,77.2,350474,27451830.95,14-SEP-2022,4419,INE615R01029,
TRU,EQ,77.95,79.3,74,74.75,74.55,77.2,325166,24683085.9,15-SEP-2022,2351,INE615R01029,
TRU,EQ,74.9,78.45,72.5,74.2,74.3,74.75,303466,22977923.95,16-SEP-2022,4934,INE615R01029,
TRU,EQ,74.85,75.2,72.55,73,73.3,74.2,391176,28758644.75,19-SEP-2022,1581,INE615R01029,
TRU,EQ,74.5,76,71.15,71.85,71.85,73,203672,14896283.85,20-SEP-2022,1747,INE615R01029,
TRU,EQ,72.25,72.25,68.3,68.35,68.35,71.85,483430,33142858.05,21-SEP-2022,1300,INE615R01029,
TRU,EQ,67.7,71.7,64.95,67.75,67.95,68.35,777780,53460027.3,22-SEP-2022,24576,INE615R01029,
TRU,EQ,68.75,70.9,66,66.7,66.7,67.75,590737,40373547.9,23-SEP-2022,24789,INE615R01029,
TRU,EQ,66.7,68.5,64.3,65.9,65.25,66.7,549431,36237702.25,26-SEP-2022,17836,INE615R01029,
TRU,EQ,66.55,67.25,62.65,62.65,62.65,65.9,365777,23931960.75,27-SEP-2022,1724,INE615R01029,
TRU,EQ,60,61.4,59.55,59.55,59.55,62.65,255584,15260731.4,28-SEP-2022,1180,INE615R01029,
TRU,EQ,56.6,62.5,56.6,57.85,62.5,59.55,620251,35786718.9,29-SEP-2022,1828,INE615R01029,
TRU,EQ,60.6,60.7,59,60.7,60.7,57.85,355693,21575161.75,30-SEP-2022,8109,INE615R01029,
TRU,EQ,62.8,63.7,61.65,63.7,63.55,60.7,592617,37653748.55,03-OCT-2022,2696,INE615R01029,
TRU,EQ,63.9,66.85,63.9,66.85,66.85,63.7,397072,26519491.6,04-OCT-2022,973,INE615R01029,
TRU,EQ,66.75,69.45,65,65.75,65.65,66.85,261988,17648392.75,06-OCT-2022,2547,INE615R01029,
TRU,EQ,65.75,66.5,63.55,64.25,63.6,65.75,182668,11844879.8,07-OCT-2022,1058,INE615R01029,
TRU,EQ,63.85,65,60.55,61.6,61.55,64.25,373450,23092730.55,10-OCT-2022,2218,INE615R01029,
TRU,EQ,63.6,63.6,59.8,61,63.35,61.6,101634,6318114.65,11-OCT-2022,831,INE615R01029,
TRU,EQ,61.8,63,59.55,60.75,61.5,61,124893,7681012.45,12-OCT-2022,867,INE615R01029,
TRU,EQ,61.7,64.7,58.8,60.05,60,60.75,230284,13875498.05,13-OCT-2022,2878,INE615R01029,
TRU,EQ,60.3,62.1,57.4,58.45,57.95,60.05,276408,16382695.5,14-OCT-2022,1222,INE615R01029,
TRU,EQ,58.95,60,57.1,57.9,58.15,58.45,155571,9137977.1,17-OCT-2022,1049,INE615R01029,
TRU,EQ,59.65,59.65,56.4,57.1,56.5,57.9,199664,11630198.2,18-OCT-2022,1093,INE615R01029,
TRU,EQ,58.4,58.4,53.8,57.05,57.95,57.1,637317,35390725.35,19-OCT-2022,2511,INE615R01029,
TRU,EQ,57.35,57.8,56,56.25,56.5,57.05,169514,9636101.95,20-OCT-2022,796,INE615R01029,
TRU,EQ,56.5,57.35,53.2,56.7,56,56.25,194966,10837541.6,21-OCT-2022,1804,INE615R01029,
TRU,EQ,61.7,65,60.5,64.05,64,62,402335,25277143.15,25-OCT-2022,10071,INE615R01029,
TRU,EQ,64.05,65.7,60.35,61.1,61.2,64.05,233357,14575254.1,27-OCT-2022,2288,INE615R01029,
TRU,EQ,61.15,64,60.35,60.75,60.9,61.1,167074,10269012.35,28-OCT-2022,3486,INE615R01029,
TRU,EQ,62.65,62.65,59.2,59.7,60,60.75,142551,8605135.9,31-OCT-2022,909,INE615R01029,
TRU,EQ,60.8,62,58,58.7,58.7,59.7,135052,8044486.6,01-NOV-2022,4926,INE615R01029,
TRU,EQ,58.95,62.2,57.95,60.05,60,58.7,212832,12755501.1,02-NOV-2022,14925,INE615R01029,
TRU,EQ,59,61.25,58.95,60.05,60.9,60.05,189018,11313147.8,03-NOV-2022,1338,INE615R01029,
TRU,EQ,60.05,61.8,59.5,60.1,60.25,60.05,111702,6723052.8,04-NOV-2022,3604,INE615R01029,
TRU,EQ,60.3,64.8,59.4,60.75,60.05,60.1,308150,18989640.95,07-NOV-2022,15065,INE615R01029,
TRU,EQ,60.8,64.4,60.55,61.55,61.95,60.75,227976,14137082.85,09-NOV-2022,10720,INE615R01029,
TRU,EQ,61.9,64.45,59.25,60.4,61,61.55,161070,9972470.9,10-NOV-2022,1757,INE615R01029,
TRU,EQ,61,61.5,59.7,60.7,60.1,60.4,76314,4624040.15,11-NOV-2022,829,INE615R01029,
TRU,EQ,60.9,60.9,55.5,58.95,58.2,60.7,147952,8766827.25,14-NOV-2022,1266,INE615R01029,
TRU,EQ,58.8,59.4,57.3,57.75,58.3,58.95,84888,4955858.6,15-NOV-2022,974,INE615R01029,
TRU,EQ,58.8,60.95,55.9,57.65,57.5,57.75,304042,17699983.6,16-NOV-2022,5910,INE615R01029,
TRU,EQ,58,60.35,55.5,59.1,59,57.65,410872,23636553.75,17-NOV-2022,2412,INE615R01029,
TRU,EQ,60.3,60.85,57.9,59.2,58.75,59.1,141341,8347282.95,18-NOV-2022,1303,INE615R01029,
TRU,EQ,58.55,58.8,56.35,56.9,56.9,59.2,113381,6554183.85,21-NOV-2022,868,INE615R01029,
TRU,EQ,57.9,57.9,55.6,56.05,55.85,56.9,115515,6536361.55,22-NOV-2022,918,INE615R01029,
TRU,EQ,57.4,57.4,55.1,55.8,55.45,56.05,128608,7219986.35,23-NOV-2022,805,INE615R01029,
TRU,EQ,55.8,58.4,54.85,56.65,56.2,55.8,187303,10524063.35,24-NOV-2022,3958,INE615R01029,
TRU,EQ,57.45,57.9,56.15,56.4,56.3,56.65,58550,3323960.65,25-NOV-2022,448,INE615R01029,
TRU,EQ,56.5,61.8,54.55,60.1,60,56.4,406884,23259637.95,28-NOV-2022,2644,INE615R01029,
TRU,EQ,59.95,62.4,58.5,60.15,60.7,60.1,131172,7948195.25,29-NOV-2022,8399,INE615R01029,
TRU,EQ,60.5,61.3,58.75,60.65,60.9,60.15,115862,6987188.45,30-NOV-2022,795,INE615R01029,
TRU,EQ,60,61.65,58.8,59.55,59.8,60.65,332563,19890411.8,01-DEC-2022,982,INE615R01029,
TRU,EQ,60.45,60.85,59,59.1,59.55,59.55,91593,5458565.3,02-DEC-2022,689,INE615R01029,
TRU,EQ,59.95,61.3,59.25,60.1,59.75,59.1,85703,5159454,05-DEC-2022,656,INE615R01029,
TRU,EQ,60.1,61.45,58.5,58.85,58.9,60.1,216639,12980039.45,06-DEC-2022,2318,INE615R01029,
TRU,EQ,59.75,59.75,58.45,58.85,59,58.85,85109,5031591.95,07-DEC-2022,675,INE615R01029,
TRU,EQ,59.45,70.6,58.9,67.85,67,58.85,1947943,130345702,08-DEC-2022,19900,INE615R01029,
