SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
UCAL,EQ,158,160,154.65,155.7,156.1,157.65,74879,11799847.05,26-JUL-2023,1307,INE139B01016,
UCAL,BE,156,156,147.95,147.95,147.95,155.7,57810,8638305.6,27-JUL-2023,447,INE139B01016,
UCAL,BE,149.5,149.5,140.7,142.55,143.9,147.95,41359,5944962.4,28-JUL-2023,484,INE139B01016,
UCAL,BE,142.25,147.7,140.4,146,145,142.55,18449,2684001.55,31-JUL-2023,203,INE139B01016,
UCAL,BE,146,146.9,142,144,145.85,146,12446,1792771.45,01-AUG-2023,138,INE139B01016,
UCAL,BE,144,144.1,139.5,140.05,141.8,144,27812,3916153.45,02-AUG-2023,261,INE139B01016,
UCAL,BE,140.95,143.9,139,140.95,141.5,140.05,8747,1231753.4,03-AUG-2023,130,INE139B01016,
UCAL,BE,141.8,144.65,140.1,141.25,141.05,140.95,9950,1403871.3,04-AUG-2023,118,INE139B01016,
UCAL,BE,141.9,145,140.4,142.2,142,141.25,12565,1786982.6,07-AUG-2023,137,INE139B01016,
UCAL,BE,142.2,142.9,139,139.9,139.1,142.2,10586,1489192.65,08-AUG-2023,132,INE139B01016,
UCAL,BE,140,142.5,137.25,140.85,140.2,139.9,9708,1355098.65,09-AUG-2023,155,INE139B01016,
UCAL,BE,140.85,142.9,135,135.5,137,140.85,15784,2167844.25,10-AUG-2023,250,INE139B01016,
UCAL,BE,139.5,139.5,130,130.65,132.85,135.5,24129,3180070.7,11-AUG-2023,352,INE139B01016,
UCAL,BE,130.95,133.7,129.6,131.9,132.4,130.65,10726,1410311.4,14-AUG-2023,135,INE139B01016,
UCAL,BE,133.45,134,130.1,131.75,131.3,131.9,6381,841914.1,16-AUG-2023,90,INE139B01016,
UCAL,BE,132,134.5,130,130.75,130.35,131.75,10991,1449281.1,17-AUG-2023,185,INE139B01016,
UCAL,BE,134,134,130,132.65,133,130.75,6284,828862.35,18-AUG-2023,105,INE139B01016,
UCAL,BE,133.45,139.25,130.2,136.65,139.25,132.65,24173,3272845.75,21-AUG-2023,239,INE139B01016,
UCAL,BE,140,142.9,137.55,140.5,141.5,136.65,31861,4495433.55,22-AUG-2023,236,INE139B01016,
UCAL,BE,140,143,138,138.95,140,140.5,22942,3246100.8,23-AUG-2023,157,INE139B01016,
UCAL,BE,143,143,138,138,138,138.95,14258,1977431.3,24-AUG-2023,149,INE139B01016,
UCAL,BE,141.8,141.8,137,138.15,138.15,138,18939,2616869.65,25-AUG-2023,87,INE139B01016,
UCAL,BE,140.9,142.1,138.15,139.55,140.85,138.15,21174,2976196.95,28-AUG-2023,218,INE139B01016,
UCAL,BE,140.5,143,139.6,140,140.9,139.55,11060,1557090.9,29-AUG-2023,105,INE139B01016,
UCAL,BE,142.9,142.9,138.6,140.3,140.95,140,13421,1876148.45,30-AUG-2023,113,INE139B01016,
UCAL,BE,142.8,142.8,138,138.3,139.95,140.3,12279,1709269.65,31-AUG-2023,141,INE139B01016,
UCAL,BE,141.8,142.2,138.6,141.2,140,138.3,11885,1673326.85,01-SEP-2023,114,INE139B01016,
UCAL,BE,141.9,141.9,138,138.3,139.75,141.2,21957,3050522.1,04-SEP-2023,211,INE139B01016,
UCAL,BE,139.9,141,136.05,137.55,138.9,138.3,21697,3005537.25,05-SEP-2023,222,INE139B01016,
UCAL,BE,140.9,141.85,138.2,139.05,138.55,137.55,14654,2043949.3,06-SEP-2023,148,INE139B01016,
UCAL,BE,138.15,140.7,136,138.35,138.05,139.05,26390,3639117.25,07-SEP-2023,255,INE139B01016,
UCAL,BE,141.5,141.5,138,138.45,138.05,138.35,14990,2075433,08-SEP-2023,196,INE139B01016,
UCAL,BE,140.95,141.9,138,138.75,138.95,138.45,14569,2030192.45,11-SEP-2023,171,INE139B01016,
UCAL,BE,140.9,140.9,135,135.95,135.15,138.75,8519,1160470.8,12-SEP-2023,173,INE139B01016,
UCAL,BE,138.8,140,130,135.6,137.85,135.95,29772,4029518.3,13-SEP-2023,279,INE139B01016,
UCAL,BE,135.1,138.3,135.1,137,137.7,135.6,7864,1077224.95,14-SEP-2023,119,INE139B01016,
UCAL,BE,139.9,139.9,134.45,135.15,136.8,137,8355,1140208.95,15-SEP-2023,130,INE139B01016,
UCAL,BE,135.15,138.9,134,138,137.95,135.15,14580,1984432.95,18-SEP-2023,109,INE139B01016,
UCAL,BE,138.5,139,135,137.8,137.5,138,5548,758709.65,20-SEP-2023,101,INE139B01016,
UCAL,BE,139.75,139.75,136.55,137.8,138,137.8,4905,676203.65,21-SEP-2023,79,INE139B01016,
UCAL,BE,138,139,134,136.05,136,137.8,7672,1047658.25,22-SEP-2023,88,INE139B01016,
UCAL,BE,137.7,137.7,131.05,134.8,134.9,136.05,9360,1248149.4,25-SEP-2023,148,INE139B01016,
UCAL,BE,136.45,137.9,132.6,135.4,135.8,134.8,8253,1124579.05,26-SEP-2023,92,INE139B01016,
UCAL,BE,135.4,136.9,131,133,134.2,135.4,5539,739631.8,27-SEP-2023,96,INE139B01016,
UCAL,BE,135.8,136,132,133.9,135.5,133,4861,649684.95,28-SEP-2023,66,INE139B01016,
UCAL,BE,135.65,135.65,131.5,133.45,135,133.9,4633,621307.5,29-SEP-2023,61,INE139B01016,
UCAL,BE,135.45,135.6,132.1,133.45,134.25,133.45,4319,578024.2,03-OCT-2023,88,INE139B01016,
UCAL,BE,135.95,136.35,132.5,136.05,136.2,133.45,13144,1785021.25,04-OCT-2023,127,INE139B01016,
UCAL,BE,137.85,137.85,133.5,133.7,133.65,136.05,16067,2167142.9,05-OCT-2023,126,INE139B01016,
UCAL,BE,133.5,136.8,132.2,134.2,135,133.7,6511,874165.4,06-OCT-2023,124,INE139B01016,
UCAL,BE,134.2,134.2,132,132.1,132,134.2,6522,863794.2,09-OCT-2023,76,INE139B01016,
UCAL,BE,134.95,134.95,131.75,133.8,134.75,132.1,3843,512655.75,10-OCT-2023,80,INE139B01016,
UCAL,BE,133.05,136.95,132.25,133.1,135.4,133.8,10409,1397433.6,11-OCT-2023,141,INE139B01016,
UCAL,BE,133.15,136.75,133,133.45,133.9,133.1,6909,927010.45,12-OCT-2023,76,INE139B01016,
UCAL,BE,135.7,139,134.6,138.15,137.9,133.45,21162,2908199.35,13-OCT-2023,197,INE139B01016,
