SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
UEL,BE,25.85,27.1,25.85,27.1,27.1,2.25,2438,66038.55,16-APR-2024,104,INE899L01030,
UEL,BE,28.45,28.45,28.45,28.45,28.45,27.1,1964,55875.8,18-APR-2024,189,INE899L01030,
UEL,BE,29.85,29.85,29.85,29.85,29.85,28.45,618,18447.3,19-APR-2024,105,INE899L01030,
UEL,BE,31.3,31.3,31.3,31.3,31.3,29.85,404,12645.2,22-APR-2024,103,INE899L01030,
UEL,BE,32.85,32.85,32.85,32.85,32.85,31.3,263,8639.55,23-APR-2024,51,INE899L01030,
UEL,BE,34.45,34.45,34.45,34.45,34.45,32.85,314,10817.3,24-APR-2024,63,INE899L01030,
UEL,BE,36.15,36.15,36.15,36.15,36.15,34.45,172,6217.8,25-APR-2024,41,INE899L01030,
UEL,BE,37.95,37.95,37.95,37.95,37.95,36.15,433,16432.35,29-APR-2024,117,INE899L01030,
UEL,BE,39.8,39.8,39.8,39.8,39.8,37.95,415,16517,06-MAY-2024,93,INE899L01030,
UEL,BE,41.75,41.75,41.75,41.75,41.75,39.8,30224,1261852,13-MAY-2024,76,INE899L01030,
UEL,BE,43.8,43.8,43.8,43.8,43.8,41.75,527,23082.6,21-MAY-2024,115,INE899L01030,
UEL,BE,153.3,160.95,153.3,160.95,160.95,43.8,828,131996.7,27-MAY-2024,185,INE899L01030,
UEL,BE,168.95,168.95,168.95,168.95,168.95,160.95,947,159995.65,03-JUN-2024,212,INE899L01030,
UEL,BE,177.35,177.35,177.35,177.35,177.35,168.95,465,82467.75,04-JUN-2024,118,INE899L01030,
UEL,BE,186.2,186.2,186.2,186.2,186.2,177.35,280,52136,05-JUN-2024,93,INE899L01030,
UEL,BE,195.5,195.5,195.5,195.5,195.5,186.2,322,62951,06-JUN-2024,80,INE899L01030,
UEL,BE,205.25,205.25,205.25,205.25,205.25,195.5,1076,220849,07-JUN-2024,108,INE899L01030,
UEL,BE,215.51,215.51,215.51,215.51,215.51,205.25,454,97841.54,10-JUN-2024,94,INE899L01030,
UEL,BE,226.28,226.28,226.28,226.28,226.28,215.51,249,56343.72,11-JUN-2024,81,INE899L01030,
UEL,BE,237.59,237.59,237.59,237.59,237.59,226.28,425,100975.75,18-JUN-2024,121,INE899L01030,
UEL,BE,249.46,249.46,249.46,249.46,249.46,237.59,587,146433.02,24-JUN-2024,117,INE899L01030,
UEL,BE,261.93,261.93,261.93,261.93,261.93,249.46,289,75697.77,01-JUL-2024,95,INE899L01030,
