SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
UNIENTER,EQ,40.5,42.3,40.5,40.55,40.5,40.2,6670,273161.6,01-JAN-2016,37,INE037A01022,
UNIENTER,EQ,40.95,40.95,39.5,39.5,39.5,40.55,352,14124.5,04-JAN-2016,6,INE037A01022,
UNIENTER,EQ,40.5,43.5,39.75,42.65,42.85,39.5,54810,2314330.75,05-JAN-2016,267,INE037A01022,
UNIENTER,EQ,43.15,43.25,41.3,42,42,42.65,21393,914770.65,06-JAN-2016,132,INE037A01022,
UNIENTER,EQ,41,41,38.8,39.85,39.6,42,18116,722471.3,07-JAN-2016,77,INE037A01022,
UNIENTER,EQ,40,41,39.45,40.05,40.5,39.85,2246,90295.9,08-JAN-2016,27,INE037A01022,
UNIENTER,EQ,39.1,40,36.15,39.75,39.75,40.05,10758,411787.65,11-JAN-2016,72,INE037A01022,
UNIENTER,EQ,39.2,39.75,37.75,38,37.75,39.75,2530,96959.3,12-JAN-2016,71,INE037A01022,
UNIENTER,EQ,38.6,38.6,32.25,36.35,36.45,38,23901,833858.8,13-JAN-2016,310,INE037A01022,
UNIENTER,EQ,35,37.4,33.55,36.1,36.1,36.35,7086,256254.85,14-JAN-2016,87,INE037A01022,
UNIENTER,EQ,36.9,37.7,34.3,34.9,34.3,36.1,10932,388173.95,15-JAN-2016,71,INE037A01022,
UNIENTER,EQ,34.15,35.35,32.2,34.6,34.3,34.9,17880,609483.75,18-JAN-2016,114,INE037A01022,
UNIENTER,EQ,34.5,35.95,32.6,33.45,33.25,34.6,38514,1286063.2,19-JAN-2016,216,INE037A01022,
UNIENTER,EQ,33,33.85,31.3,33.5,33.85,33.45,4940,161492.7,20-JAN-2016,35,INE037A01022,
UNIENTER,EQ,33.55,35.7,31.25,33.4,33.45,33.5,7869,262672.1,21-JAN-2016,63,INE037A01022,
UNIENTER,EQ,33,35.7,32.9,35.25,34.85,33.4,5440,188609.95,22-JAN-2016,26,INE037A01022,
UNIENTER,EQ,36,36.4,34.1,35.25,35.1,35.25,16442,582809,25-JAN-2016,80,INE037A01022,
UNIENTER,EQ,35.1,36.25,35.1,35.25,35.25,35.25,1370,48273.9,27-JAN-2016,12,INE037A01022,
UNIENTER,EQ,36,36.7,36,36,36.15,35.25,958,34564.7,28-JAN-2016,9,INE037A01022,
UNIENTER,EQ,37.2,37.95,36.5,36.95,36.9,36,7721,284758.6,29-JAN-2016,28,INE037A01022,
UNIENTER,EQ,36.9,37.55,35.8,36,36,36.95,1879,68407.65,01-FEB-2016,42,INE037A01022,
UNIENTER,EQ,35.5,35.5,33.3,34.8,34.8,36,3126,107122.15,02-FEB-2016,42,INE037A01022,
UNIENTER,EQ,34.2,35.2,33.15,34.15,34.8,34.8,6346,213149.7,03-FEB-2016,68,INE037A01022,
UNIENTER,EQ,34.8,34.9,33.05,34.4,33.9,34.15,2666,91202.65,04-FEB-2016,38,INE037A01022,
UNIENTER,EQ,34,34.9,33.4,34.65,34.9,34.4,21,728.1,05-FEB-2016,6,INE037A01022,
UNIENTER,EQ,34,34,33.7,33.8,33.75,34.65,2230,75367.4,08-FEB-2016,11,INE037A01022,
UNIENTER,EQ,35.75,35.75,32.35,33.25,33.1,33.8,2957,99391.4,09-FEB-2016,78,INE037A01022,
UNIENTER,EQ,33.1,34.5,33.1,34.1,34.1,33.25,290,9672.8,10-FEB-2016,8,INE037A01022,
UNIENTER,EQ,33.6,34,31,31.15,31,34.1,20506,648042.8,11-FEB-2016,93,INE037A01022,
UNIENTER,EQ,31.35,33.5,30.15,31.6,33.5,31.15,2595,81730.75,12-FEB-2016,29,INE037A01022,
UNIENTER,EQ,32.3,34.75,32.15,32.5,32.15,31.6,5674,184643.1,15-FEB-2016,27,INE037A01022,
UNIENTER,EQ,33,33.8,30.5,32.1,31.5,32.5,7681,249361.9,16-FEB-2016,29,INE037A01022,
UNIENTER,EQ,31.5,32,29.2,31.25,31,32.1,4537,139901.8,17-FEB-2016,36,INE037A01022,
UNIENTER,EQ,31,32.45,30.4,31.65,31.5,31.25,4489,141970.25,18-FEB-2016,34,INE037A01022,
