SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
UNIVASTU,EQ,29.1,33.2,29.1,33.2,33.2,27.7,7406,224826.25,22-JUN-2020,130,INE562X01013,
UNIVASTU,EQ,39.8,39.8,39.8,39.8,39.8,33.2,759,30208.2,23-JUN-2020,9,INE562X01013,
UNIVASTU,EQ,47.75,47.75,35.05,40.65,41.95,39.8,184459,7545690.35,24-JUN-2020,1754,INE562X01013,
UNIVASTU,EQ,42.45,42.45,36.25,38.7,38.1,40.65,27127,1057547.4,25-JUN-2020,506,INE562X01013,
UNIVASTU,EQ,40,40,33.2,35.2,35.5,38.7,53298,1900101.2,26-JUN-2020,735,INE562X01013,
UNIVASTU,EQ,35.2,35.2,28.2,32.55,32.5,35.2,41083,1322362.75,29-JUN-2020,305,INE562X01013,
UNIVASTU,EQ,32.55,33.95,32,32.1,32,32.55,8791,286489.6,30-JUN-2020,109,INE562X01013,
UNIVASTU,EQ,32,38.5,30.2,34.65,35,32.1,10290,348690.9,01-JUL-2020,208,INE562X01013,
UNIVASTU,EQ,34.65,36,32.1,32.75,33,34.65,30821,1025222.55,02-JUL-2020,142,INE562X01013,
UNIVASTU,EQ,34.65,34.65,32.1,32.65,32.3,32.75,4841,159275.75,03-JUL-2020,99,INE562X01013,
UNIVASTU,EQ,31.65,33,31.55,31.7,31.6,32.65,9169,291403.35,06-JUL-2020,138,INE562X01013,
UNIVASTU,EQ,31.7,32.8,30,31.85,32.3,31.7,6320,197535.95,07-JUL-2020,90,INE562X01013,
UNIVASTU,EQ,30.35,32.4,30.35,31.1,31.85,31.85,5563,172880.35,08-JUL-2020,109,INE562X01013,
UNIVASTU,EQ,30.3,31.6,30.15,30.8,30.8,31.1,2976,92431.7,09-JUL-2020,48,INE562X01013,
UNIVASTU,EQ,30.8,31.8,28,30.55,30,30.8,5179,155716.4,10-JUL-2020,91,INE562X01013,
UNIVASTU,EQ,30.55,30.6,29.5,29.7,29.65,30.55,2249,67451.9,13-JUL-2020,28,INE562X01013,
UNIVASTU,EQ,31.35,31.35,29.2,29.65,29.55,29.7,692,20695.6,14-JUL-2020,18,INE562X01013,
UNIVASTU,EQ,30,30,28.3,28.55,29.8,29.65,1608,46218.05,15-JUL-2020,43,INE562X01013,
UNIVASTU,EQ,28.1,28.55,26.85,27.15,27.9,28.55,2471,67726.75,16-JUL-2020,70,INE562X01013,
UNIVASTU,EQ,27.95,32.55,26.05,31.9,32.55,27.15,45440,1392101.95,17-JUL-2020,480,INE562X01013,
UNIVASTU,EQ,33.5,38.25,31.9,38.1,38.25,31.9,122442,4559117.5,20-JUL-2020,1152,INE562X01013,
UNIVASTU,EQ,38.7,42.3,34.2,40.6,39.15,38.1,142229,5586612.6,21-JUL-2020,1348,INE562X01013,
UNIVASTU,EQ,40,40,36.25,36.8,38.1,40.6,25552,960423.55,22-JUL-2020,457,INE562X01013,
UNIVASTU,EQ,39,39,36,36.25,36.5,36.8,15559,573735.05,23-JUL-2020,201,INE562X01013,
UNIVASTU,EQ,35.35,36.5,33.1,33.75,33.55,36.25,17202,586098.5,24-JUL-2020,215,INE562X01013,
UNIVASTU,EQ,34.5,35,31.55,34.05,34.6,33.75,7144,238678.95,27-JUL-2020,115,INE562X01013,
UNIVASTU,EQ,33,34.75,32.2,32.55,32.3,34.05,3081,101285.35,28-JUL-2020,69,INE562X01013,
UNIVASTU,EQ,32.3,34.65,32.2,33.05,32.3,32.55,9083,297164.95,29-JUL-2020,110,INE562X01013,
UNIVASTU,EQ,34.35,34.35,32.3,32.8,32.3,33.05,1905,62970.35,30-JUL-2020,46,INE562X01013,
UNIVASTU,EQ,32.8,33.9,30.55,32.1,32.65,32.8,5165,164177.5,31-JUL-2020,68,INE562X01013,
UNIVASTU,EQ,30.2,37,29.4,31.55,31.7,32.1,5855,183995.65,03-AUG-2020,85,INE562X01013,
UNIVASTU,EQ,31.9,31.9,30.55,31.5,31.5,31.55,4465,139990.7,04-AUG-2020,47,INE562X01013,
UNIVASTU,EQ,30.6,31.5,30,30.8,30,31.5,3937,121399.05,05-AUG-2020,57,INE562X01013,
