SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
UNIVPHOTO,BE,58.8,61.65,55.9,60.1,60.1,234.85,18934,1094294.65,14-FEB-2020,247,INE03V001013,
UNIVPHOTO,BE,59.8,63.1,59.65,60,60,60.1,4685,290432.05,17-FEB-2020,45,INE03V001013,
UNIVPHOTO,BE,62.8,63,62.8,63,63,60,629,39618.6,18-FEB-2020,15,INE03V001013,
UNIVPHOTO,BE,66.05,66.15,66.05,66.15,66.15,63,614,40614.2,19-FEB-2020,20,INE03V001013,
UNIVPHOTO,BE,69.45,69.45,69.45,69.45,69.45,66.15,658,45698.1,20-FEB-2020,15,INE03V001013,
UNIVPHOTO,BE,72.9,72.9,69.45,72.75,72.75,69.45,8483,616455.75,24-FEB-2020,108,INE03V001013,
UNIVPHOTO,BE,75.6,75.6,69.15,73,73,72.75,1744,122462.45,25-FEB-2020,47,INE03V001013,
UNIVPHOTO,BE,70.7,73.9,70.15,73,73,73,3572,260272.1,26-FEB-2020,51,INE03V001013,
UNIVPHOTO,BE,69.35,75.55,69.35,69.4,69.35,73,9626,681712.75,27-FEB-2020,88,INE03V001013,
UNIVPHOTO,BE,70,70,65.95,65.95,65.95,69.4,815,54185.2,28-FEB-2020,22,INE03V001013,
UNIVPHOTO,EQ,78.7,78.7,57.05,61.45,57.05,65.95,1465,93443.35,02-MAR-2020,40,INE03V001013,
UNIVPHOTO,EQ,61.5,62.5,54.55,57.65,57.65,61.45,3123,181757.4,03-MAR-2020,57,INE03V001013,
UNIVPHOTO,EQ,55,58.95,51,54.95,55.85,57.65,1189,63352.75,04-MAR-2020,50,INE03V001013,
UNIVPHOTO,EQ,50.05,65.9,50.05,59.8,56,54.95,2633,155008.05,05-MAR-2020,59,INE03V001013,
