SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
VARDMNPOLY,EQ,51.8,52.5,49.15,50.7,50.6,49.8,5117,258967.5,01-JAN-2016,54,INE835A01011,
VARDMNPOLY,EQ,50.7,55.95,47.3,50.85,50.9,50.7,88006,4674779.35,04-JAN-2016,872,INE835A01011,
VARDMNPOLY,EQ,49.3,58.7,49.3,55.15,54.75,50.85,118813,6602555.4,05-JAN-2016,1090,INE835A01011,
VARDMNPOLY,EQ,56.8,61.5,54.65,56.85,56.8,55.15,118423,6907469.15,06-JAN-2016,866,INE835A01011,
VARDMNPOLY,EQ,56,57.65,54.5,55.15,55,56.85,26776,1503237.7,07-JAN-2016,190,INE835A01011,
VARDMNPOLY,EQ,57,57.3,54,56.55,56.4,55.15,4538,253760.45,08-JAN-2016,84,INE835A01011,
VARDMNPOLY,EQ,56.4,56.7,52.7,54.3,54,56.55,5762,315934.95,11-JAN-2016,119,INE835A01011,
VARDMNPOLY,EQ,54.25,57.9,52.9,53.9,53,54.3,4020,219238.5,12-JAN-2016,77,INE835A01011,
VARDMNPOLY,EQ,53.75,55.85,48,50.75,50.8,53.9,11323,565107.15,13-JAN-2016,173,INE835A01011,
VARDMNPOLY,EQ,49.3,51.2,46.7,49.05,49,50.75,3479,173487.6,14-JAN-2016,62,INE835A01011,
VARDMNPOLY,EQ,51,52,48,48.4,48.45,49.05,1102,53573.05,15-JAN-2016,50,INE835A01011,
VARDMNPOLY,EQ,47.5,47.5,43.3,43.55,43.5,48.4,7170,317082.8,18-JAN-2016,95,INE835A01011,
VARDMNPOLY,EQ,44.1,45.5,43.3,43.6,43.7,43.55,8338,371249.45,19-JAN-2016,64,INE835A01011,
VARDMNPOLY,EQ,43,44.5,40.7,41.85,42.5,43.6,27386,1144868,20-JAN-2016,50,INE835A01011,
VARDMNPOLY,EQ,43.5,44.7,42.05,42.2,43.5,41.85,2131,90869.7,21-JAN-2016,27,INE835A01011,
VARDMNPOLY,EQ,44,44.75,43,43.85,44,42.2,3366,147606.8,22-JAN-2016,37,INE835A01011,
VARDMNPOLY,EQ,45.6,48,43.5,44,44.55,43.85,18341,820537.95,25-JAN-2016,150,INE835A01011,
VARDMNPOLY,EQ,43,45.5,42.3,42.8,42.55,44,8489,371286.9,27-JAN-2016,142,INE835A01011,
VARDMNPOLY,EQ,43.8,43.8,41.8,42,41.8,42.8,6493,276242.95,28-JAN-2016,119,INE835A01011,
VARDMNPOLY,EQ,42.2,43,41.65,42.15,42,42,11636,490440.2,29-JAN-2016,63,INE835A01011,
VARDMNPOLY,EQ,42.55,43.8,41.6,42,41.8,42.15,9683,409344.8,01-FEB-2016,134,INE835A01011,
VARDMNPOLY,EQ,41.5,43,39.1,40.35,39.7,42,4694,191868.7,02-FEB-2016,100,INE835A01011,
VARDMNPOLY,EQ,39.5,40.3,37.65,38.35,38.7,40.35,11827,458335.25,03-FEB-2016,110,INE835A01011,
VARDMNPOLY,EQ,40.2,43.5,38.3,40.25,40.05,38.35,38426,1564516.55,04-FEB-2016,295,INE835A01011,
VARDMNPOLY,EQ,40.05,42,40.05,40.6,40.6,40.25,1508,61387.9,05-FEB-2016,30,INE835A01011,
VARDMNPOLY,EQ,41,42.25,40.6,41,41.8,40.6,1384,57176.7,08-FEB-2016,24,INE835A01011,
VARDMNPOLY,EQ,42.2,42.2,38.6,41.55,41.55,41,633,26270.8,09-FEB-2016,14,INE835A01011,
VARDMNPOLY,EQ,40.4,42,38.2,39,39,41.55,925,36190.55,10-FEB-2016,31,INE835A01011,
VARDMNPOLY,EQ,38,39.75,36.3,37.45,36.35,39,1561,59523.25,11-FEB-2016,85,INE835A01011,
VARDMNPOLY,EQ,36,38.4,35.1,37.9,38.4,37.45,476,17344.75,12-FEB-2016,7,INE835A01011,
VARDMNPOLY,EQ,36,40,32.9,39.3,39.05,37.9,1789,69441.2,15-FEB-2016,52,INE835A01011,
VARDMNPOLY,EQ,39.05,42.6,37,38.65,38.5,39.3,1601,63105.05,16-FEB-2016,53,INE835A01011,
