SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
VIPULLTD,EQ,53.15,53.55,53.15,53.55,53.55,52.5,4622,246735.25,01-JAN-2016,35,INE946H01037,
VIPULLTD,EQ,54.6,54.6,53.2,53.2,53.2,53.55,6116,333349.6,04-JAN-2016,25,INE946H01037,
VIPULLTD,EQ,53,54.25,53,54.25,54.25,53.2,4626,249985,05-JAN-2016,22,INE946H01037,
VIPULLTD,EQ,55,55.3,53.7,54.85,54.85,54.25,3510,192640.65,06-JAN-2016,20,INE946H01037,
VIPULLTD,EQ,53.8,54.5,53.8,53.8,53.8,54.85,1900,102350,07-JAN-2016,12,INE946H01037,
VIPULLTD,EQ,53.8,53.8,52.75,52.75,52.75,53.8,2322,122759.55,08-JAN-2016,18,INE946H01037,
VIPULLTD,EQ,52,52.85,51.7,52.65,52.65,52.75,984,51355.7,11-JAN-2016,15,INE946H01037,
VIPULLTD,EQ,52.1,52.5,52.1,52.5,52.5,52.65,600,31395,12-JAN-2016,4,INE946H01037,
VIPULLTD,EQ,52,52.5,51.45,51.45,51.45,52.5,2076,107116.35,13-JAN-2016,29,INE946H01037,
VIPULLTD,EQ,51.45,51.45,50.45,50.45,50.45,51.45,1755,88839.75,14-JAN-2016,10,INE946H01037,
VIPULLTD,EQ,50.65,50.65,49.45,49.45,49.45,50.45,589,29127.25,15-JAN-2016,4,INE946H01037,
VIPULLTD,EQ,49,50.4,49,50,50,49.45,200310,9915467.5,18-JAN-2016,8,INE946H01037,
VIPULLTD,EQ,49,49,49,49,49,50,21050,1031450,19-JAN-2016,11,INE946H01037,
VIPULLTD,EQ,49.1,49.1,48.05,48.05,48.05,49,1000,48155,20-JAN-2016,3,INE946H01037,
VIPULLTD,EQ,48.05,48.05,48.05,48.05,48.05,48.05,500,24025,21-JAN-2016,3,INE946H01037,
VIPULLTD,EQ,47.1,47.1,47.1,47.1,47.1,48.05,30,1413,22-JAN-2016,3,INE946H01037,
