SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
VISHNU,EQ,418.6,425,411,417.5,417.95,417.45,7617,3200009.9,01-JAN-2016,361,INE270I01014,
VISHNU,EQ,415,419.95,398,402.35,400,417.5,23118,9446550.5,04-JAN-2016,940,INE270I01014,
VISHNU,EQ,403.05,430,395.15,405.6,405,402.35,41120,16820418.3,05-JAN-2016,1621,INE270I01014,
VISHNU,EQ,403,414,392.25,396.05,397,405.6,21475,8655172.85,06-JAN-2016,903,INE270I01014,
VISHNU,EQ,380,397.6,380,386.05,385.3,396.05,15332,5930461.65,07-JAN-2016,866,INE270I01014,
VISHNU,EQ,387.25,401.2,387.25,393.4,391,386.05,11062,4373469.05,08-JAN-2016,493,INE270I01014,
VISHNU,EQ,397.05,397.65,376.6,394.5,397,393.4,10525,4108230.6,11-JAN-2016,570,INE270I01014,
VISHNU,EQ,395,400,385.05,387.8,385.05,394.5,8574,3345927.45,12-JAN-2016,301,INE270I01014,
VISHNU,EQ,390.25,397.6,350,374.75,370,387.8,21186,7779748.35,13-JAN-2016,907,INE270I01014,
VISHNU,EQ,365,383,351.85,371.75,371.85,374.75,4220,1560681.65,14-JAN-2016,273,INE270I01014,
VISHNU,EQ,374.95,388.3,340,347.15,340,371.75,11124,3989942.1,15-JAN-2016,385,INE270I01014,
VISHNU,EQ,335,357,315.05,322.55,325,347.15,19602,6539742.85,18-JAN-2016,1234,INE270I01014,
VISHNU,EQ,315.95,331,313.4,323.2,322,322.55,13449,4369381.3,19-JAN-2016,696,INE270I01014,
VISHNU,EQ,315.05,325,295,305.4,304,323.2,10953,3373630.95,20-JAN-2016,394,INE270I01014,
VISHNU,EQ,312,333,301.5,308.05,312.45,305.4,8118,2512764.75,21-JAN-2016,351,INE270I01014,
VISHNU,EQ,312.45,320.95,305.95,316.1,317.1,308.05,5164,1636806.25,22-JAN-2016,255,INE270I01014,
VISHNU,EQ,320.05,341.95,315.5,319.7,315.5,316.1,3650,1191294.3,25-JAN-2016,355,INE270I01014,
VISHNU,EQ,320,320,304,306.55,309,319.7,18769,5926144.6,27-JAN-2016,210,INE270I01014,
VISHNU,EQ,309.95,317.5,300.05,301.45,300.05,306.55,27712,8522335.05,28-JAN-2016,516,INE270I01014,
VISHNU,EQ,309.95,309.95,290,299.65,298.95,301.45,29233,8713953.15,29-JAN-2016,272,INE270I01014,
VISHNU,EQ,304.95,306.95,296,298.55,296,299.65,5978,1801749.45,01-FEB-2016,172,INE270I01014,
VISHNU,EQ,303,307,295,297.3,299,298.55,18163,5453796.35,02-FEB-2016,371,INE270I01014,
VISHNU,EQ,292.2,298,292,293.65,292,297.3,5923,1744562.05,03-FEB-2016,259,INE270I01014,
VISHNU,EQ,294,298,261,274.6,282,293.65,12193,3424471.6,04-FEB-2016,334,INE270I01014,
VISHNU,EQ,275,282.9,270.95,279.8,282.6,274.6,1263,349801.5,05-FEB-2016,164,INE270I01014,
VISHNU,EQ,285,293,275.05,281.25,280.65,279.8,3033,869015.1,08-FEB-2016,249,INE270I01014,
VISHNU,EQ,278,292.7,272.1,282.5,281,281.25,2346,658624.8,09-FEB-2016,193,INE270I01014,
VISHNU,EQ,270,288,266.05,268.55,271,282.5,9361,2560914.3,10-FEB-2016,198,INE270I01014,
VISHNU,EQ,268,268,225.35,240.6,242,268.55,18965,4819008.05,11-FEB-2016,500,INE270I01014,
VISHNU,EQ,249,249,221,231.9,234.8,240.6,7177,1630437.65,12-FEB-2016,207,INE270I01014,
VISHNU,EQ,234,248,227,243.6,246,231.9,6213,1472569.6,15-FEB-2016,392,INE270I01014,
VISHNU,EQ,245,245,196,198.8,196,243.6,50222,10481544.5,16-FEB-2016,1180,INE270I01014,
VISHNU,EQ,193.5,204.95,179.05,193.5,193,198.8,112653,21414089.7,17-FEB-2016,1706,INE270I01014,
VISHNU,EQ,190.05,207,190,193.4,191,193.5,9457,1874565.45,18-FEB-2016,586,INE270I01014,
VISHNU,EQ,193,210,193,202.95,204,193.4,12493,2531637.15,19-FEB-2016,463,INE270I01014,
VISHNU,EQ,203.55,206,195,196.2,195,202.95,5808,1157273.5,22-FEB-2016,327,INE270I01014,
VISHNU,EQ,193.05,196.8,185.2,186.3,189.4,196.2,6996,1327075.3,23-FEB-2016,359,INE270I01014,
VISHNU,EQ,184.2,184.2,172,175.35,178.95,186.3,17826,3167962,24-FEB-2016,474,INE270I01014,
