SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
VMART,EQ,636,644,614.05,617.35,621.8,640.7,26961,16928892.05,01-JAN-2016,1120,INE665J01013,
VMART,EQ,624,630,578.2,584.5,582.1,617.35,32305,19498407.7,04-JAN-2016,1484,INE665J01013,
VMART,EQ,585,593.5,575,579.35,584.15,584.5,12609,7325232.45,05-JAN-2016,807,INE665J01013,
VMART,EQ,580,587.85,560.1,565.85,560.2,579.35,20313,11615447.45,06-JAN-2016,1328,INE665J01013,
VMART,EQ,560,560,525.15,541.85,540.45,565.85,30704,16602891.15,07-JAN-2016,2331,INE665J01013,
VMART,EQ,541.85,557,540,548.75,554.95,541.85,24671,13544496.7,08-JAN-2016,1296,INE665J01013,
VMART,EQ,547,585,525.2,579.15,584,548.75,20750,11759377.9,11-JAN-2016,1072,INE665J01013,
VMART,EQ,584.8,619.9,580.5,585.1,584,579.15,125300,75194253.8,12-JAN-2016,2391,INE665J01013,
VMART,EQ,593.7,593.75,538,551.6,544.2,585.1,14788,8191422.85,13-JAN-2016,1062,INE665J01013,
VMART,EQ,541.05,544.5,529.95,543.55,544.5,551.6,8666,4678961.3,14-JAN-2016,509,INE665J01013,
VMART,EQ,559.65,559.7,523,527.5,532,543.55,9751,5248802.7,15-JAN-2016,1082,INE665J01013,
VMART,EQ,524,550,524,537.95,545,527.5,11791,6300330.9,18-JAN-2016,1045,INE665J01013,
VMART,EQ,527.15,580,527.15,564.05,565.05,537.95,21162,11569578.65,19-JAN-2016,1447,INE665J01013,
VMART,EQ,547.3,564,540,553.75,546,564.05,11660,6449601.55,20-JAN-2016,442,INE665J01013,
VMART,EQ,563.95,566,550,563.35,565,553.75,21164,11857374.55,21-JAN-2016,412,INE665J01013,
VMART,EQ,558,576,542.25,548.65,543.2,563.35,3599,2008137.15,22-JAN-2016,350,INE665J01013,
VMART,EQ,557.9,557.9,540,545.45,545,548.65,2960,1623125.95,25-JAN-2016,262,INE665J01013,
VMART,EQ,546,557.85,540.1,552.4,555.65,545.45,3305,1823090.6,27-JAN-2016,223,INE665J01013,
VMART,EQ,552.95,570,541.5,561.55,565.05,552.4,2877,1604254.8,28-JAN-2016,229,INE665J01013,
VMART,EQ,560.6,610,554.05,599.15,610,561.55,15660,9177965.1,29-JAN-2016,424,INE665J01013,
VMART,EQ,607.15,615,570.1,572.15,570.15,599.15,3344,1991772.15,01-FEB-2016,411,INE665J01013,
VMART,EQ,583.9,598.8,563.55,572.3,575,572.15,5288,3064355.55,02-FEB-2016,360,INE665J01013,
VMART,EQ,576,576,556,571.15,575,572.3,2677,1525950.55,03-FEB-2016,116,INE665J01013,
VMART,EQ,576,576.05,564.2,569.8,570,571.15,2268,1293754.3,04-FEB-2016,115,INE665J01013,
VMART,EQ,560.05,580,560.05,565.85,565.05,569.8,1123,635039.2,05-FEB-2016,100,INE665J01013,
VMART,EQ,569.95,588.9,567.9,581.35,575,565.85,8239,4788577.65,08-FEB-2016,307,INE665J01013,
VMART,EQ,560,576.6,559.95,573.65,564.45,581.35,5919,3401096.6,09-FEB-2016,179,INE665J01013,
VMART,EQ,565,566,539.85,541.55,542.05,573.65,10112,5503668.5,10-FEB-2016,330,INE665J01013,
VMART,EQ,535,543.8,496,501,503.1,541.55,103795,55899967.15,11-FEB-2016,617,INE665J01013,
VMART,EQ,500.05,514.95,499,501,512,501,36255,18133319.65,12-FEB-2016,199,INE665J01013,
VMART,EQ,501,520,488.6,510.5,501.1,501,4135,2092092.15,15-FEB-2016,228,INE665J01013,
VMART,EQ,502.95,513.9,484,489.8,490.2,510.5,1728,869402.6,16-FEB-2016,106,INE665J01013,
VMART,EQ,489,502.95,440,492.95,490,489.8,11725,5458991.55,17-FEB-2016,1044,INE665J01013,
VMART,EQ,491.05,503,475,481.65,480.05,492.95,2101,1022021.7,18-FEB-2016,157,INE665J01013,
VMART,EQ,501,501,452.15,463.6,457,481.65,3531,1662582.05,19-FEB-2016,160,INE665J01013,
VMART,EQ,465.1,472,445.2,456.3,456.1,463.6,776,356059,22-FEB-2016,65,INE665J01013,
VMART,EQ,466.6,466.6,450,458.5,459.95,456.3,1129,514844.35,23-FEB-2016,90,INE665J01013,
VMART,EQ,474.95,474.95,437.35,449.65,450,458.5,3320,1484172.95,24-FEB-2016,271,INE665J01013,
VMART,EQ,469.95,470,445.25,457.2,454,449.65,2099,953412.75,25-FEB-2016,92,INE665J01013,
VMART,EQ,454.05,454.05,436.2,448.7,449,457.2,12779,5669508.4,26-FEB-2016,2160,INE665J01013,
VMART,EQ,442.05,467.6,438.5,441.85,449,448.7,2246,1006899.95,29-FEB-2016,149,INE665J01013,
VMART,EQ,454,499.8,448.3,486.25,480.2,441.85,4888,2281359.1,01-MAR-2016,1134,INE665J01013,
VMART,EQ,495,514,494.95,500,500,486.25,18114,9065601.9,02-MAR-2016,302,INE665J01013,
VMART,EQ,520,520,490.15,515.3,515,500,3679,1883822.8,03-MAR-2016,201,INE665J01013,
VMART,EQ,515.15,550,510,538.8,550,515.3,5817,3103997.5,04-MAR-2016,243,INE665J01013,
VMART,EQ,544.5,545,525.1,528.3,528,538.8,828,441765.6,08-MAR-2016,77,INE665J01013,
VMART,EQ,528.3,528.3,516,524,516,528.3,268,139648.15,09-MAR-2016,27,INE665J01013,
