SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
VSTL,BE,425,446.25,420,446.25,446.25,151,2222492,967706127.65,20-FEB-2024,40933,INE0QTF01015,
VSTL,BE,423.95,423.95,423.95,423.95,423.95,446.25,80898,34296707.1,21-FEB-2024,3136,INE0QTF01015,
VSTL,BE,402.75,402.75,402.75,402.75,402.75,423.95,15208,6125022,22-FEB-2024,1213,INE0QTF01015,
VSTL,BE,382.65,382.65,382.65,382.65,382.65,402.75,38217,14623735.05,23-FEB-2024,1473,INE0QTF01015,
VSTL,BE,363.55,363.55,363.55,363.55,363.55,382.65,21909,7965016.95,26-FEB-2024,1295,INE0QTF01015,
VSTL,BE,345.4,381.7,345.4,354.25,355,363.55,753465,269795349.25,27-FEB-2024,16664,INE0QTF01015,
VSTL,BE,341,349,336.55,336.55,336.55,354.25,166349,56194460.65,28-FEB-2024,4913,INE0QTF01015,
VSTL,BE,319.75,319.75,319.75,319.75,319.75,336.55,54518,17432130.5,29-FEB-2024,1749,INE0QTF01015,
VSTL,BE,320,335.7,309,332.6,333.1,319.75,292423,95656544.85,01-MAR-2024,7039,INE0QTF01015,
VSTL,BE,338,342.95,324.55,337.1,338.55,341.6,122736,40954726.6,04-MAR-2024,3383,INE0QTF01015,
VSTL,EQ,339.95,342,312,313.85,313,337.1,282913,90506414.2,05-MAR-2024,9202,INE0QTF01015,
VSTL,EQ,315.65,319,295,313.2,311.05,313.85,236215,72139669.25,06-MAR-2024,7036,INE0QTF01015,
VSTL,EQ,315.9,324.6,300,301.85,302.4,313.2,224291,69363126.6,07-MAR-2024,6347,INE0QTF01015,
VSTL,EQ,302,302.45,264.05,265.85,265.9,301.85,485273,134508655.1,11-MAR-2024,32841,INE0QTF01015,
VSTL,EQ,265.75,269.75,243.1,246.5,245,265.85,371473,93199728.75,12-MAR-2024,24998,INE0QTF01015,
VSTL,EQ,247.3,261.75,228.2,232.45,231.8,246.5,294826,71547472.05,13-MAR-2024,16538,INE0QTF01015,
VSTL,EQ,237.05,258.75,234,250.55,254.5,232.45,232401,57226881.6,14-MAR-2024,5810,INE0QTF01015,
VSTL,EQ,257,257,243,253.2,252,250.55,143685,35862136.8,15-MAR-2024,4136,INE0QTF01015,
VSTL,EQ,257,259,242.7,244.05,244.1,253.2,217506,53847970.6,18-MAR-2024,3692,INE0QTF01015,
VSTL,EQ,247.9,287,244.95,261.8,261.2,244.05,906528,241975332.4,19-MAR-2024,15290,INE0QTF01015,
VSTL,EQ,266.25,276,260,263.65,266,261.8,375796,99558726.75,20-MAR-2024,4891,INE0QTF01015,
VSTL,EQ,268.6,273.5,263.7,266.7,269,263.65,116194,31277797.5,21-MAR-2024,2967,INE0QTF01015,
VSTL,EQ,269.5,272.1,264.1,266.05,265.7,266.7,126910,33973324,22-MAR-2024,5846,INE0QTF01015,
VSTL,EQ,266.05,268.05,250.2,256.35,254,266.05,215464,55905079.1,26-MAR-2024,10472,INE0QTF01015,
VSTL,EQ,256.35,262.7,250,253.25,252.65,256.35,182398,46937824.1,27-MAR-2024,6993,INE0QTF01015,
VSTL,EQ,253.25,255.85,248.55,250.6,250,253.25,153038,38551177.45,28-MAR-2024,5425,INE0QTF01015,
VSTL,EQ,255,285,253.95,276.25,276.7,250.6,360840,98057330.75,01-APR-2024,13456,INE0QTF01015,
VSTL,EQ,279.8,283.4,274.65,279.85,281,276.25,163119,45455821.5,02-APR-2024,8221,INE0QTF01015,
VSTL,EQ,279.05,332,275.35,323.55,323.9,279.85,1147316,360555729.2,03-APR-2024,42768,INE0QTF01015,
VSTL,EQ,329.7,333,318,325.15,325,323.55,366339,119052464.7,04-APR-2024,17681,INE0QTF01015,
VSTL,EQ,325,326.4,318.1,322,322,325.15,115081,37020170.35,05-APR-2024,2931,INE0QTF01015,
VSTL,EQ,325.85,328,312.25,315.5,315.3,322,98391,31265052.2,08-APR-2024,2621,INE0QTF01015,
VSTL,EQ,318.85,318.85,302.95,307.35,307.7,315.5,105839,32653067.95,09-APR-2024,2624,INE0QTF01015,
VSTL,EQ,309.9,317,304.2,306.25,306.7,307.35,115389,35792132.5,10-APR-2024,2109,INE0QTF01015,
VSTL,EQ,305.95,313,298.05,300.5,302,306.25,145366,44073071.15,12-APR-2024,2639,INE0QTF01015,
VSTL,EQ,286.05,300.5,278.05,296.4,297.55,300.5,191592,55303265.3,15-APR-2024,4204,INE0QTF01015,
VSTL,EQ,298,308.15,293.05,297.7,296.5,296.4,140518,42039013.6,16-APR-2024,8136,INE0QTF01015,
VSTL,EQ,301.75,304,290,291.5,292,297.7,73616,21737432.35,18-APR-2024,5601,INE0QTF01015,
VSTL,EQ,288,297,271.1,291.5,291,291.5,111938,32276710.3,19-APR-2024,7238,INE0QTF01015,
VSTL,EQ,300.95,301,292.35,295.25,296.15,291.5,95611,28222484,22-APR-2024,4201,INE0QTF01015,
VSTL,EQ,295.1,304.8,291.2,294.2,293.95,295.25,115516,34411835.8,23-APR-2024,5961,INE0QTF01015,
VSTL,EQ,298.6,304,294.95,297.5,299,294.2,117038,34992141.2,24-APR-2024,7781,INE0QTF01015,
VSTL,EQ,305.65,323.8,301.3,304.1,304.5,297.5,305450,94374027.75,25-APR-2024,13336,INE0QTF01015,
VSTL,EQ,309.75,310.45,298,299.25,301.5,304.1,99045,29868727.45,26-APR-2024,5606,INE0QTF01015,
VSTL,EQ,300.05,304.65,292.55,293.75,293.15,299.25,76710,22644937.2,29-APR-2024,4959,INE0QTF01015,
VSTL,EQ,298,298,289.35,290.95,292,293.75,65306,19125653.55,30-APR-2024,4155,INE0QTF01015,
VSTL,EQ,290.95,294.9,287.3,290.75,290.55,290.95,46089,13385622.35,02-MAY-2024,2407,INE0QTF01015,
VSTL,EQ,290.95,294,288,290.85,291.2,290.75,78546,22839161.5,03-MAY-2024,4382,INE0QTF01015,
VSTL,EQ,293.8,293.8,278.1,280.95,280.95,290.85,79950,22559654.3,06-MAY-2024,4794,INE0QTF01015,
VSTL,EQ,283,286.65,277.1,281.1,280,280.95,45201,12703590.35,07-MAY-2024,4055,INE0QTF01015,
VSTL,EQ,287,287,275,276.55,276,281.1,60534,16843713.4,08-MAY-2024,3464,INE0QTF01015,
VSTL,EQ,280,280,270,271.4,271.35,276.55,41843,11401389.45,09-MAY-2024,2741,INE0QTF01015,
VSTL,EQ,270,272,263.05,267.8,270,271.4,50313,13415981.35,10-MAY-2024,4009,INE0QTF01015,
VSTL,EQ,269.9,272.4,258.75,262.95,264,267.8,57819,15199451.5,13-MAY-2024,4549,INE0QTF01015,
VSTL,EQ,263.9,271.2,263.9,267.6,269,262.95,41417,11115108.85,14-MAY-2024,3134,INE0QTF01015,
VSTL,EQ,271.85,271.85,263,263.65,264.8,267.6,50404,13427121.25,15-MAY-2024,3408,INE0QTF01015,
VSTL,BE,260,271.95,260,266.05,268,263.65,90674,24066115.6,16-MAY-2024,953,INE0QTF01015,
VSTL,BE,270,270,262.5,265.45,266.5,266.05,164130,43494178.7,17-MAY-2024,1004,INE0QTF01015,
VSTL,BE,266.05,268.5,260.8,261.45,261.1,266.4,58789,15546537.95,21-MAY-2024,1151,INE0QTF01015,
VSTL,BE,263,268.4,263,266.2,266.5,261.45,18418,4900483.9,22-MAY-2024,505,INE0QTF01015,
VSTL,BE,266,268.9,263.5,264.8,263.5,266.2,20082,5324254.55,23-MAY-2024,745,INE0QTF01015,
VSTL,BE,266,270,260,265.2,265.25,264.8,24091,6391696.55,24-MAY-2024,622,INE0QTF01015,
