SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
XPROINDIA,EQ,61.3,62.65,58.9,61.75,61.95,62.05,41888,2563974.6,01-JAN-2016,461,INE445C01015,
XPROINDIA,EQ,61.75,63,58.3,59.5,59.5,61.75,33816,2046182.35,04-JAN-2016,450,INE445C01015,
XPROINDIA,EQ,60.05,63.75,60,62.5,62.05,59.5,60180,3708710.5,05-JAN-2016,361,INE445C01015,
XPROINDIA,EQ,63,63.95,58.3,59.75,60,62.5,35358,2177764.3,06-JAN-2016,441,INE445C01015,
XPROINDIA,EQ,59.15,59.7,55.3,56.1,56,59.75,29706,1698491.4,07-JAN-2016,387,INE445C01015,
XPROINDIA,EQ,58.3,59.25,55.85,57.8,58,56.1,13161,748899.05,08-JAN-2016,218,INE445C01015,
XPROINDIA,EQ,59,59,55.55,57.8,57.8,57.8,15778,910952.25,11-JAN-2016,185,INE445C01015,
XPROINDIA,EQ,57.6,58.85,56.55,57.4,57.95,57.8,13376,769150.2,12-JAN-2016,172,INE445C01015,
XPROINDIA,EQ,57,58,50.05,53.4,52.55,57.4,24982,1317819.9,13-JAN-2016,380,INE445C01015,
XPROINDIA,EQ,52,53,49.2,51.95,51.7,53.4,12417,645520.55,14-JAN-2016,183,INE445C01015,
XPROINDIA,EQ,51,53,49.1,50.15,49.25,51.95,19168,993898.85,15-JAN-2016,217,INE445C01015,
XPROINDIA,EQ,49.2,49.2,46,46.5,46.5,50.15,17238,810099.5,18-JAN-2016,217,INE445C01015,
XPROINDIA,EQ,46.5,49.45,45.1,48.7,49.45,46.5,15161,710748.6,19-JAN-2016,102,INE445C01015,
XPROINDIA,EQ,48,48.2,45,46.25,46.3,48.7,6067,282015.2,20-JAN-2016,106,INE445C01015,
XPROINDIA,EQ,47.85,47.85,44.5,45.3,45,46.25,10023,461238.25,21-JAN-2016,129,INE445C01015,
XPROINDIA,EQ,46,48.95,46,47.7,47.05,45.3,13676,654675.65,22-JAN-2016,97,INE445C01015,
XPROINDIA,EQ,49.5,49.5,47.15,47.85,47.15,47.7,12463,608812.8,25-JAN-2016,69,INE445C01015,
XPROINDIA,EQ,47.75,52.5,47.75,49.35,49.7,47.85,14813,728664.5,27-JAN-2016,139,INE445C01015,
XPROINDIA,EQ,49,53.9,46.05,49.75,52.35,49.35,68272,3303179.35,28-JAN-2016,429,INE445C01015,
XPROINDIA,EQ,49.15,49.6,48,48.3,48.6,49.75,20811,1010038.3,29-JAN-2016,192,INE445C01015,
XPROINDIA,EQ,49.8,49.95,47.2,49.7,49.5,48.3,12000,590259.25,01-FEB-2016,100,INE445C01015,
XPROINDIA,EQ,49.2,49.2,47.3,48,48,49.7,7493,360222.75,02-FEB-2016,50,INE445C01015,
XPROINDIA,EQ,48.95,48.95,46.05,46.8,46.75,48,6089,286962.35,03-FEB-2016,151,INE445C01015,
XPROINDIA,EQ,47.1,47.95,46,46.05,46,46.8,3776,176371.2,04-FEB-2016,75,INE445C01015,
XPROINDIA,EQ,47,47,46.05,46.5,46.5,46.05,6151,286040.2,05-FEB-2016,24,INE445C01015,
XPROINDIA,EQ,48,48,46,46.95,46.95,46.5,6207,289560.8,08-FEB-2016,46,INE445C01015,
XPROINDIA,EQ,46,47.55,44.95,45.85,45.6,46.95,3662,167398.85,09-FEB-2016,58,INE445C01015,
XPROINDIA,EQ,46,47,44.55,44.65,45,45.85,2421,109373.25,10-FEB-2016,36,INE445C01015,
XPROINDIA,EQ,46,46,40.3,42.6,44,44.65,6325,274112.2,11-FEB-2016,140,INE445C01015,
XPROINDIA,EQ,42,42,39.4,41.3,41.3,42.6,7135,290501.1,12-FEB-2016,82,INE445C01015,
XPROINDIA,EQ,38.05,43.5,38.05,43.25,43.45,41.3,12402,529049.5,15-FEB-2016,115,INE445C01015,
XPROINDIA,EQ,47,47,41.8,42.5,42,43.25,4206,182031.6,16-FEB-2016,111,INE445C01015,
XPROINDIA,EQ,42,42,40.3,40.85,40.8,42.5,2164,88427.1,17-FEB-2016,48,INE445C01015,
XPROINDIA,EQ,40,41.9,40,40.7,40.4,40.85,5540,225560.7,18-FEB-2016,53,INE445C01015,
XPROINDIA,EQ,40.7,41.8,40.65,41.05,41.8,40.7,2557,104831.8,19-FEB-2016,33,INE445C01015,
XPROINDIA,EQ,41.8,44,39.9,40,39.95,41.05,13378,542470.75,22-FEB-2016,116,INE445C01015,
XPROINDIA,EQ,41.2,42,39.15,40.5,40.2,40,3117,126742.6,23-FEB-2016,70,INE445C01015,
XPROINDIA,EQ,39.2,41.65,38.1,39.2,40,40.5,6327,253562.25,24-FEB-2016,206,INE445C01015,
XPROINDIA,EQ,40,41.85,38.9,40,40,39.2,8276,333618,25-FEB-2016,109,INE445C01015,
XPROINDIA,EQ,40,40.95,39.6,39.85,40,40,4662,187727.4,26-FEB-2016,28,INE445C01015,
XPROINDIA,EQ,40.8,41,37.7,38.5,39,39.85,3772,147656.25,29-FEB-2016,93,INE445C01015,
XPROINDIA,EQ,39,41,39,40.95,40.95,38.5,3204,128607.55,01-MAR-2016,47,INE445C01015,
XPROINDIA,EQ,41,41.2,39.9,41.15,41.2,40.95,5614,228753.05,02-MAR-2016,70,INE445C01015,
XPROINDIA,EQ,41.4,43.65,40.55,43.1,43.25,41.15,8552,361659.3,03-MAR-2016,62,INE445C01015,
XPROINDIA,EQ,42.8,43.25,41.8,41.85,41.9,43.1,5713,241002.4,04-MAR-2016,94,INE445C01015,
XPROINDIA,EQ,42,43.95,41.5,42.5,42.5,41.85,2936,124796.15,08-MAR-2016,30,INE445C01015,
XPROINDIA,EQ,42,43.7,42,43.5,43.5,42.5,1611,69434,09-MAR-2016,22,INE445C01015,
XPROINDIA,EQ,43.2,43.2,41.2,42.05,42,43.5,7102,299533,10-MAR-2016,139,INE445C01015,
XPROINDIA,EQ,41.5,43.45,41.3,42.65,43,42.05,4986,214037.8,11-MAR-2016,38,INE445C01015,
XPROINDIA,EQ,43,44.15,40.45,40.85,40.55,42.65,3171,131883.55,14-MAR-2016,82,INE445C01015,
XPROINDIA,EQ,41.85,41.85,38.8,39.85,39.85,40.85,8742,357476.35,15-MAR-2016,79,INE445C01015,
XPROINDIA,EQ,40.1,41.4,39.2,40.9,41.4,39.85,640,26031.8,16-MAR-2016,22,INE445C01015,
XPROINDIA,EQ,42.5,42.5,40.55,40.85,40.95,40.9,4732,194926,17-MAR-2016,36,INE445C01015,
XPROINDIA,EQ,40.9,40.9,38.3,40.05,40.65,40.85,4760,187997.65,18-MAR-2016,80,INE445C01015,
XPROINDIA,EQ,39.5,40,38.55,38.85,39.05,40.05,11078,437575.05,21-MAR-2016,88,INE445C01015,
XPROINDIA,EQ,40,40,38.8,39.7,39.3,38.85,2236,88790.6,22-MAR-2016,35,INE445C01015,
XPROINDIA,EQ,39.5,40,38.5,39.3,39.15,39.7,5512,215961.2,23-MAR-2016,97,INE445C01015,
XPROINDIA,EQ,39.15,40.2,38.5,39.45,39.5,39.3,2724,107427.9,28-MAR-2016,36,INE445C01015,
XPROINDIA,EQ,40.2,43.5,39.3,40.5,40.5,39.45,24194,1000272.15,29-MAR-2016,346,INE445C01015,
XPROINDIA,EQ,41.65,42.5,41.65,42.15,42.4,40.5,3563,149111.3,30-MAR-2016,32,INE445C01015,
XPROINDIA,EQ,42.1,42.1,40.15,41.2,41.2,42.15,762,31772.3,31-MAR-2016,35,INE445C01015,
XPROINDIA,EQ,41,41.15,40,40.6,40.25,41.2,2644,107487.25,01-APR-2016,39,INE445C01015,
XPROINDIA,EQ,43.4,43.4,41.35,42,42,40.6,4740,199359.5,04-APR-2016,38,INE445C01015,
XPROINDIA,EQ,42,44.25,42,43,43.1,42,12023,513304.85,05-APR-2016,103,INE445C01015,
XPROINDIA,EQ,42.7,44.25,42.3,43.5,43.1,43,8290,356391.9,06-APR-2016,64,INE445C01015,
XPROINDIA,EQ,43,43.8,42.05,42.85,42.8,43.5,1213,52080.35,07-APR-2016,39,INE445C01015,
XPROINDIA,EQ,41.2,44,41.15,43,43,42.85,3111,133711.9,08-APR-2016,57,INE445C01015,
XPROINDIA,EQ,42.8,43.9,41.7,43.5,43.5,43,5836,251739.65,11-APR-2016,89,INE445C01015,
XPROINDIA,EQ,43,43.9,42.55,43.15,43.25,43.5,4269,184850.1,12-APR-2016,37,INE445C01015,
XPROINDIA,EQ,43.1,47.9,43.1,44.4,44.9,43.15,22231,1021933.65,13-APR-2016,232,INE445C01015,
XPROINDIA,EQ,46,46,44,44.75,44.75,44.4,4590,205453.85,18-APR-2016,78,INE445C01015,
XPROINDIA,EQ,44.35,45.4,44,44.6,45.4,44.75,6947,308526.6,20-APR-2016,54,INE445C01015,
XPROINDIA,EQ,44.8,45,43.1,43.8,43.95,44.6,3969,175350.25,21-APR-2016,30,INE445C01015,
XPROINDIA,EQ,45.6,46.8,43.25,44.35,44.4,43.8,5018,222627.75,22-APR-2016,73,INE445C01015,
