INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,BANKINDIA,28-Jan-2016,0,XX,114.7,118.2,114.45,117.6,117.6,2001,6992.25,22380000,-162000,01-JAN-2016,
FUTSTK,BANKINDIA,28-Jan-2016,0,XX,116.45,117.4,113,113.45,113.45,2649,9105.39,23040000,660000,04-JAN-2016,
FUTSTK,BANKINDIA,28-Jan-2016,0,XX,113.55,113.85,111.5,112.8,112.8,2143,7256.56,23265000,225000,05-JAN-2016,
FUTSTK,BANKINDIA,28-Jan-2016,0,XX,113,116.25,111.8,112.95,112.95,2887,9860.37,23385000,120000,06-JAN-2016,
FUTSTK,BANKINDIA,28-Jan-2016,0,XX,111.2,111.75,105.65,106.25,106.25,3205,10397.71,23706000,321000,07-JAN-2016,
FUTSTK,BANKINDIA,28-Jan-2016,0,XX,108.65,109.4,106.8,107.55,107.55,2039,6603.1,23490000,-216000,08-JAN-2016,
FUTSTK,BANKINDIA,28-Jan-2016,0,XX,106.15,108,104.95,105.85,105.85,2416,7689.83,23865000,375000,11-JAN-2016,
FUTSTK,BANKINDIA,28-Jan-2016,0,XX,106,106.7,100.25,100.9,100.9,3774,11610.69,25437000,1572000,12-JAN-2016,
FUTSTK,BANKINDIA,28-Jan-2016,0,XX,102.3,102.55,93.85,94.55,94.55,7380,21451.81,28317000,2880000,13-JAN-2016,
FUTSTK,BANKINDIA,28-Jan-2016,0,XX,91.65,95.7,90.8,93.25,93.25,5977,16695.22,28338000,21000,14-JAN-2016,
FUTSTK,BANKINDIA,28-Jan-2016,0,XX,94.75,96,86.25,91.05,91.05,3139,8591.24,24447000,-3891000,15-JAN-2016,
FUTSTK,BANKINDIA,28-Jan-2016,0,XX,90.55,94.4,86.55,88.35,88.35,1974,5308.34,22380000,-2067000,18-JAN-2016,
FUTSTK,BANKINDIA,28-Jan-2016,0,XX,89.7,92.25,88.1,90.05,90.05,1021,2768.04,21804000,-576000,19-JAN-2016,
FUTSTK,BANKINDIA,28-Jan-2016,0,XX,87.35,90.55,86.65,89.25,89.25,1248,3322.54,21090000,-714000,20-JAN-2016,
FUTSTK,BANKINDIA,28-Jan-2016,0,XX,90.05,96.05,90.05,94.6,94.6,2284,6387.85,18891000,-2199000,21-JAN-2016,
