INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,CAPF,29-Jun-2017,0,XX,0,0,0,753.3,795.5,0,0,0,0,31-MAR-2017,
FUTSTK,CAPF,29-Jun-2017,0,XX,0,0,0,753.3,781.25,0,0,0,0,03-APR-2017,
FUTSTK,CAPF,29-Jun-2017,0,XX,0,0,0,753.3,778.65,0,0,0,0,05-APR-2017,
FUTSTK,CAPF,29-Jun-2017,0,XX,0,0,0,753.3,775.05,0,0,0,0,06-APR-2017,
FUTSTK,CAPF,29-Jun-2017,0,XX,0,0,0,753.3,770.4,0,0,0,0,07-APR-2017,
FUTSTK,CAPF,29-Jun-2017,0,XX,0,0,0,753.3,788.2,0,0,0,0,10-APR-2017,
FUTSTK,CAPF,29-Jun-2017,0,XX,0,0,0,753.3,787.55,0,0,0,0,11-APR-2017,
FUTSTK,CAPF,29-Jun-2017,0,XX,0,0,0,753.3,804.3,0,0,0,0,12-APR-2017,
FUTSTK,CAPF,29-Jun-2017,0,XX,0,0,0,753.3,796.2,0,0,0,0,13-APR-2017,
FUTSTK,CAPF,29-Jun-2017,0,XX,0,0,0,753.3,789.15,0,0,0,0,17-APR-2017,
FUTSTK,CAPF,29-Jun-2017,0,XX,0,0,0,753.3,766.3,0,0,0,0,18-APR-2017,
FUTSTK,CAPF,29-Jun-2017,0,XX,0,0,0,753.3,763.65,0,0,0,0,19-APR-2017,
FUTSTK,CAPF,29-Jun-2017,0,XX,0,0,0,753.3,790.1,0,0,0,0,20-APR-2017,
FUTSTK,CAPF,29-Jun-2017,0,XX,0,0,0,753.3,780.4,0,0,0,0,21-APR-2017,
FUTSTK,CAPF,29-Jun-2017,0,XX,0,0,0,753.3,780.5,0,0,0,0,24-APR-2017,
FUTSTK,CAPF,29-Jun-2017,0,XX,0,0,0,753.3,794.1,0,0,0,0,25-APR-2017,
FUTSTK,CAPF,29-Jun-2017,0,XX,810,810,810,810,777.9,1,6.48,800,800,26-APR-2017,
FUTSTK,CAPF,29-Jun-2017,0,XX,0,0,0,810,772.4,0,0,800,0,27-APR-2017,
FUTSTK,CAPF,27-Jul-2017,0,XX,0,0,0,776.3,775.5,0,0,0,0,28-APR-2017,
FUTSTK,CAPF,27-Jul-2017,0,XX,0,0,0,776.3,770.45,0,0,0,0,02-MAY-2017,
FUTSTK,CAPF,27-Jul-2017,0,XX,0,0,0,776.3,774.8,0,0,0,0,03-MAY-2017,
FUTSTK,CAPF,27-Jul-2017,0,XX,0,0,0,776.3,773.4,0,0,0,0,04-MAY-2017,
FUTSTK,CAPF,27-Jul-2017,0,XX,0,0,0,776.3,761.55,0,0,0,0,05-MAY-2017,
FUTSTK,CAPF,27-Jul-2017,0,XX,0,0,0,776.3,764.25,0,0,0,0,08-MAY-2017,
FUTSTK,CAPF,27-Jul-2017,0,XX,0,0,0,776.3,801.6,0,0,0,0,09-MAY-2017,
FUTSTK,CAPF,27-Jul-2017,0,XX,0,0,0,776.3,805.35,0,0,0,0,10-MAY-2017,
FUTSTK,CAPF,27-Jul-2017,0,XX,0,0,0,776.3,781.3,0,0,0,0,11-MAY-2017,
FUTSTK,CAPF,27-Jul-2017,0,XX,0,0,0,776.3,771.5,0,0,0,0,12-MAY-2017,
FUTSTK,CAPF,27-Jul-2017,0,XX,0,0,0,776.3,772.55,0,0,0,0,15-MAY-2017,
FUTSTK,CAPF,27-Jul-2017,0,XX,0,0,0,776.3,775.15,0,0,0,0,16-MAY-2017,
FUTSTK,CAPF,27-Jul-2017,0,XX,0,0,0,776.3,739.05,0,0,0,0,17-MAY-2017,
FUTSTK,CAPF,27-Jul-2017,0,XX,0,0,0,776.3,729.25,0,0,0,0,18-MAY-2017,
FUTSTK,CAPF,27-Jul-2017,0,XX,0,0,0,776.3,706.25,0,0,0,0,19-MAY-2017,
FUTSTK,CAPF,27-Jul-2017,0,XX,0,0,0,776.3,712.5,0,0,0,0,22-MAY-2017,
FUTSTK,CAPF,27-Jul-2017,0,XX,0,0,0,776.3,700.75,0,0,0,0,23-MAY-2017,
FUTSTK,CAPF,27-Jul-2017,0,XX,0,0,0,776.3,673.3,0,0,0,0,24-MAY-2017,
FUTSTK,CAPF,27-Jul-2017,0,XX,682.7,705.35,682.7,705.3,705.3,8,44.54,4800,4800,25-MAY-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,0,0,0,712.45,727.45,0,0,0,0,26-MAY-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,0,0,0,712.45,696.2,0,0,0,0,29-MAY-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,0,0,0,712.45,697.55,0,0,0,0,30-MAY-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,0,0,0,712.45,706.85,0,0,0,0,31-MAY-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,0,0,0,712.45,723.8,0,0,0,0,01-JUN-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,0,0,0,712.45,720.4,0,0,0,0,02-JUN-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,0,0,0,712.45,731.7,0,0,0,0,05-JUN-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,0,0,0,712.45,721.95,0,0,0,0,06-JUN-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,0,0,0,712.45,717.2,0,0,0,0,07-JUN-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,0,0,0,712.45,719.95,0,0,0,0,08-JUN-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,0,0,0,712.45,719.15,0,0,0,0,09-JUN-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,0,0,0,712.45,699.4,0,0,0,0,12-JUN-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,0,0,0,712.45,691.4,0,0,0,0,13-JUN-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,690,690,688.9,688.9,703.05,18,99.33,8000,8000,14-JUN-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,0,0,0,688.9,732.3,0,0,8000,0,15-JUN-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,0,0,0,688.9,732.7,0,0,8000,0,16-JUN-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,0,0,0,688.9,723,0,0,8000,0,19-JUN-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,0,0,0,688.9,720.15,0,0,8000,0,20-JUN-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,0,0,0,688.9,720.15,0,0,8000,0,21-JUN-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,0,0,0,688.9,707.55,0,0,8000,0,22-JUN-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,694,694,694,694,697.05,1,5.55,8800,800,23-JUN-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,662.5,662.5,661.5,661.5,664.75,2,10.59,10400,1600,27-JUN-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,675.8,675.8,673,673,678.55,2,10.79,11200,800,28-JUN-2017,
FUTSTK,CAPF,31-Aug-2017,0,XX,676,676,675,675,675,2,10.8,12800,1600,29-JUN-2017,
FUTSTK,CAPF,28-Sep-2017,0,XX,0,0,0,670.15,677.95,0,0,0,0,30-JUN-2017,
FUTSTK,CAPF,28-Sep-2017,0,XX,0,0,0,670.15,694.35,0,0,0,0,03-JUL-2017,
FUTSTK,CAPF,28-Sep-2017,0,XX,0,0,0,670.15,692.65,0,0,0,0,04-JUL-2017,
FUTSTK,CAPF,28-Sep-2017,0,XX,0,0,0,670.15,707.2,0,0,0,0,05-JUL-2017,
