INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,CASTROLIND,25-Feb-2016,0,XX,450.9,450.9,450.9,450.9,453.8,1,4.95,9900,1100,01-JAN-2016,
FUTSTK,CASTROLIND,25-Feb-2016,0,XX,447,447,440.1,443.5,445.05,11,53.62,16500,6600,04-JAN-2016,
FUTSTK,CASTROLIND,25-Feb-2016,0,XX,442.3,451.6,442.3,451.6,451.6,5,24.69,15400,-1100,05-JAN-2016,
FUTSTK,CASTROLIND,25-Feb-2016,0,XX,447.7,450.35,444.8,444.8,445.9,6,29.49,17600,2200,06-JAN-2016,
FUTSTK,CASTROLIND,25-Feb-2016,0,XX,438.25,438.25,433.6,433.6,439.2,21,100.82,38500,20900,07-JAN-2016,
FUTSTK,CASTROLIND,25-Feb-2016,0,XX,0,0,0,433.6,441.75,1,4.85,38500,0,08-JAN-2016,
FUTSTK,CASTROLIND,25-Feb-2016,0,XX,441.8,443.35,441.8,443.35,441.6,4,19.47,40700,2200,11-JAN-2016,
FUTSTK,CASTROLIND,25-Feb-2016,0,XX,441.7,446.3,441,446.3,446.3,12,58.27,52800,12100,12-JAN-2016,
FUTSTK,CASTROLIND,25-Feb-2016,0,XX,446.3,446.3,438,439.05,439.05,28,135.96,77000,24200,13-JAN-2016,
FUTSTK,CASTROLIND,25-Feb-2016,0,XX,434.9,438.8,432.3,438.8,438.8,18,86,90200,13200,14-JAN-2016,
FUTSTK,CASTROLIND,25-Feb-2016,0,XX,436.5,436.5,432.5,432.5,432.5,4,19.2,92400,2200,15-JAN-2016,
FUTSTK,CASTROLIND,25-Feb-2016,0,XX,423,424.55,418.25,419.55,419.55,12,55.59,96800,4400,18-JAN-2016,
FUTSTK,CASTROLIND,25-Feb-2016,0,XX,423.5,423.55,412.65,421.25,421.25,60,275.46,121000,24200,19-JAN-2016,
FUTSTK,CASTROLIND,25-Feb-2016,0,XX,415.6,415.6,403.7,411.3,411.3,26,117.07,128700,7700,20-JAN-2016,
FUTSTK,CASTROLIND,25-Feb-2016,0,XX,416.05,416.05,410.2,411.05,411.05,30,136.08,143000,14300,21-JAN-2016,
