INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,CGPOWER,30-Mar-2017,0,XX,71.4,72,68,70.15,70.15,780,6498.48,19272000,-1332000,08-MAR-2017,
FUTSTK,CGPOWER,30-Mar-2017,0,XX,69.6,70.6,69.5,69.8,69.8,231,1939.68,18936000,-336000,09-MAR-2017,
FUTSTK,CGPOWER,30-Mar-2017,0,XX,70.05,70.75,68.3,68.65,68.65,628,5228.21,18456000,-480000,10-MAR-2017,
FUTSTK,CGPOWER,30-Mar-2017,0,XX,70.4,71.35,69.3,70.85,70.85,653,5522.6,16260000,-2196000,14-MAR-2017,
FUTSTK,CGPOWER,30-Mar-2017,0,XX,70.6,71.3,70.05,70.3,70.3,547,4641.32,15780000,-480000,15-MAR-2017,
FUTSTK,CGPOWER,30-Mar-2017,0,XX,70.7,73.6,70.5,73.3,73.3,1324,11508.29,15168000,-612000,16-MAR-2017,
FUTSTK,CGPOWER,30-Mar-2017,0,XX,75,75,71.7,73.05,73.05,901,7884.96,14952000,-216000,17-MAR-2017,
FUTSTK,CGPOWER,30-Mar-2017,0,XX,73.25,74.2,72.8,73.75,73.75,455,4019.62,14952000,0,20-MAR-2017,
FUTSTK,CGPOWER,30-Mar-2017,0,XX,74.05,74.05,72.8,73.35,73.35,264,2318.56,14580000,-372000,21-MAR-2017,
FUTSTK,CGPOWER,30-Mar-2017,0,XX,70.65,74.8,70.65,73.1,73.1,800,7063.82,14496000,-84000,22-MAR-2017,
FUTSTK,CGPOWER,30-Mar-2017,0,XX,73.3,74.8,73.2,74.6,74.6,564,5004.1,14304000,-192000,23-MAR-2017,
FUTSTK,CGPOWER,30-Mar-2017,0,XX,74.65,77.65,74.6,77.4,77.4,1407,12913.41,15576000,1272000,24-MAR-2017,
FUTSTK,CGPOWER,30-Mar-2017,0,XX,77.9,78.2,76.6,77.45,77.45,1563,14508.6,12684000,-2892000,27-MAR-2017,
FUTSTK,CGPOWER,30-Mar-2017,0,XX,77.9,78.2,76.65,77.15,77.15,907,8438.98,11808000,-876000,28-MAR-2017,
FUTSTK,CGPOWER,30-Mar-2017,0,XX,77.25,77.65,76.65,77.25,77.25,915,8479.2,7932000,-3876000,29-MAR-2017,
FUTSTK,CGPOWER,30-Mar-2017,0,XX,77,78.15,76.75,77,76.8,1528,14221.07,4248000,-3684000,30-MAR-2017,
FUTSTK,CGPOWER,27-Apr-2017,0,XX,76.2,78.9,76.15,78.2,78.2,908,8478.59,16476000,-972000,31-MAR-2017,
FUTSTK,CGPOWER,27-Apr-2017,0,XX,78.8,80.4,78,80.15,80.15,819,7801.92,16776000,300000,03-APR-2017,
FUTSTK,CGPOWER,27-Apr-2017,0,XX,80.95,81.45,80.05,80.75,80.75,645,6248.02,16704000,-72000,05-APR-2017,
FUTSTK,CGPOWER,27-Apr-2017,0,XX,80.3,81.55,79.15,80,80,1164,11178.96,15864000,-840000,06-APR-2017,
FUTSTK,CGPOWER,27-Apr-2017,0,XX,77.85,80.3,77.85,79.1,79.1,373,3562.84,15060000,-804000,07-APR-2017,
FUTSTK,CGPOWER,27-Apr-2017,0,XX,79.45,80.55,79.1,80.15,80.15,496,4748.1,15048000,-12000,10-APR-2017,
FUTSTK,CGPOWER,27-Apr-2017,0,XX,79.8,80.7,79.7,80.4,80.4,381,3667.31,14520000,-528000,11-APR-2017,
FUTSTK,CGPOWER,27-Apr-2017,0,XX,80.85,80.85,79.2,79.95,79.95,591,5670.81,14808000,288000,12-APR-2017,
FUTSTK,CGPOWER,27-Apr-2017,0,XX,79.8,80.4,79.3,80.1,80.1,478,4590.07,14832000,24000,13-APR-2017,
