INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,GNFC,27-Jan-2022,0,XX,440,450.05,440,443.55,443.55,742,4302.28,436800,436800,31-DEC-2021,
FUTSTK,GNFC,27-Jan-2022,0,XX,443.45,452.35,440.2,447.3,447.3,748,4362.23,852800,416000,03-JAN-2022,
FUTSTK,GNFC,27-Jan-2022,0,XX,448.8,477.8,440.05,469.2,469.2,3093,18551.87,1809600,956800,04-JAN-2022,
FUTSTK,GNFC,27-Jan-2022,0,XX,469.25,481.15,460.1,464.15,464.15,2227,13713.2,1973400,163800,05-JAN-2022,
FUTSTK,GNFC,27-Jan-2022,0,XX,443.7,473.7,443.7,460.55,460.55,1497,9018.66,2252900,279500,06-JAN-2022,
FUTSTK,GNFC,27-Jan-2022,0,XX,458.2,464.4,448.25,453.45,453.45,785,4665.31,2394600,141700,07-JAN-2022,
FUTSTK,GNFC,27-Jan-2022,0,XX,454.95,463.85,454.25,459.6,459.6,668,3982.03,2385500,-9100,10-JAN-2022,
FUTSTK,GNFC,27-Jan-2022,0,XX,458.05,463.15,450,450.9,450.9,510,3014.53,2486900,101400,11-JAN-2022,
FUTSTK,GNFC,27-Jan-2022,0,XX,453,469.65,451.95,466.75,466.75,1880,11307.8,2676700,189800,12-JAN-2022,
FUTSTK,GNFC,27-Jan-2022,0,XX,465.5,490,463.15,488.25,488.25,4000,24937.54,3363100,686400,13-JAN-2022,
FUTSTK,GNFC,27-Jan-2022,0,XX,487.7,494.35,483.05,491.1,491.1,1937,12309.92,3598400,235300,14-JAN-2022,
FUTSTK,GNFC,27-Jan-2022,0,XX,488.35,501.75,486.15,496.05,496.05,2983,19278.28,3621800,23400,17-JAN-2022,
FUTSTK,GNFC,27-Jan-2022,0,XX,499.6,501,472.15,475.5,475.5,2028,12777.71,3161600,-460200,18-JAN-2022,
FUTSTK,GNFC,27-Jan-2022,0,XX,478,492.55,472.85,489.75,489.75,1469,9245.53,2961400,-200200,19-JAN-2022,
FUTSTK,GNFC,27-Jan-2022,0,XX,487.95,501,483,496.6,496.6,1728,11087.54,2879500,-81900,20-JAN-2022,
FUTSTK,GNFC,27-Jan-2022,0,XX,485.45,507.5,477.2,483.85,483.85,2634,17052.63,2554500,-325000,21-JAN-2022,
FUTSTK,GNFC,27-Jan-2022,0,XX,479.9,481,437.5,447.55,447.55,2037,12020.82,1864200,-690300,24-JAN-2022,
FUTSTK,GNFC,27-Jan-2022,0,XX,433.4,466.35,433.4,459.95,459.95,1817,10828.95,926900,-937300,25-JAN-2022,
