INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,GSPL,27-Jan-2022,0,XX,319,319,319,319,308.1,1,5.42,1700,1700,29-OCT-2021,
FUTSTK,GSPL,27-Jan-2022,0,XX,0,0,0,319,326.65,0,0,1700,0,01-NOV-2021,
FUTSTK,GSPL,27-Jan-2022,0,XX,0,0,0,319,319,0,0,1700,0,02-NOV-2021,
FUTSTK,GSPL,27-Jan-2022,0,XX,325,325,325,325,327.85,1,5.52,3400,1700,03-NOV-2021,
FUTSTK,GSPL,27-Jan-2022,0,XX,0,0,0,325,325.95,0,0,3400,0,08-NOV-2021,
FUTSTK,GSPL,27-Jan-2022,0,XX,0,0,0,325,320,0,0,3400,0,09-NOV-2021,
FUTSTK,GSPL,27-Jan-2022,0,XX,0,0,0,325,319.75,0,0,3400,0,10-NOV-2021,
FUTSTK,GSPL,27-Jan-2022,0,XX,0,0,0,325,318.95,0,0,3400,0,11-NOV-2021,
FUTSTK,GSPL,27-Jan-2022,0,XX,0,0,0,325,317.6,0,0,3400,0,12-NOV-2021,
FUTSTK,GSPL,27-Jan-2022,0,XX,320.85,320.85,311.2,311.2,318.75,2,10.74,3400,0,15-NOV-2021,
FUTSTK,GSPL,27-Jan-2022,0,XX,0,0,0,311.2,318.5,0,0,3400,0,16-NOV-2021,
FUTSTK,GSPL,27-Jan-2022,0,XX,324.05,324.05,324.05,324.05,324.05,1,5.5,5100,1700,17-NOV-2021,
FUTSTK,GSPL,27-Jan-2022,0,XX,0,0,0,324.05,311.55,0,0,5100,0,18-NOV-2021,
FUTSTK,GSPL,27-Jan-2022,0,XX,299.8,299.8,299.8,299.8,306,1,5.09,6800,1700,22-NOV-2021,
FUTSTK,GSPL,27-Jan-2022,0,XX,0,0,0,299.8,311.6,0,0,6800,0,23-NOV-2021,
FUTSTK,GSPL,27-Jan-2022,0,XX,327.6,327.6,314.8,317,317,7,38.11,13600,6800,24-NOV-2021,
FUTSTK,GSPL,27-Jan-2022,0,XX,314.15,314.15,314.15,314.15,314.7,2,10.68,17000,3400,25-NOV-2021,
FUTSTK,GSPL,24-Feb-2022,0,XX,0,0,0,315.65,305.3,0,0,0,0,26-NOV-2021,
FUTSTK,GSPL,24-Feb-2022,0,XX,0,0,0,315.65,303.6,0,0,0,0,29-NOV-2021,
FUTSTK,GSPL,24-Feb-2022,0,XX,0,0,0,315.65,316.25,0,0,0,0,30-NOV-2021,
FUTSTK,GSPL,24-Feb-2022,0,XX,0,0,0,315.65,307.65,0,0,0,0,01-DEC-2021,
FUTSTK,GSPL,24-Feb-2022,0,XX,0,0,0,315.65,308.05,0,0,0,0,02-DEC-2021,
FUTSTK,GSPL,24-Feb-2022,0,XX,319.9,319.9,319.9,319.9,312.7,1,5.43,1700,1700,03-DEC-2021,
FUTSTK,GSPL,24-Feb-2022,0,XX,0,0,0,319.9,302.65,0,0,1700,0,06-DEC-2021,
FUTSTK,GSPL,24-Feb-2022,0,XX,0,0,0,319.9,306.7,0,0,1700,0,07-DEC-2021,
FUTSTK,GSPL,24-Feb-2022,0,XX,0,0,0,319.9,307.3,0,0,1700,0,08-DEC-2021,
FUTSTK,GSPL,24-Feb-2022,0,XX,0,0,0,319.9,309.8,0,0,1700,0,09-DEC-2021,
FUTSTK,GSPL,24-Feb-2022,0,XX,0,0,0,319.9,316.55,0,0,1700,0,10-DEC-2021,
FUTSTK,GSPL,24-Feb-2022,0,XX,324.55,324.55,324.55,324.55,319.75,1,5.51,3400,1700,13-DEC-2021,
FUTSTK,GSPL,24-Feb-2022,0,XX,0,0,0,324.55,321.1,0,0,3400,0,14-DEC-2021,
