INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,HAL,25-Nov-2021,0,XX,0,0,0,1301.9,1394.4,0,0,0,0,27-AUG-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1450,1450,1450,1450,1412.7,1,6.88,475,475,30-AUG-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1430,1430,1396.25,1396.25,1396.25,3,20.21,950,475,31-AUG-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1379.4,1379.4,1373.85,1373.85,1373.85,2,13.07,1900,950,01-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1389,1412,1389,1399,1399,6,39.92,2375,475,02-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1410,1410,1410,1410,1406.7,1,6.69,2850,475,03-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1415,1415,1378,1378,1372.65,3,19.83,4275,1425,06-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1369.9,1400,1369.9,1395,1395,4,26.4,4275,0,07-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,0,0,0,1395,1379.15,0,0,4275,0,08-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1350,1365,1350,1365,1385.4,2,12.89,3800,-475,09-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1402,1410,1402,1415.25,1415.25,4,26.77,4750,950,13-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1416.85,1445.45,1383,1412.4,1412.4,17,113.8,4750,0,14-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1423,1423,1419,1419,1413.5,4,26.99,6650,1900,15-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1429.9,1475.4,1429.9,1467.3,1442.45,6,41.36,5225,-1425,16-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1470.75,1484,1450.5,1450.5,1440.95,11,76.53,6650,1425,17-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1444.25,1465.65,1389,1392.7,1392.7,29,196.95,14250,7600,20-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1420,1424.4,1350.65,1360.95,1360.95,23,150.9,19475,5225,21-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1375,1375,1362.65,1365.45,1365.45,14,91.01,23750,4275,22-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1397.75,1421.95,1372,1372,1368.7,6,39.62,23750,0,23-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1379,1380.05,1353.5,1353.5,1353.5,5,32.55,23750,0,24-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1360.5,1360.5,1330.8,1353,1344.85,5,31.97,23750,0,27-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1369,1369,1344.05,1350,1350,8,51.52,23750,0,28-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1361.5,1361.5,1347.15,1347.15,1347.15,5,32.19,24225,475,29-SEP-2021,
FUTSTK,HAL,25-Nov-2021,0,XX,1372,1375.9,1354,1354,1362.5,15,97.28,28025,3800,30-SEP-2021,
FUTSTK,HAL,30-Dec-2021,0,XX,1354.35,1354.35,1348,1348,1348,5,32.05,2375,2375,01-OCT-2021,
FUTSTK,HAL,30-Dec-2021,0,XX,0,0,0,1348,1358.15,0,0,2375,0,04-OCT-2021,
FUTSTK,HAL,30-Dec-2021,0,XX,1398.7,1398.7,1383.95,1384.65,1384.65,6,39.66,2850,475,05-OCT-2021,
FUTSTK,HAL,30-Dec-2021,0,XX,0,0,0,1384.65,1359.25,0,0,2850,0,06-OCT-2021,
FUTSTK,HAL,30-Dec-2021,0,XX,1365,1381.45,1365,1381.45,1369.1,2,13.04,3325,475,07-OCT-2021,
FUTSTK,HAL,30-Dec-2021,0,XX,1360.4,1360.4,1360.4,1360.4,1360.4,1,6.46,3800,475,08-OCT-2021,
FUTSTK,HAL,30-Dec-2021,0,XX,1366.55,1385,1357.85,1385,1376.35,4,26.09,5225,1425,11-OCT-2021,
FUTSTK,HAL,30-Dec-2021,0,XX,1371.1,1399,1369.15,1399,1399,7,46.08,4750,-475,12-OCT-2021,
FUTSTK,HAL,30-Dec-2021,0,XX,1421.1,1433,1401.85,1401.85,1401.85,11,74.37,9025,4275,13-OCT-2021,
FUTSTK,HAL,30-Dec-2021,0,XX,1415,1469,1413.55,1463.05,1455.55,7,47.94,9025,0,14-OCT-2021,
FUTSTK,HAL,30-Dec-2021,0,XX,1475,1554.45,1470,1492.8,1492.8,38,272.99,15200,6175,18-OCT-2021,
FUTSTK,HAL,30-Dec-2021,0,XX,1492.85,1520,1425,1425,1425,14,99.69,16150,950,19-OCT-2021,
FUTSTK,HAL,30-Dec-2021,0,XX,1426.3,1463.05,1400,1400,1420.55,11,75.1,19475,3325,20-OCT-2021,
FUTSTK,HAL,30-Dec-2021,0,XX,1400,1400,1380,1381.45,1381.45,4,26.32,21375,1900,21-OCT-2021,
FUTSTK,HAL,30-Dec-2021,0,XX,1381.25,1381.5,1320,1333.45,1336.9,18,116.46,27550,6175,22-OCT-2021,
FUTSTK,HAL,30-Dec-2021,0,XX,1315,1337.65,1308.5,1332.65,1332.65,9,56.61,30875,3325,25-OCT-2021,
FUTSTK,HAL,30-Dec-2021,0,XX,1333.05,1335.85,1330,1335.85,1334.05,6,37.98,32300,1425,26-OCT-2021,
FUTSTK,HAL,30-Dec-2021,0,XX,1345,1345,1319,1319,1326.05,8,50.64,33250,950,27-OCT-2021,
FUTSTK,HAL,30-Dec-2021,0,XX,1300,1300,1265.05,1265.1,1265.1,33,201.93,41325,8075,28-OCT-2021,
FUTSTK,HAL,27-Jan-2022,0,XX,0,0,0,1278.95,1319.1,0,0,0,0,29-OCT-2021,
FUTSTK,HAL,27-Jan-2022,0,XX,0,0,0,1278.95,1341.2,0,0,0,0,01-NOV-2021,
FUTSTK,HAL,27-Jan-2022,0,XX,1340,1340,1340,1340,1344.45,1,6.36,475,475,02-NOV-2021,
FUTSTK,HAL,27-Jan-2022,0,XX,0,0,0,1340,1335.75,0,0,475,0,03-NOV-2021,
FUTSTK,HAL,27-Jan-2022,0,XX,1365.4,1365.4,1355,1364,1364,9,58.13,3800,3325,08-NOV-2021,
FUTSTK,HAL,27-Jan-2022,0,XX,1388.05,1388.05,1375.5,1375.5,1380.55,9,59.08,8075,4275,09-NOV-2021,
FUTSTK,HAL,27-Jan-2022,0,XX,1384.4,1385.7,1384.4,1385.7,1386.3,4,26.31,7125,-950,10-NOV-2021,
FUTSTK,HAL,27-Jan-2022,0,XX,1392,1395,1392,1395,1395,5,33.1,6650,-475,11-NOV-2021,
FUTSTK,HAL,27-Jan-2022,0,XX,1395,1401,1387.05,1401,1428.6,3,19.86,6650,0,12-NOV-2021,
FUTSTK,HAL,27-Jan-2022,0,XX,1428.3,1428.3,1427.5,1427.5,1433.35,3,20.34,5700,-950,15-NOV-2021,
FUTSTK,HAL,27-Jan-2022,0,XX,1433.35,1453.85,1433.35,1438.65,1440.35,6,41.14,8075,2375,16-NOV-2021,
FUTSTK,HAL,27-Jan-2022,0,XX,1423.05,1423.05,1401,1404.9,1404.9,5,33.48,9975,1900,17-NOV-2021,
FUTSTK,HAL,27-Jan-2022,0,XX,1404.5,1405,1380,1380,1380,6,39.7,10925,950,18-NOV-2021,
FUTSTK,HAL,27-Jan-2022,0,XX,1350,1385.85,1350,1350,1372.1,5,32.54,10925,0,22-NOV-2021,
FUTSTK,HAL,27-Jan-2022,0,XX,1375.9,1422.05,1375.9,1420.55,1420.55,9,60.33,11400,475,23-NOV-2021,
FUTSTK,HAL,27-Jan-2022,0,XX,1423.85,1426.2,1380.6,1380.6,1380.6,18,120.39,17100,5700,24-NOV-2021,
FUTSTK,HAL,27-Jan-2022,0,XX,1370.35,1382.75,1360.2,1360.2,1361.8,15,97.84,22800,5700,25-NOV-2021,
FUTSTK,HAL,24-Feb-2022,0,XX,0,0,0,1365.95,1298.55,0,0,0,0,26-NOV-2021,
FUTSTK,HAL,24-Feb-2022,0,XX,0,0,0,1365.95,1310.65,0,0,0,0,29-NOV-2021,
FUTSTK,HAL,24-Feb-2022,0,XX,0,0,0,1365.95,1288.85,0,0,0,0,30-NOV-2021,
FUTSTK,HAL,24-Feb-2022,0,XX,0,0,0,1365.95,1320.8,0,0,0,0,01-DEC-2021,
FUTSTK,HAL,24-Feb-2022,0,XX,0,0,0,1365.95,1312.8,0,0,0,0,02-DEC-2021,
FUTSTK,HAL,24-Feb-2022,0,XX,0,0,0,1365.95,1308.3,0,0,0,0,03-DEC-2021,
FUTSTK,HAL,24-Feb-2022,0,XX,0,0,0,1365.95,1289.6,0,0,0,0,06-DEC-2021,
FUTSTK,HAL,24-Feb-2022,0,XX,0,0,0,1365.95,1297.45,0,0,0,0,07-DEC-2021,
FUTSTK,HAL,24-Feb-2022,0,XX,0,0,0,1365.95,1302.95,0,0,0,0,08-DEC-2021,
FUTSTK,HAL,24-Feb-2022,0,XX,0,0,0,1365.95,1303.25,0,0,0,0,09-DEC-2021,
FUTSTK,HAL,24-Feb-2022,0,XX,1329.85,1331.45,1329.85,1331.45,1315.9,3,18.96,1425,1425,10-DEC-2021,
FUTSTK,HAL,24-Feb-2022,0,XX,0,0,0,1331.45,1321.2,0,0,1425,0,13-DEC-2021,
FUTSTK,HAL,24-Feb-2022,0,XX,1310,1310,1307.45,1307.45,1297.7,3,18.65,2850,1425,14-DEC-2021,
FUTSTK,HAL,24-Feb-2022,0,XX,0,0,0,1307.45,1296.55,0,0,2850,0,15-DEC-2021,
FUTSTK,HAL,24-Feb-2022,0,XX,1290,1298,1290,1294.75,1294.75,3,18.42,3325,475,16-DEC-2021,
