INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,HAVELLS,28-Jan-2016,0,XX,307.45,324,305.7,322.6,322.6,5254,33466.4,7610000,676000,01-JAN-2016,
FUTSTK,HAVELLS,28-Jan-2016,0,XX,319.45,322.2,307,308.8,308.8,2839,17839.85,7260000,-350000,04-JAN-2016,
FUTSTK,HAVELLS,28-Jan-2016,0,XX,311,314.9,303.5,310.2,310.2,1965,12180.56,7608000,348000,05-JAN-2016,
FUTSTK,HAVELLS,28-Jan-2016,0,XX,311,313.9,303,304.35,304.35,2083,12855.05,7830000,222000,06-JAN-2016,
FUTSTK,HAVELLS,28-Jan-2016,0,XX,301.1,301.1,292.6,296.3,296.3,1814,10764.01,7548000,-282000,07-JAN-2016,
FUTSTK,HAVELLS,28-Jan-2016,0,XX,300,306.45,296.55,303.95,303.95,2006,12106.86,7700000,152000,08-JAN-2016,
FUTSTK,HAVELLS,28-Jan-2016,0,XX,299.95,302,294.35,297.3,297.3,1605,9555.15,7976000,276000,11-JAN-2016,
FUTSTK,HAVELLS,28-Jan-2016,0,XX,296.95,299.3,288.55,290.4,290.4,1496,8749.6,8120000,144000,12-JAN-2016,
FUTSTK,HAVELLS,28-Jan-2016,0,XX,294.45,294.45,276,285.55,285.55,2971,16858.16,8444000,324000,13-JAN-2016,
FUTSTK,HAVELLS,28-Jan-2016,0,XX,278.95,292.5,269.4,288.7,288.7,3003,17066.16,8132000,-312000,14-JAN-2016,
FUTSTK,HAVELLS,28-Jan-2016,0,XX,290.9,291,278.3,280.5,280.5,1642,9312.45,7866000,-266000,15-JAN-2016,
FUTSTK,HAVELLS,28-Jan-2016,0,XX,280.3,282,272.6,275.6,275.6,1516,8402.47,7504000,-362000,18-JAN-2016,
FUTSTK,HAVELLS,28-Jan-2016,0,XX,276.5,286.1,273.35,284.95,284.95,1731,9694,7514000,10000,19-JAN-2016,
FUTSTK,HAVELLS,28-Jan-2016,0,XX,279,291,275.8,287.75,287.75,2182,12322.76,6848000,-666000,20-JAN-2016,
FUTSTK,HAVELLS,28-Jan-2016,0,XX,291.55,296.3,283.25,289.2,289.2,1967,11369.28,6826000,-22000,21-JAN-2016,
FUTSTK,HAVELLS,28-Jan-2016,0,XX,292,299.7,290.45,298.1,298.1,1918,11342.52,6592000,-234000,22-JAN-2016,
FUTSTK,HAVELLS,28-Jan-2016,0,XX,300.1,303.8,296.95,300.9,300.9,2735,16447.27,5858000,-734000,25-JAN-2016,
FUTSTK,HAVELLS,28-Jan-2016,0,XX,299.2,303.65,290.55,300.55,300.55,6834,40480.97,4200000,-1658000,27-JAN-2016,
FUTSTK,HAVELLS,28-Jan-2016,0,XX,299.95,304.65,295.15,296.85,295.45,3683,22108.93,2102000,-2098000,28-JAN-2016,
FUTSTK,HAVELLS,25-Feb-2016,0,XX,297.35,299.05,293.25,297.5,297.5,1593,9438.27,5664000,-86000,29-JAN-2016,
FUTSTK,HAVELLS,25-Feb-2016,0,XX,300.7,303.9,294.05,301.15,301.15,2499,15003.82,5844000,180000,01-FEB-2016,
FUTSTK,HAVELLS,25-Feb-2016,0,XX,302.75,307,299.1,300.7,300.7,2702,16432.76,5676000,-168000,02-FEB-2016,
FUTSTK,HAVELLS,25-Feb-2016,0,XX,297,299.5,288.55,295.05,295.05,2111,12415.12,5532000,-144000,03-FEB-2016,
FUTSTK,HAVELLS,25-Feb-2016,0,XX,297.95,304,288,294.05,294.05,2011,11952.83,5122000,-410000,04-FEB-2016,
