INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,HDFCBANK,25-Feb-2016,0,XX,1088.1,1099.15,1086.9,1097.7,1097.7,17,93.06,143500,2500,01-JAN-2016,
FUTSTK,HDFCBANK,25-Feb-2016,0,XX,1088.5,1089,1076.1,1076.65,1076.65,25,135.18,147500,4000,04-JAN-2016,
FUTSTK,HDFCBANK,25-Feb-2016,0,XX,1076.5,1081.65,1069.35,1070.8,1070.8,49,263.35,154000,6500,05-JAN-2016,
FUTSTK,HDFCBANK,25-Feb-2016,0,XX,1068.7,1082.15,1067.45,1072.65,1072.65,90,483.2,179000,25000,06-JAN-2016,
FUTSTK,HDFCBANK,25-Feb-2016,0,XX,1065,1069,1060.6,1063.45,1063.45,36,191.73,180000,1000,07-JAN-2016,
FUTSTK,HDFCBANK,25-Feb-2016,0,XX,1070,1070,1064.95,1066.35,1066.35,67,357.36,184500,4500,08-JAN-2016,
FUTSTK,HDFCBANK,25-Feb-2016,0,XX,1057,1065,1053.2,1062.55,1062.55,350,1854.53,318500,134000,11-JAN-2016,
FUTSTK,HDFCBANK,25-Feb-2016,0,XX,1060.6,1062.95,1052.05,1054.85,1054.85,902,4768.68,423500,105000,12-JAN-2016,
FUTSTK,HDFCBANK,25-Feb-2016,0,XX,1062.25,1067.5,1043.9,1063.55,1063.55,633,3349.28,485000,61500,13-JAN-2016,
FUTSTK,HDFCBANK,25-Feb-2016,0,XX,1056.75,1060.7,1046.65,1052.6,1052.6,161,848.35,507000,22000,14-JAN-2016,
FUTSTK,HDFCBANK,25-Feb-2016,0,XX,1049,1058.1,1045.35,1048.1,1048.1,413,2174.62,590000,83000,15-JAN-2016,
FUTSTK,HDFCBANK,25-Feb-2016,0,XX,1039,1043.45,1029.05,1031.45,1031.45,431,2235.98,686000,96000,18-JAN-2016,
FUTSTK,HDFCBANK,25-Feb-2016,0,XX,1035,1042.75,1034.05,1039.3,1039.3,280,1453.41,717500,31500,19-JAN-2016,
FUTSTK,HDFCBANK,25-Feb-2016,0,XX,1025,1025.5,1011.2,1020.65,1020.65,1177,5984.57,1026500,309000,20-JAN-2016,
FUTSTK,HDFCBANK,25-Feb-2016,0,XX,1025.15,1034.65,1015,1024.9,1024.9,1889,9659.86,1356000,329500,21-JAN-2016,
FUTSTK,HDFCBANK,25-Feb-2016,0,XX,1030,1047.85,1028.25,1033.4,1033.4,3191,16564.52,2076000,720000,22-JAN-2016,
FUTSTK,HDFCBANK,25-Feb-2016,0,XX,1041,1047.5,1034.9,1042.9,1042.9,10314,53701.11,5561500,3485500,25-JAN-2016,
FUTSTK,HDFCBANK,25-Feb-2016,0,XX,1048.45,1049.9,1036.2,1038.2,1038.2,20109,104686.57,11979500,6418000,27-JAN-2016,
FUTSTK,HDFCBANK,25-Feb-2016,0,XX,1042,1050,1034.5,1036.75,1036.75,24790,129229.85,17979000,5999500,28-JAN-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,1054.85,1059.8,1047.5,1057.8,1057.8,117,617.37,78500,17000,29-JAN-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,1064.65,1075.65,1063.45,1068.75,1068.75,84,449.06,99500,21000,01-FEB-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,1070.3,1074.2,1060,1063.95,1063.95,117,625.14,136500,37000,02-FEB-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,1053.5,1058.35,1051,1053.1,1053.1,62,326.85,145500,9000,03-FEB-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,1056,1062.3,1055,1058.8,1058.8,35,185.41,150500,5000,04-FEB-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,1060,1070,1060,1065.9,1065.9,31,165.26,150500,0,05-FEB-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,1063.5,1066.95,1039,1045,1045,161,850.61,163000,12500,08-FEB-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,1027,1041,1027,1035.9,1035.9,413,2138.69,277500,114500,09-FEB-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,1035,1039,1020.75,1022.65,1022.65,301,1545.01,349000,71500,10-FEB-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,1023,1023,979.35,983.45,983.45,388,1947.43,406000,57000,11-FEB-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,986,993.25,972.8,978.25,978.25,654,3223.63,484000,78000,12-FEB-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,990,993,979,980.15,980.15,333,1642.18,541000,57000,15-FEB-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,980,982.55,970,979.15,979.15,872,4263.65,844000,303000,16-FEB-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,978,987.5,966,984.4,984.4,785,3835.68,997500,153500,17-FEB-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,992.75,994.2,981.75,992.55,992.55,1926,9506.45,1621000,623500,18-FEB-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,989.7,995.15,978.1,992.65,992.65,1434,7070.12,2027500,406500,19-FEB-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,990,999.6,989.5,993.75,993.75,13499,67213.27,7543000,5515500,22-FEB-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,990,992,972.55,976.8,976.8,21492,105433.16,13738000,6195000,23-FEB-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,966.5,968.75,946.95,951.15,951.15,15428,73944.78,17681000,3943000,24-FEB-2016,
FUTSTK,HDFCBANK,31-Mar-2016,0,XX,951.5,960.7,943.7,947.35,947.35,17006,81067.93,19344000,1663000,25-FEB-2016,
