INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,HINDPETRO,28-Jan-2016,0,XX,841.3,862.15,841.25,856.25,856.25,3765,19308.44,9471000,223200,01-JAN-2016,
FUTSTK,HINDPETRO,28-Jan-2016,0,XX,848.15,862.9,838.3,856.9,856.9,5052,25777.74,9374400,-96600,04-JAN-2016,
FUTSTK,HINDPETRO,28-Jan-2016,0,XX,857.95,864,847,861.3,861.3,5815,29850.31,9600000,225600,05-JAN-2016,
FUTSTK,HINDPETRO,28-Jan-2016,0,XX,859.8,885.9,856,882.3,882.3,8022,42155.39,9354600,-245400,06-JAN-2016,
FUTSTK,HINDPETRO,28-Jan-2016,0,XX,878.35,888.3,855,859.7,859.7,5364,28026.8,8904000,-450600,07-JAN-2016,
FUTSTK,HINDPETRO,28-Jan-2016,0,XX,865.75,895.5,865.6,889.35,889.35,5405,28544.86,9002400,98400,08-JAN-2016,
FUTSTK,HINDPETRO,28-Jan-2016,0,XX,887.95,888.35,873,880.05,880.05,4300,22716.01,8917800,-84600,11-JAN-2016,
FUTSTK,HINDPETRO,28-Jan-2016,0,XX,881.9,888.85,870.2,872.1,872.1,3577,18865.49,8869800,-48000,12-JAN-2016,
FUTSTK,HINDPETRO,28-Jan-2016,0,XX,876,883,843.8,873.1,873.1,5149,26775.75,8558400,-311400,13-JAN-2016,
FUTSTK,HINDPETRO,28-Jan-2016,0,XX,861.05,901.7,856,886.45,886.45,5169,27327.24,8541600,-16800,14-JAN-2016,
FUTSTK,HINDPETRO,28-Jan-2016,0,XX,888.1,909,881,885.3,885.3,6471,34787.2,8373000,-168600,15-JAN-2016,
FUTSTK,HINDPETRO,28-Jan-2016,0,XX,894.5,894.5,815.85,826.7,826.7,6363,32702.96,8283000,-90000,18-JAN-2016,
FUTSTK,HINDPETRO,28-Jan-2016,0,XX,837.95,840,805,827.55,827.55,4933,24425.18,8229000,-54000,19-JAN-2016,
FUTSTK,HINDPETRO,28-Jan-2016,0,XX,820.15,821.1,787.15,807.2,807.2,4478,21577.31,8058600,-170400,20-JAN-2016,
FUTSTK,HINDPETRO,28-Jan-2016,0,XX,815.95,820,780.5,795.75,795.75,4231,20234.83,7904400,-154200,21-JAN-2016,
