INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,IBULHSGFIN,25-Feb-2016,0,XX,732.55,737,732.4,737,743.95,4,23.51,25600,1600,01-JAN-2016,
FUTSTK,IBULHSGFIN,25-Feb-2016,0,XX,734.25,734.25,719.15,721.45,721.45,16,92.89,27200,1600,04-JAN-2016,
FUTSTK,IBULHSGFIN,25-Feb-2016,0,XX,729.65,729.85,728,729.55,741.05,10,58.33,30400,3200,05-JAN-2016,
FUTSTK,IBULHSGFIN,25-Feb-2016,0,XX,736,745,728.9,730,730,15,88.27,30400,0,06-JAN-2016,
FUTSTK,IBULHSGFIN,25-Feb-2016,0,XX,725,730,704.75,709.4,709.4,28,160.96,32000,1600,07-JAN-2016,
FUTSTK,IBULHSGFIN,25-Feb-2016,0,XX,725.55,733,721,732.5,732.5,15,87.36,34400,2400,08-JAN-2016,
FUTSTK,IBULHSGFIN,25-Feb-2016,0,XX,725.05,740.75,725.05,736.95,743,19,111.33,40000,5600,11-JAN-2016,
FUTSTK,IBULHSGFIN,25-Feb-2016,0,XX,735.2,736,709.8,709.8,709.8,28,161.41,44800,4800,12-JAN-2016,
FUTSTK,IBULHSGFIN,25-Feb-2016,0,XX,710,715.1,672,715,723.25,49,273.04,56800,12000,13-JAN-2016,
FUTSTK,IBULHSGFIN,25-Feb-2016,0,XX,696,703.45,687.6,689.9,689.9,33,183.63,62400,5600,14-JAN-2016,
FUTSTK,IBULHSGFIN,25-Feb-2016,0,XX,691,699.55,653,657.65,657.65,108,594.06,104000,41600,15-JAN-2016,
FUTSTK,IBULHSGFIN,25-Feb-2016,0,XX,664.8,675.75,638.55,652.7,652.7,150,794.6,159200,55200,18-JAN-2016,
FUTSTK,IBULHSGFIN,25-Feb-2016,0,XX,659.95,698,659.9,691,691,206,1112.88,233600,74400,19-JAN-2016,
FUTSTK,IBULHSGFIN,25-Feb-2016,0,XX,678,689.1,661.25,685.6,685.6,142,766.18,252000,18400,20-JAN-2016,
FUTSTK,IBULHSGFIN,25-Feb-2016,0,XX,710.9,716.35,689,693.65,693.65,818,4588.01,437600,185600,21-JAN-2016,
FUTSTK,IBULHSGFIN,25-Feb-2016,0,XX,702.15,713.2,698,703.65,703.65,2366,13366.15,1890400,1452800,22-JAN-2016,
FUTSTK,IBULHSGFIN,25-Feb-2016,0,XX,707,710.55,701,703.05,703.05,5667,32006.52,4932000,3041600,25-JAN-2016,
FUTSTK,IBULHSGFIN,25-Feb-2016,0,XX,704.4,712.5,695.45,699.3,699.3,2025,11405.79,5610400,678400,27-JAN-2016,
FUTSTK,IBULHSGFIN,25-Feb-2016,0,XX,695.75,717.1,690,692.15,692.15,3726,20823.96,6935200,1324800,28-JAN-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,698,698,697.3,697.3,716.5,4,22.33,8000,3200,29-JAN-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,711.1,715.85,711.05,715.85,717.55,4,22.79,9600,1600,01-FEB-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,719.1,719.1,700,700,700,12,68.62,18400,8800,02-FEB-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,675.25,690.2,675,690.2,684.6,13,70.97,21600,3200,03-FEB-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,680,680.1,655,655,667.8,10,53.89,20800,-800,04-FEB-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,677,690,677,690,690,2,10.93,21600,800,05-FEB-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,683.55,694.5,675,676.9,676.9,13,70.92,24000,2400,08-FEB-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,655.5,655.5,631,633.65,633.65,27,138.42,32800,8800,09-FEB-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,632.15,638,610.2,634.25,634.25,35,175.19,38400,5600,10-FEB-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,636.9,640.5,612,612.2,612.2,23,114.78,39200,800,11-FEB-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,624,624,592.3,603.05,603.05,42,203,40800,1600,12-FEB-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,615,640.85,610,639.85,639.85,38,192.06,43200,2400,15-FEB-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,639,639,617.1,619,619,24,120.16,48000,4800,16-FEB-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,604.8,621,591,616.05,616.05,79,379.79,64800,16800,17-FEB-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,626.25,629.4,609,611.95,611.95,2426,11981.51,1937600,1872800,18-FEB-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,614.95,615,600,601.5,601.5,1584,7678.17,3053600,1116000,19-FEB-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,599.85,599.85,584,587.7,587.7,1371,6451.93,3812000,758400,22-FEB-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,587.2,588,560.55,569.45,569.45,3807,17456.01,5496800,1684800,23-FEB-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,560,572.5,554.7,556.65,556.65,4630,20892.79,7872800,2376000,24-FEB-2016,
FUTSTK,IBULHSGFIN,31-Mar-2016,0,XX,560.2,579.5,558.05,564.65,564.65,3544,16174.2,9634400,1761600,25-FEB-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,579,584,579,584,583.7,6,27.86,5600,4000,26-FEB-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,587.85,587.85,577.55,580.4,583.2,8,37.13,9600,4000,29-FEB-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,590.2,615,590,615,631.9,6,28.64,9600,0,01-MAR-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,662,664,650,650,650,18,95.01,17600,8000,02-MAR-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,657,657,637.8,651.05,651.05,13,67.24,15200,-2400,03-MAR-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,647.9,670,647.9,670,677.6,3,15.78,14400,-800,04-MAR-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,673,673,654.5,654.5,668.8,5,26.38,16000,1600,08-MAR-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,647.85,649.05,647.85,649.05,663.25,4,20.79,16000,0,09-MAR-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,649,653,647.5,651,651,7,36.4,15200,-800,10-MAR-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,642.6,645.1,642.6,645,654.25,3,15.46,16000,800,11-MAR-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,0,0,0,645,659.4,1,5.19,16800,800,14-MAR-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,653.85,653.85,645.8,645.8,656.15,5,25.94,18400,1600,15-MAR-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,645,645,625.35,634.8,634.8,22,111.09,24800,6400,16-MAR-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,640,640,630,632,632,25,127.05,28000,3200,17-MAR-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,631,635.75,612.65,618.4,618.4,127,629.48,103200,75200,18-MAR-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,630.05,656.4,629.65,652.7,652.7,148,766.67,125600,22400,21-MAR-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,653.6,654.5,644,650.85,650.85,217,1124.67,201600,76000,22-MAR-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,652,653.9,644.9,648.85,648.85,201,1043.52,304000,102400,23-MAR-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,648.05,655,635.95,637.05,637.05,2147,11033.11,1638400,1334400,28-MAR-2016,
FUTSTK,IBULHSGFIN,28-Apr-2016,0,XX,637.8,639.15,619,620.9,620.9,4797,24131.05,4968800,3330400,29-MAR-2016,
