INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,ICICIBANK,31-Mar-2016,0,XX,0,0,0,266.25,267.9,0,0,0,0,01-JAN-2016,
FUTSTK,ICICIBANK,31-Mar-2016,0,XX,256.5,257.05,255.9,256.7,256.7,15,65.4,23800,23800,04-JAN-2016,
FUTSTK,ICICIBANK,31-Mar-2016,0,XX,258.55,258.55,253.5,256.7,256.7,62,269.87,110500,86700,05-JAN-2016,
FUTSTK,ICICIBANK,31-Mar-2016,0,XX,254.8,254.8,250.25,251.85,251.85,49,210.59,124100,13600,06-JAN-2016,
FUTSTK,ICICIBANK,31-Mar-2016,0,XX,245.4,247,244.25,246.95,246.95,37,154.46,147900,23800,07-JAN-2016,
FUTSTK,ICICIBANK,31-Mar-2016,0,XX,247,247.2,245.4,245.8,245.8,18,75.38,163200,15300,08-JAN-2016,
FUTSTK,ICICIBANK,31-Mar-2016,0,XX,242,244.25,239.45,241.15,241.15,94,386.03,198900,35700,11-JAN-2016,
FUTSTK,ICICIBANK,31-Mar-2016,0,XX,241.8,241.8,237.15,237.95,237.95,58,234.51,253300,54400,12-JAN-2016,
FUTSTK,ICICIBANK,31-Mar-2016,0,XX,237.25,241.9,231.6,238.85,238.85,84,337.9,311100,57800,13-JAN-2016,
FUTSTK,ICICIBANK,31-Mar-2016,0,XX,234,238,230.7,234.15,234.15,91,361.03,368900,57800,14-JAN-2016,
FUTSTK,ICICIBANK,31-Mar-2016,0,XX,235,235,222.05,225.05,225.05,86,333.25,374000,5100,15-JAN-2016,
FUTSTK,ICICIBANK,31-Mar-2016,0,XX,226.95,227.85,218.5,223.4,223.4,127,482.71,426700,52700,18-JAN-2016,
FUTSTK,ICICIBANK,31-Mar-2016,0,XX,228,230.95,227,228.85,228.85,120,468.24,579700,153000,19-JAN-2016,
FUTSTK,ICICIBANK,31-Mar-2016,0,XX,223.5,225.1,219.75,224.35,224.35,58,218.89,601800,22100,20-JAN-2016,
FUTSTK,ICICIBANK,31-Mar-2016,0,XX,231.5,232.75,224.5,226.35,226.35,116,448.89,601800,0,21-JAN-2016,
FUTSTK,ICICIBANK,31-Mar-2016,0,XX,231.75,234.05,230,233.15,233.15,89,352.54,646000,44200,22-JAN-2016,
FUTSTK,ICICIBANK,31-Mar-2016,0,XX,236,238,233.1,234.15,234.15,196,781.34,758200,112200,25-JAN-2016,
FUTSTK,ICICIBANK,31-Mar-2016,0,XX,237.3,237.3,233.7,235.5,235.5,237,948.04,868700,110500,27-JAN-2016,
