INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,846.55,0,0,0,0,26-FEB-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,851.75,0,0,0,0,29-FEB-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,918.65,0,0,0,0,01-MAR-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,939.4,0,0,0,0,02-MAR-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,960.65,0,0,0,0,03-MAR-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,955.9,0,0,0,0,04-MAR-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,934.75,0,0,0,0,08-MAR-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,939.8,0,0,0,0,09-MAR-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,927.85,0,0,0,0,10-MAR-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,930.3,0,0,0,0,11-MAR-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,991.95,0,0,0,0,14-MAR-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,968.55,0,0,0,0,15-MAR-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,965.9,0,0,0,0,16-MAR-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,954.5,0,0,0,0,17-MAR-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,954.25,0,0,0,0,18-MAR-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,942.95,0,0,0,0,21-MAR-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,947.75,0,0,0,0,22-MAR-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,933.45,0,0,0,0,23-MAR-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,922.5,0,0,0,0,28-MAR-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,921,0,0,0,0,29-MAR-2016,
FUTSTK,ICIL,26-May-2016,0,XX,0,0,0,866.5,973.55,0,0,0,0,30-MAR-2016,
FUTSTK,ICIL,26-May-2016,0,XX,965.3,965.3,965.3,965.3,983.7,1,4.82,500,500,31-MAR-2016,
FUTSTK,ICIL,30-Jun-2016,0,XX,0,0,0,991.35,1006.4,0,0,0,0,01-APR-2016,
FUTSTK,ICIL,30-Jun-2016,0,XX,0,0,0,991.35,1042.7,0,0,0,0,04-APR-2016,
FUTSTK,ICIL,30-Jun-2016,0,XX,0,0,0,991.35,1006.15,0,0,0,0,05-APR-2016,
FUTSTK,ICIL,30-Jun-2016,0,XX,0,0,0,991.35,1028.25,0,0,0,0,06-APR-2016,
FUTSTK,ICIL,30-Jun-2016,0,XX,0,0,0,991.35,999.3,0,0,0,0,07-APR-2016,
FUTSTK,ICIL,30-Jun-2016,0,XX,0,0,0,991.35,996.2,0,0,0,0,08-APR-2016,
FUTSTK,ICIL,30-Jun-2016,0,XX,0,0,0,991.35,1024.25,0,0,0,0,11-APR-2016,
FUTSTK,ICIL,30-Jun-2016,0,XX,0,0,0,991.35,1015.2,0,0,0,0,12-APR-2016,
FUTSTK,ICIL,30-Jun-2016,0,XX,0,0,0,991.35,1019.55,0,0,0,0,13-APR-2016,
FUTSTK,ICIL,30-Jun-2016,0,XX,0,0,0,991.35,1073.9,0,0,0,0,18-APR-2016,
FUTSTK,ICIL,30-Jun-2016,0,XX,0,0,0,991.35,1083.35,0,0,0,0,20-APR-2016,
FUTSTK,ICIL,30-Jun-2016,0,XX,0,0,0,991.35,1056.25,0,0,0,0,21-APR-2016,
FUTSTK,ICIL,30-Jun-2016,0,XX,0,0,0,991.35,1052.75,0,0,0,0,22-APR-2016,
FUTSTK,ICIL,30-Jun-2016,0,XX,0,0,0,991.35,1047.2,0,0,0,0,25-APR-2016,
FUTSTK,ICIL,30-Jun-2016,0,XX,0,0,0,991.35,1064,0,0,0,0,26-APR-2016,
