INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,INFRATEL,31-Mar-2016,0,XX,0,0,0,436.1,435,0,0,0,0,01-JAN-2016,
FUTSTK,INFRATEL,31-Mar-2016,0,XX,0,0,0,436.1,437.75,0,0,0,0,04-JAN-2016,
FUTSTK,INFRATEL,31-Mar-2016,0,XX,0,0,0,436.1,428.65,0,0,0,0,05-JAN-2016,
FUTSTK,INFRATEL,31-Mar-2016,0,XX,0,0,0,436.1,417.6,0,0,0,0,06-JAN-2016,
FUTSTK,INFRATEL,31-Mar-2016,0,XX,0,0,0,436.1,406.55,0,0,0,0,07-JAN-2016,
FUTSTK,INFRATEL,31-Mar-2016,0,XX,0,0,0,436.1,407.05,0,0,0,0,08-JAN-2016,
FUTSTK,INFRATEL,31-Mar-2016,0,XX,0,0,0,436.1,401.6,0,0,0,0,11-JAN-2016,
FUTSTK,INFRATEL,31-Mar-2016,0,XX,0,0,0,436.1,401.7,0,0,0,0,12-JAN-2016,
FUTSTK,INFRATEL,31-Mar-2016,0,XX,0,0,0,436.1,404.25,0,0,0,0,13-JAN-2016,
FUTSTK,INFRATEL,31-Mar-2016,0,XX,0,0,0,436.1,401.65,0,0,0,0,14-JAN-2016,
FUTSTK,INFRATEL,31-Mar-2016,0,XX,0,0,0,436.1,394.45,0,0,0,0,15-JAN-2016,
FUTSTK,INFRATEL,31-Mar-2016,0,XX,0,0,0,436.1,385.45,0,0,0,0,18-JAN-2016,
FUTSTK,INFRATEL,31-Mar-2016,0,XX,0,0,0,436.1,379.85,0,0,0,0,19-JAN-2016,
FUTSTK,INFRATEL,31-Mar-2016,0,XX,0,0,0,436.1,359,0,0,0,0,20-JAN-2016,
FUTSTK,INFRATEL,31-Mar-2016,0,XX,0,0,0,436.1,367.95,0,0,0,0,21-JAN-2016,
FUTSTK,INFRATEL,31-Mar-2016,0,XX,0,0,0,436.1,368,0,0,0,0,22-JAN-2016,
FUTSTK,INFRATEL,31-Mar-2016,0,XX,0,0,0,436.1,372.45,0,0,0,0,25-JAN-2016,
FUTSTK,INFRATEL,31-Mar-2016,0,XX,0,0,0,436.1,387.95,0,0,0,0,27-JAN-2016,
FUTSTK,INFRATEL,31-Mar-2016,0,XX,0,0,0,436.1,374.4,0,0,0,0,28-JAN-2016,
FUTSTK,INFRATEL,28-Apr-2016,0,XX,0,0,0,376.65,368.3,0,0,0,0,29-JAN-2016,
FUTSTK,INFRATEL,28-Apr-2016,0,XX,0,0,0,376.65,376.65,0,0,0,0,01-FEB-2016,
FUTSTK,INFRATEL,28-Apr-2016,0,XX,0,0,0,376.65,374.35,0,0,0,0,02-FEB-2016,
FUTSTK,INFRATEL,28-Apr-2016,0,XX,0,0,0,376.65,362.9,0,0,0,0,03-FEB-2016,
FUTSTK,INFRATEL,28-Apr-2016,0,XX,0,0,0,376.65,362.85,0,0,0,0,04-FEB-2016,
FUTSTK,INFRATEL,28-Apr-2016,0,XX,0,0,0,376.65,370.45,0,0,0,0,05-FEB-2016,
FUTSTK,INFRATEL,28-Apr-2016,0,XX,0,0,0,376.65,372.95,0,0,0,0,08-FEB-2016,
FUTSTK,INFRATEL,28-Apr-2016,0,XX,0,0,0,376.65,363.8,0,0,0,0,09-FEB-2016,
FUTSTK,INFRATEL,28-Apr-2016,0,XX,0,0,0,376.65,360.75,0,0,0,0,10-FEB-2016,
FUTSTK,INFRATEL,28-Apr-2016,0,XX,0,0,0,376.65,362.1,0,0,0,0,11-FEB-2016,
FUTSTK,INFRATEL,28-Apr-2016,0,XX,0,0,0,376.65,390.6,0,0,0,0,12-FEB-2016,
FUTSTK,INFRATEL,28-Apr-2016,0,XX,0,0,0,376.65,394.3,0,0,0,0,15-FEB-2016,
