INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,755,784,750.85,757.9,757.9,468,2690.41,95250,95250,28-JAN-2022,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,778.95,784.75,764.85,771.65,771.65,227,1317.27,158250,63000,31-JAN-2022,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,776.45,780,760.05,769.65,769.65,142,820.55,167250,9000,01-FEB-2022,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,774,802,773.95,776.65,776.65,926,5453.55,279750,112500,02-FEB-2022,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,776.5,777.55,748.7,751.25,751.25,680,3895.14,326250,46500,03-FEB-2022,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,743.65,769,737.5,743.4,743.4,723,4063.07,297750,-28500,04-FEB-2022,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,732,746,722.8,724.55,724.55,701,3857.23,297750,0,07-FEB-2022,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,726.95,736.4,701,707.35,707.35,789,4228.19,324750,27000,08-FEB-2022,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,708.4,736,708.4,718.05,718.05,978,5273.22,345000,20250,09-FEB-2022,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,719,730.7,711.3,723.85,723.85,481,2594.38,376500,31500,10-FEB-2022,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,703.05,713.95,684.45,687.2,687.2,740,3887.17,374250,-2250,11-FEB-2022,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,653.05,671.2,641.2,656.7,656.7,687,3415.11,380250,6000,14-FEB-2022,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,670.2,686.15,650.5,677.4,677.4,1510,7524.92,420000,39750,15-FEB-2022,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,692.2,698.9,680.45,687.15,687.15,429,2218.07,375750,-44250,16-FEB-2022,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,686.05,691.1,669.15,671.95,671.95,174,882.92,350250,-25500,17-FEB-2022,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,668,684.05,667,680.1,680.1,565,2857.25,332250,-18000,18-FEB-2022,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,668.95,677.3,659.15,669.25,669.25,702,3519.19,255750,-76500,21-FEB-2022,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,640,658,640,652.35,652.35,792,3869.68,237750,-18000,22-FEB-2022,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,659.95,671.4,659.95,667.75,667.75,603,3017.14,161250,-76500,23-FEB-2022,
FUTSTK,INTELLECT,24-Feb-2022,0,XX,634.6,643.65,616,619.65,621.05,685,3251.18,45750,-115500,24-FEB-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,645.4,660,630,646.85,646.85,742,3590.67,393750,19500,25-FEB-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,626.05,663.25,626,657.45,657.45,570,2760.8,443250,49500,28-FEB-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,655,667.5,645.1,655,655,816,4002.38,494250,51000,02-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,660,670.2,653.45,658.35,658.35,575,2849.81,533250,39000,03-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,657,693.3,649.1,682.65,682.65,1015,5147.34,560250,27000,04-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,676.95,687.75,655,681.6,681.6,589,2973.75,555000,-5250,07-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,687.75,719.95,687.75,713.6,713.6,803,4279.6,573750,18750,08-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,716.9,731.95,711.8,722,722,517,2796.86,534000,-39750,09-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,733.05,735.05,711.75,722.35,722.35,430,2330.57,515250,-18750,10-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,712.35,748,712.35,740.65,740.65,466,2553.49,570750,55500,11-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,742.3,752.65,721.7,736.4,736.4,596,3290.59,578250,7500,14-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,739.75,746.65,712.2,716.7,716.7,384,2094.12,564000,-14250,15-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,725.85,774.3,723.2,764.55,764.55,1002,5659.37,595500,31500,16-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,770.85,780.95,759.95,770.55,770.55,667,3863.11,661500,66000,17-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,770.1,820.9,770.1,806.45,806.45,1450,8693.98,827250,165750,21-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,810,848.95,794.55,822.8,822.8,3153,19577.11,893250,66000,22-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,830.05,843.9,819,839.95,839.95,1098,6874.11,861000,-32250,23-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,835.05,857.65,835.05,852.75,852.75,713,4537.44,825000,-36000,24-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,859.5,886,840.2,861.8,861.8,1492,9689.3,914250,89250,25-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,865.45,869.1,834.1,861.75,861.75,898,5749.34,699750,-214500,28-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,865.95,916.1,864.9,904.4,904.4,1869,12587.77,496500,-203250,29-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,907.85,922.35,896.45,915.45,915.45,1093,7485.02,203250,-293250,30-MAR-2022,
FUTSTK,INTELLECT,31-Mar-2022,0,XX,919.95,949.05,915.8,943.7,945.8,662,4613.81,72750,-130500,31-MAR-2022,
FUTSTK,INTELLECT,28-Apr-2022,0,XX,940.55,946.7,913.2,915.55,915.55,1036,7193.94,1089000,36000,01-APR-2022,
FUTSTK,INTELLECT,28-Apr-2022,0,XX,922.15,936.4,917.3,931,931,1011,7017.76,1149750,60750,04-APR-2022,
FUTSTK,INTELLECT,28-Apr-2022,0,XX,937.8,975,931,963.25,963.25,1947,13952.45,1164750,15000,05-APR-2022,
FUTSTK,INTELLECT,28-Apr-2022,0,XX,940.05,980.95,940.05,975.3,975.3,1278,9314.19,1175250,10500,06-APR-2022,
FUTSTK,INTELLECT,28-Apr-2022,0,XX,976,992,947.45,958.05,958.05,976,7093.48,1198500,23250,07-APR-2022,
FUTSTK,INTELLECT,28-Apr-2022,0,XX,963.25,976.35,958.55,963.9,963.9,458,3328.01,1267500,69000,08-APR-2022,
FUTSTK,INTELLECT,28-Apr-2022,0,XX,959.15,967.7,936.65,955.45,955.45,688,4909.32,1303500,36000,11-APR-2022,
FUTSTK,INTELLECT,28-Apr-2022,0,XX,951,951,902.6,922,922,999,6946.75,1445250,141750,12-APR-2022,
FUTSTK,INTELLECT,28-Apr-2022,0,XX,927,930.95,906.15,917.05,917.05,486,3343.63,1482000,36750,13-APR-2022,
FUTSTK,INTELLECT,28-Apr-2022,0,XX,899,901.05,869.85,885.15,885.15,774,5128.01,1503000,21000,18-APR-2022,
FUTSTK,INTELLECT,28-Apr-2022,0,XX,884.65,884.65,821.15,832.75,832.75,587,3757.57,1548750,45750,19-APR-2022,
FUTSTK,INTELLECT,28-Apr-2022,0,XX,836.3,849.8,827.5,839.25,839.25,703,4425.86,1460250,-88500,20-APR-2022,
FUTSTK,INTELLECT,28-Apr-2022,0,XX,847.85,864.95,841.15,846.25,846.25,491,3131.64,1461000,750,21-APR-2022,
FUTSTK,INTELLECT,28-Apr-2022,0,XX,836.3,848.25,813,815.85,815.85,907,5679.41,1248000,-213000,22-APR-2022,
FUTSTK,INTELLECT,28-Apr-2022,0,XX,805,848.15,803.9,834.8,834.8,1483,9210.92,981750,-266250,25-APR-2022,
FUTSTK,INTELLECT,28-Apr-2022,0,XX,838.5,850.95,805.85,811,811,887,5486.92,698250,-283500,26-APR-2022,
FUTSTK,INTELLECT,28-Apr-2022,0,XX,806.9,823,788.15,817.6,817.6,891,5386.02,354750,-343500,27-APR-2022,
