INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,134.1,0,0,0,0,26-FEB-2016,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,136.5,0,0,0,0,29-FEB-2016,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,140.25,0,0,0,0,01-MAR-2016,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,144.7,0,0,0,0,02-MAR-2016,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,154.05,0,0,0,0,03-MAR-2016,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,147.3,0,0,0,0,04-MAR-2016,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,145.15,0,0,0,0,08-MAR-2016,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,143.55,0,0,0,0,09-MAR-2016,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,144.75,0,0,0,0,10-MAR-2016,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,144.85,0,0,0,0,11-MAR-2016,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,144.55,0,0,0,0,14-MAR-2016,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,142.9,0,0,0,0,15-MAR-2016,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,142.75,0,0,0,0,16-MAR-2016,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,143.8,0,0,0,0,17-MAR-2016,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,145.7,0,0,0,0,18-MAR-2016,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,145.15,0,0,0,0,21-MAR-2016,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,145.5,0,0,0,0,22-MAR-2016,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,145.9,0,0,0,0,23-MAR-2016,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,145.6,0,0,0,0,28-MAR-2016,
FUTSTK,KPIT,26-May-2016,0,XX,0,0,0,129.45,143.8,0,0,0,0,29-MAR-2016,
FUTSTK,KPIT,26-May-2016,0,XX,145.6,145.6,145.6,145.6,144.55,1,5.82,4000,4000,30-MAR-2016,
FUTSTK,KPIT,26-May-2016,0,XX,147.9,147.9,147.9,147.9,149.7,1,5.91,4000,0,31-MAR-2016,
FUTSTK,KPIT,30-Jun-2016,0,XX,0,0,0,150.9,154.45,0,0,0,0,01-APR-2016,
FUTSTK,KPIT,30-Jun-2016,0,XX,0,0,0,150.9,153.95,0,0,0,0,04-APR-2016,
FUTSTK,KPIT,30-Jun-2016,0,XX,0,0,0,150.9,151.85,0,0,0,0,05-APR-2016,
FUTSTK,KPIT,30-Jun-2016,0,XX,0,0,0,150.9,152.15,0,0,0,0,06-APR-2016,
FUTSTK,KPIT,30-Jun-2016,0,XX,0,0,0,150.9,146.75,0,0,0,0,07-APR-2016,
FUTSTK,KPIT,30-Jun-2016,0,XX,0,0,0,150.9,146.45,0,0,0,0,08-APR-2016,
FUTSTK,KPIT,30-Jun-2016,0,XX,0,0,0,150.9,150.35,0,0,0,0,11-APR-2016,
FUTSTK,KPIT,30-Jun-2016,0,XX,0,0,0,150.9,150.25,0,0,0,0,12-APR-2016,
FUTSTK,KPIT,30-Jun-2016,0,XX,0,0,0,150.9,149.95,0,0,0,0,13-APR-2016,
FUTSTK,KPIT,30-Jun-2016,0,XX,0,0,0,150.9,155.6,0,0,0,0,18-APR-2016,
FUTSTK,KPIT,30-Jun-2016,0,XX,0,0,0,150.9,155.85,0,0,0,0,20-APR-2016,
FUTSTK,KPIT,30-Jun-2016,0,XX,0,0,0,150.9,156.55,0,0,0,0,21-APR-2016,
FUTSTK,KPIT,30-Jun-2016,0,XX,0,0,0,150.9,152.05,0,0,0,0,22-APR-2016,
FUTSTK,KPIT,30-Jun-2016,0,XX,0,0,0,150.9,153.6,0,0,0,0,25-APR-2016,
FUTSTK,KPIT,30-Jun-2016,0,XX,0,0,0,150.9,154.1,0,0,0,0,26-APR-2016,
FUTSTK,KPIT,30-Jun-2016,0,XX,0,0,0,150.9,156.25,0,0,0,0,27-APR-2016,
FUTSTK,KPIT,30-Jun-2016,0,XX,0,0,0,163.1,163.1,4,25.91,0,0,28-APR-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,162.85,0,0,0,0,29-APR-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,162.25,0,0,0,0,02-MAY-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,162.85,0,0,0,0,03-MAY-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,160.9,0,0,0,0,04-MAY-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,161.4,0,0,0,0,05-MAY-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,160.5,0,0,0,0,06-MAY-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,166.15,0,0,0,0,09-MAY-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,167.1,0,0,0,0,10-MAY-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,167.25,0,0,0,0,11-MAY-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,167.25,0,0,0,0,12-MAY-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,167.05,0,0,0,0,13-MAY-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,163.85,0,0,0,0,16-MAY-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,162.65,0,0,0,0,17-MAY-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,165.75,0,0,0,0,18-MAY-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,166.6,0,0,0,0,19-MAY-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,166.15,0,0,0,0,20-MAY-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,163.4,0,0,0,0,23-MAY-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,164.15,0,0,0,0,24-MAY-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,165.55,0,0,0,0,25-MAY-2016,
FUTSTK,KPIT,28-Jul-2016,0,XX,0,0,0,164.05,167.15,0,0,0,0,26-MAY-2016,
