INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,LTIM,29-Dec-2022,0,XX,5127.3,5127.65,5011,5018.3,5018.3,1676,12673.66,1528050,15150,05-DEC-2022,
FUTSTK,LTIM,29-Dec-2022,0,XX,4998.95,4998.95,4845.1,4858.95,4858.95,2986,21881.38,1605450,77400,06-DEC-2022,
FUTSTK,LTIM,29-Dec-2022,0,XX,4857.9,4857.9,4705.15,4726.6,4726.6,3598,25618.89,1698300,92850,07-DEC-2022,
FUTSTK,LTIM,29-Dec-2022,0,XX,4738.85,4738.85,4590,4596.9,4596.9,4043,28097.46,1885050,186750,08-DEC-2022,
FUTSTK,LTIM,29-Dec-2022,0,XX,4630,4637.75,4417,4434.35,4434.35,5389,36407.26,1985250,100200,09-DEC-2022,
FUTSTK,LTIM,29-Dec-2022,0,XX,4411,4423.85,4305.05,4367.95,4367.95,4706,30783.03,2035200,49950,12-DEC-2022,
FUTSTK,LTIM,29-Dec-2022,0,XX,4365,4403.95,4338.8,4352,4352,3875,25340.36,2131350,96150,13-DEC-2022,
FUTSTK,LTIM,29-Dec-2022,0,XX,4402,4487.85,4383.55,4469.8,4469.8,5501,36755.54,2134800,3450,14-DEC-2022,
FUTSTK,LTIM,29-Dec-2022,0,XX,4463.35,4478.45,4334,4349.2,4349.2,3135,20660.89,2136750,1950,15-DEC-2022,
FUTSTK,LTIM,29-Dec-2022,0,XX,4310,4410,4245.15,4348,4348,4486,29155.32,2051850,-84900,16-DEC-2022,
FUTSTK,LTIM,29-Dec-2022,0,XX,4316.9,4406.9,4282.6,4397.2,4397.2,2163,14116.79,2016300,-35550,19-DEC-2022,
FUTSTK,LTIM,29-Dec-2022,0,XX,4350.05,4384.8,4305.1,4379.05,4379.05,2061,13437.17,1989450,-26850,20-DEC-2022,
FUTSTK,LTIM,29-Dec-2022,0,XX,4398.9,4463.4,4394.15,4430.65,4430.65,4029,26803.13,1834200,-155250,21-DEC-2022,
FUTSTK,LTIM,29-Dec-2022,0,XX,4465.4,4480,4365.5,4391.05,4391.05,2002,13255.31,1776300,-57900,22-DEC-2022,
FUTSTK,LTIM,29-Dec-2022,0,XX,4320,4364,4240.7,4270.45,4270.45,2776,17872.46,1686300,-90000,23-DEC-2022,
FUTSTK,LTIM,29-Dec-2022,0,XX,4269.75,4354.35,4258.45,4346.3,4346.3,4430,28718.95,1318650,-367650,26-DEC-2022,
FUTSTK,LTIM,29-Dec-2022,0,XX,4385,4420.8,4353.7,4388.1,4388.1,4278,28167.39,914850,-403800,27-DEC-2022,
FUTSTK,LTIM,29-Dec-2022,0,XX,4362.3,4364.95,4305,4333.9,4333.9,3800,24750.89,564150,-350700,28-DEC-2022,
FUTSTK,LTIM,29-Dec-2022,0,XX,4292.75,4425.45,4275.05,4401.4,4420.2,5600,36412.25,196800,-367350,29-DEC-2022,
FUTSTK,LTIM,25-Jan-2023,0,XX,4435.75,4484,4377,4387.35,4387.35,3055,20311,1771350,28800,30-DEC-2022,
FUTSTK,LTIM,25-Jan-2023,0,XX,4424.9,4425,4307.85,4348.75,4348.75,2485,16218.84,1800450,29100,02-JAN-2023,
FUTSTK,LTIM,25-Jan-2023,0,XX,4357.95,4390.5,4344.15,4376.6,4376.6,1536,10069.92,1831650,31200,03-JAN-2023,
FUTSTK,LTIM,25-Jan-2023,0,XX,4331.95,4335,4275.45,4300.5,4300.5,3529,22770.65,1857900,26250,04-JAN-2023,
FUTSTK,LTIM,25-Jan-2023,0,XX,4309.95,4315,4257.05,4280.45,4280.45,1490,9567.07,1838250,-19650,05-JAN-2023,
FUTSTK,LTIM,25-Jan-2023,0,XX,4273.9,4296,4188.1,4210.5,4210.5,2247,14285.64,1798800,-39450,06-JAN-2023,
FUTSTK,LTIM,25-Jan-2023,0,XX,4264.8,4353.5,4248.35,4319.6,4319.6,3806,24567.25,1739250,-59550,09-JAN-2023,
FUTSTK,LTIM,25-Jan-2023,0,XX,4301.1,4308.15,4225.55,4251.75,4251.75,1792,11428.96,1756050,16800,10-JAN-2023,
FUTSTK,LTIM,25-Jan-2023,0,XX,4258.55,4322,4226.5,4245.25,4245.25,2469,15858.87,1787700,31650,11-JAN-2023,
FUTSTK,LTIM,25-Jan-2023,0,XX,4268.25,4306.9,4253.25,4286.35,4286.35,2001,12857.15,1766850,-20850,12-JAN-2023,
FUTSTK,LTIM,25-Jan-2023,0,XX,4324.8,4324.8,4151.3,4302.7,4302.7,4368,27729.89,1706550,-60300,13-JAN-2023,
FUTSTK,LTIM,25-Jan-2023,0,XX,4239.4,4321.95,4214.5,4282.25,4282.25,4175,26749.67,1853100,146550,16-JAN-2023,
FUTSTK,LTIM,25-Jan-2023,0,XX,4278,4309,4254.5,4284.05,4284.05,2014,12935.01,1834500,-18600,17-JAN-2023,
FUTSTK,LTIM,25-Jan-2023,0,XX,4290.85,4309,4270,4289.65,4289.65,1743,11218,1782450,-52050,18-JAN-2023,
FUTSTK,LTIM,25-Jan-2023,0,XX,4262.8,4286.45,4238.1,4254.1,4254.1,2251,14395.36,1716600,-65850,19-JAN-2023,
FUTSTK,LTIM,25-Jan-2023,0,XX,4225.15,4353.6,4220,4269.9,4269.9,5669,36443.79,1496400,-220200,20-JAN-2023,
