INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,MIDCPNIFTY,15-Mar-2022,0,XX,0,0,0,7594.1,7305.85,0,0,0,0,24-JAN-2022,
FUTIDX,MIDCPNIFTY,15-Mar-2022,0,XX,0,0,0,7594.1,7405.15,0,0,0,0,25-JAN-2022,
FUTIDX,MIDCPNIFTY,22-Mar-2022,0,XX,0,0,0,7600.2,7395,0,0,0,0,27-JAN-2022,
FUTIDX,MIDCPNIFTY,22-Mar-2022,0,XX,0,0,0,7600.2,7457.2,0,0,0,0,28-JAN-2022,
FUTIDX,MIDCPNIFTY,22-Mar-2022,0,XX,0,0,0,7600.2,7558.15,0,0,0,0,31-JAN-2022,
FUTIDX,MIDCPNIFTY,22-Mar-2022,0,XX,0,0,0,7600.2,7643.05,0,0,0,0,01-FEB-2022,
FUTIDX,MIDCPNIFTY,29-Mar-2022,0,XX,7724.3,7724.3,7724.25,7724.25,7740.6,2,11.58,150,150,02-FEB-2022,
FUTIDX,MIDCPNIFTY,29-Mar-2022,0,XX,7473.1,7473.1,7473.1,7473.1,7668.6,1,5.6,75,-75,03-FEB-2022,
FUTIDX,MIDCPNIFTY,29-Mar-2022,0,XX,0,0,0,7473.1,7550.95,0,0,75,0,04-FEB-2022,
FUTIDX,MIDCPNIFTY,29-Mar-2022,0,XX,7497.25,7497.25,7497.25,7497.25,7488.85,1,5.62,75,0,07-FEB-2022,
FUTIDX,MIDCPNIFTY,29-Mar-2022,0,XX,0,0,0,7497.25,7435.95,0,0,75,0,08-FEB-2022,
FUTIDX,MIDCPNIFTY,05-Apr-2022,0,XX,0,0,0,7655.4,7557.1,0,0,0,0,09-FEB-2022,
FUTIDX,MIDCPNIFTY,05-Apr-2022,0,XX,0,0,0,7655.4,7573.55,0,0,0,0,10-FEB-2022,
FUTIDX,MIDCPNIFTY,05-Apr-2022,0,XX,0,0,0,7655.4,7407.3,0,0,0,0,11-FEB-2022,
FUTIDX,MIDCPNIFTY,05-Apr-2022,0,XX,0,0,0,7655.4,7087.8,0,0,0,0,14-FEB-2022,
FUTIDX,MIDCPNIFTY,05-Apr-2022,0,XX,0,0,0,7655.4,7351.55,0,0,0,0,15-FEB-2022,
FUTIDX,MIDCPNIFTY,12-Apr-2022,0,XX,0,0,0,7447.95,7337.35,0,0,0,0,16-FEB-2022,
FUTIDX,MIDCPNIFTY,12-Apr-2022,0,XX,0,0,0,7447.95,7321.8,0,0,0,0,17-FEB-2022,
FUTIDX,MIDCPNIFTY,12-Apr-2022,0,XX,0,0,0,7447.95,7254.8,0,0,0,0,18-FEB-2022,
FUTIDX,MIDCPNIFTY,12-Apr-2022,0,XX,0,0,0,7447.95,7187.25,0,0,0,0,21-FEB-2022,
FUTIDX,MIDCPNIFTY,12-Apr-2022,0,XX,0,0,0,7447.95,7126.75,0,0,0,0,22-FEB-2022,
FUTIDX,MIDCPNIFTY,19-Apr-2022,0,XX,0,0,0,7363.45,7140.7,0,0,0,0,23-FEB-2022,
FUTIDX,MIDCPNIFTY,19-Apr-2022,0,XX,0,0,0,7363.45,6702,0,0,0,0,24-FEB-2022,
FUTIDX,MIDCPNIFTY,19-Apr-2022,0,XX,0,0,0,7363.45,6988.7,0,0,0,0,25-FEB-2022,
FUTIDX,MIDCPNIFTY,19-Apr-2022,0,XX,0,0,0,7363.45,7050.25,0,0,0,0,28-FEB-2022,
FUTIDX,MIDCPNIFTY,26-Apr-2022,0,XX,7005.15,7005.15,6894.6,6894.6,6894.6,2,10.42,150,-75,02-MAR-2022,
FUTIDX,MIDCPNIFTY,26-Apr-2022,0,XX,6988,6988,6814.9,6814.9,6814.9,2,10.35,150,0,03-MAR-2022,
FUTIDX,MIDCPNIFTY,26-Apr-2022,0,XX,0,0,0,6814.9,6789.3,0,0,150,0,04-MAR-2022,
FUTIDX,MIDCPNIFTY,26-Apr-2022,0,XX,0,0,0,6814.9,6613.8,0,0,150,0,07-MAR-2022,
FUTIDX,MIDCPNIFTY,26-Apr-2022,0,XX,6692.7,6692.7,6692.7,6692.7,6710.55,1,5.01,150,0,08-MAR-2022,
FUTIDX,MIDCPNIFTY,02-May-2022,0,XX,0,0,0,7060.05,6891.3,0,0,0,0,09-MAR-2022,
FUTIDX,MIDCPNIFTY,02-May-2022,0,XX,0,0,0,7060.05,6938.75,0,0,0,0,10-MAR-2022,
FUTIDX,MIDCPNIFTY,02-May-2022,0,XX,0,0,0,7060.05,6976.65,0,0,0,0,11-MAR-2022,
FUTIDX,MIDCPNIFTY,02-May-2022,0,XX,0,0,0,7060.05,6987.5,0,0,0,0,14-MAR-2022,
FUTIDX,MIDCPNIFTY,02-May-2022,0,XX,0,0,0,7060.05,6969.65,0,0,0,0,15-MAR-2022,
FUTIDX,MIDCPNIFTY,10-May-2022,0,XX,0,0,0,6721.4,7137.05,0,0,0,0,16-MAR-2022,
FUTIDX,MIDCPNIFTY,10-May-2022,0,XX,0,0,0,6721.4,7262.1,0,0,0,0,17-MAR-2022,
FUTIDX,MIDCPNIFTY,10-May-2022,0,XX,0,0,0,6721.4,7171.55,0,0,0,0,21-MAR-2022,
FUTIDX,MIDCPNIFTY,10-May-2022,0,XX,0,0,0,6721.4,7197.8,0,0,0,0,22-MAR-2022,
FUTIDX,MIDCPNIFTY,17-May-2022,0,XX,0,0,0,6981.6,7225.5,0,0,0,0,23-MAR-2022,
FUTIDX,MIDCPNIFTY,17-May-2022,0,XX,0,0,0,6981.6,7270.9,0,0,0,0,24-MAR-2022,
FUTIDX,MIDCPNIFTY,17-May-2022,0,XX,0,0,0,6981.6,7259,0,0,0,0,25-MAR-2022,
FUTIDX,MIDCPNIFTY,17-May-2022,0,XX,0,0,0,6981.6,7215.05,0,0,0,0,28-MAR-2022,
FUTIDX,MIDCPNIFTY,17-May-2022,0,XX,0,0,0,6981.6,7242.95,0,0,0,0,29-MAR-2022,
FUTIDX,MIDCPNIFTY,24-May-2022,0,XX,0,0,0,7209.4,7320.15,0,0,0,0,30-MAR-2022,
FUTIDX,MIDCPNIFTY,24-May-2022,0,XX,0,0,0,7209.4,7343.55,0,0,0,0,31-MAR-2022,
FUTIDX,MIDCPNIFTY,24-May-2022,0,XX,0,0,0,7209.4,7441.95,0,0,0,0,01-APR-2022,
FUTIDX,MIDCPNIFTY,24-May-2022,0,XX,0,0,0,7209.4,7534.65,0,0,0,0,04-APR-2022,
FUTIDX,MIDCPNIFTY,24-May-2022,0,XX,0,0,0,7209.4,7642.55,0,0,0,0,05-APR-2022,
FUTIDX,MIDCPNIFTY,31-May-2022,0,XX,0,0,0,7450,7676.2,0,0,600,0,06-APR-2022,
FUTIDX,MIDCPNIFTY,31-May-2022,0,XX,7680.7,7680.7,7680.7,7680.7,7604.7,1,5.76,600,0,07-APR-2022,
FUTIDX,MIDCPNIFTY,31-May-2022,0,XX,7635,7635,7635,7635,7674.8,1,5.72,525,-75,08-APR-2022,
