INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,NHPC,28-Jan-2016,0,XX,20.95,21.55,20.85,21.35,21.35,337,1934.9,29376000,810000,01-JAN-2016,
FUTSTK,NHPC,28-Jan-2016,0,XX,21.15,21.95,21,21.45,21.45,511,2971.55,29187000,-189000,04-JAN-2016,
FUTSTK,NHPC,28-Jan-2016,0,XX,21.6,22.5,21.5,22.15,22.15,598,3563.82,30375000,1188000,05-JAN-2016,
FUTSTK,NHPC,28-Jan-2016,0,XX,22.25,22.4,21.75,21.9,21.9,337,2009.61,30861000,486000,06-JAN-2016,
FUTSTK,NHPC,28-Jan-2016,0,XX,21.45,21.6,20.55,20.65,20.65,433,2456.83,30267000,-594000,07-JAN-2016,
FUTSTK,NHPC,28-Jan-2016,0,XX,20.9,21.2,20.65,21.15,21.15,208,1175.64,29565000,-702000,08-JAN-2016,
FUTSTK,NHPC,28-Jan-2016,0,XX,20.85,21.15,20.7,20.9,20.9,198,1119.04,29619000,54000,11-JAN-2016,
FUTSTK,NHPC,28-Jan-2016,0,XX,20.85,21.1,20.65,20.7,20.7,180,1012.52,29997000,378000,12-JAN-2016,
FUTSTK,NHPC,28-Jan-2016,0,XX,20.85,20.95,19.7,20.15,20.15,391,2136.61,29565000,-432000,13-JAN-2016,
FUTSTK,NHPC,28-Jan-2016,0,XX,19.8,20.75,19.65,20.2,20.2,294,1604.17,29403000,-162000,14-JAN-2016,
FUTSTK,NHPC,28-Jan-2016,0,XX,20.4,20.45,19.4,19.55,19.55,223,1204.82,29484000,81000,15-JAN-2016,
FUTSTK,NHPC,28-Jan-2016,0,XX,19.7,20,18.85,19.2,19.2,266,1390.4,29430000,-54000,18-JAN-2016,
FUTSTK,NHPC,28-Jan-2016,0,XX,19.35,19.65,19.2,19.5,19.5,424,2230.1,30024000,594000,19-JAN-2016,
FUTSTK,NHPC,28-Jan-2016,0,XX,19.25,19.25,18.65,18.9,18.9,217,1109.68,29457000,-567000,20-JAN-2016,
FUTSTK,NHPC,28-Jan-2016,0,XX,19.05,19.3,18.85,19.1,19.1,262,1347.24,27486000,-1971000,21-JAN-2016,
FUTSTK,NHPC,28-Jan-2016,0,XX,19.25,19.65,19.25,19.6,19.6,222,1167.04,27351000,-135000,22-JAN-2016,
FUTSTK,NHPC,28-Jan-2016,0,XX,19.6,19.9,19.35,19.45,19.45,239,1263.55,27351000,0,25-JAN-2016,
FUTSTK,NHPC,28-Jan-2016,0,XX,19.6,20,19.25,19.95,19.95,583,3109.99,22032000,-5319000,27-JAN-2016,
FUTSTK,NHPC,28-Jan-2016,0,XX,19.9,20.8,19.8,20.2,20.1,1454,7935,13014000,-9018000,28-JAN-2016,
FUTSTK,NHPC,25-Feb-2016,0,XX,20.1,20.95,20.1,20.85,20.85,274,1526.68,29808000,135000,29-JAN-2016,
FUTSTK,NHPC,25-Feb-2016,0,XX,21,21.4,20.6,20.8,20.8,303,1723.8,29322000,-486000,01-FEB-2016,
FUTSTK,NHPC,25-Feb-2016,0,XX,20.85,21.15,20.4,20.55,20.55,167,937.33,29133000,-189000,02-FEB-2016,
FUTSTK,NHPC,25-Feb-2016,0,XX,20.5,20.5,19.75,19.9,19.9,143,775.53,29430000,297000,03-FEB-2016,
FUTSTK,NHPC,25-Feb-2016,0,XX,20.05,20.15,19.75,19.85,19.85,115,618.63,29700000,270000,04-FEB-2016,
FUTSTK,NHPC,25-Feb-2016,0,XX,19.8,20.45,19.8,20.35,20.35,136,740.9,30348000,648000,05-FEB-2016,
FUTSTK,NHPC,25-Feb-2016,0,XX,20.4,20.9,20.35,20.45,20.45,179,997.02,30807000,459000,08-FEB-2016,
FUTSTK,NHPC,25-Feb-2016,0,XX,20.2,20.55,20.15,20.5,20.5,127,701.37,30753000,-54000,09-FEB-2016,
FUTSTK,NHPC,25-Feb-2016,0,XX,20.45,21.2,20.25,20.45,20.45,2037,11336.8,39258000,8505000,10-FEB-2016,
FUTSTK,NHPC,25-Feb-2016,0,XX,20.4,20.5,18.65,18.95,18.95,515,2703.86,38718000,-540000,11-FEB-2016,
