INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,NIITTECH,29-Sep-2016,0,XX,0,0,0,522,526.15,0,0,0,0,01-JUL-2016,
FUTSTK,NIITTECH,29-Sep-2016,0,XX,0,0,0,522,532.65,0,0,0,0,04-JUL-2016,
FUTSTK,NIITTECH,29-Sep-2016,0,XX,0,0,0,522,538.6,0,0,0,0,05-JUL-2016,
FUTSTK,NIITTECH,29-Sep-2016,0,XX,0,0,0,522,517.6,0,0,0,0,07-JUL-2016,
FUTSTK,NIITTECH,29-Sep-2016,0,XX,0,0,0,522,510.85,0,0,0,0,08-JUL-2016,
FUTSTK,NIITTECH,29-Sep-2016,0,XX,0,0,0,522,511.3,0,0,0,0,11-JUL-2016,
FUTSTK,NIITTECH,29-Sep-2016,0,XX,0,0,0,522,511.75,0,0,0,0,12-JUL-2016,
FUTSTK,NIITTECH,29-Sep-2016,0,XX,0,0,0,522,511.25,0,0,0,0,13-JUL-2016,
FUTSTK,NIITTECH,29-Sep-2016,0,XX,0,0,0,522,504.7,0,0,0,0,14-JUL-2016,
FUTSTK,NIITTECH,29-Sep-2016,0,XX,462,462,457.6,457.6,477.1,4,18.34,4000,4000,15-JUL-2016,
FUTSTK,NIITTECH,29-Sep-2016,0,XX,473.6,473.6,473.6,473.6,479.3,1,4.73,4000,0,18-JUL-2016,
FUTSTK,NIITTECH,29-Sep-2016,0,XX,0,0,0,473.6,478.5,0,0,4000,0,19-JUL-2016,
FUTSTK,NIITTECH,29-Sep-2016,0,XX,0,0,0,473.6,475.4,0,0,4000,0,20-JUL-2016,
FUTSTK,NIITTECH,29-Sep-2016,0,XX,458.15,458.15,458.15,458.15,472.05,1,4.58,4000,0,21-JUL-2016,
FUTSTK,NIITTECH,29-Sep-2016,0,XX,465.35,465.35,465.35,465.35,469.85,1,4.65,3000,-1000,22-JUL-2016,
FUTSTK,NIITTECH,29-Sep-2016,0,XX,0,0,0,465.35,466.85,0,0,3000,0,25-JUL-2016,
FUTSTK,NIITTECH,29-Sep-2016,0,XX,469.95,475.95,469.95,475.95,475.95,3,14.15,2000,-1000,26-JUL-2016,
FUTSTK,NIITTECH,29-Sep-2016,0,XX,470,470,470,470,465.75,1,4.7,3000,1000,27-JUL-2016,
FUTSTK,NIITTECH,29-Sep-2016,0,XX,474,474,474,474,474,1,4.74,2000,-1000,28-JUL-2016,
FUTSTK,NIITTECH,27-Oct-2016,0,XX,0,0,0,475.7,457.85,0,0,0,0,29-JUL-2016,
FUTSTK,NIITTECH,27-Oct-2016,0,XX,0,0,0,475.7,453.5,0,0,0,0,01-AUG-2016,
FUTSTK,NIITTECH,27-Oct-2016,0,XX,0,0,0,475.7,449.65,0,0,0,0,02-AUG-2016,
FUTSTK,NIITTECH,27-Oct-2016,0,XX,0,0,0,475.7,429.1,0,0,0,0,03-AUG-2016,
FUTSTK,NIITTECH,27-Oct-2016,0,XX,0,0,0,475.7,432.2,0,0,0,0,04-AUG-2016,
FUTSTK,NIITTECH,27-Oct-2016,0,XX,0,0,0,475.7,429.75,0,0,0,0,05-AUG-2016,
FUTSTK,NIITTECH,27-Oct-2016,0,XX,0,0,0,475.7,428.15,0,0,0,0,08-AUG-2016,
FUTSTK,NIITTECH,27-Oct-2016,0,XX,0,0,0,475.7,421.1,0,0,0,0,09-AUG-2016,
FUTSTK,NIITTECH,27-Oct-2016,0,XX,0,0,0,475.7,413.4,0,0,0,0,10-AUG-2016,
FUTSTK,NIITTECH,27-Oct-2016,0,XX,0,0,0,475.7,419.45,0,0,0,0,11-AUG-2016,
FUTSTK,NIITTECH,27-Oct-2016,0,XX,0,0,0,475.7,417.05,0,0,0,0,12-AUG-2016,
FUTSTK,NIITTECH,27-Oct-2016,0,XX,0,0,0,475.7,416.05,0,0,0,0,16-AUG-2016,
FUTSTK,NIITTECH,27-Oct-2016,0,XX,0,0,0,475.7,413.3,0,0,0,0,17-AUG-2016,
FUTSTK,NIITTECH,27-Oct-2016,0,XX,0,0,0,475.7,420.75,0,0,0,0,18-AUG-2016,
FUTSTK,NIITTECH,27-Oct-2016,0,XX,0,0,0,475.7,426.35,0,0,0,0,19-AUG-2016,
