INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,OIL,25-Feb-2016,0,XX,378.1,380.5,378.1,380,380,16,72.85,61200,3600,01-JAN-2016,
FUTSTK,OIL,25-Feb-2016,0,XX,390.1,391.6,388.75,388.8,388.8,11,51.35,60000,-1200,04-JAN-2016,
FUTSTK,OIL,25-Feb-2016,0,XX,391.5,391.5,391.5,391.5,391.5,1,4.69,58800,-1200,05-JAN-2016,
FUTSTK,OIL,25-Feb-2016,0,XX,396.1,398.15,396.1,398,403.85,4,19.06,57600,-1200,06-JAN-2016,
FUTSTK,OIL,25-Feb-2016,0,XX,375.6,375.6,375.6,378.3,378.3,2,9.04,58800,1200,07-JAN-2016,
FUTSTK,OIL,25-Feb-2016,0,XX,0,0,0,378.3,397.75,0,0,58800,0,08-JAN-2016,
FUTSTK,OIL,25-Feb-2016,0,XX,369,370.95,366.35,366.35,366.35,7,30.93,63600,4800,11-JAN-2016,
FUTSTK,OIL,25-Feb-2016,0,XX,362,362,362,362,377.8,4,17.34,64800,1200,12-JAN-2016,
FUTSTK,OIL,25-Feb-2016,0,XX,353.9,358,351.85,357.2,357.2,12,51.09,64800,0,13-JAN-2016,
FUTSTK,OIL,25-Feb-2016,0,XX,350,352.55,350,350.4,350.4,5,21.08,67200,2400,14-JAN-2016,
FUTSTK,OIL,25-Feb-2016,0,XX,351,351,345,345,345,7,29.12,68400,1200,15-JAN-2016,
FUTSTK,OIL,25-Feb-2016,0,XX,345,345,334.35,334.35,349.8,25,101.61,73200,4800,18-JAN-2016,
FUTSTK,OIL,25-Feb-2016,0,XX,338,341.2,334.45,341.2,345.85,14,56.89,75600,2400,19-JAN-2016,
FUTSTK,OIL,25-Feb-2016,0,XX,338,340,334.7,339.55,339.55,15,60.77,79200,3600,20-JAN-2016,
FUTSTK,OIL,25-Feb-2016,0,XX,338,338.85,330.6,332.2,332.2,28,112.13,104400,25200,21-JAN-2016,
FUTSTK,OIL,25-Feb-2016,0,XX,335.45,343.8,335.45,342.65,342.65,123,501.63,151200,46800,22-JAN-2016,
FUTSTK,OIL,25-Feb-2016,0,XX,345.5,348.2,340,342.05,342.05,436,1796.37,433200,282000,25-JAN-2016,
FUTSTK,OIL,25-Feb-2016,0,XX,340.6,344.85,338.45,343.7,343.7,306,1258.95,561600,128400,27-JAN-2016,
