INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,PERSISTENT,25-Nov-2021,0,XX,0,0,0,3738.35,3664.45,0,0,0,0,01-OCT-2021,
FUTSTK,PERSISTENT,25-Nov-2021,0,XX,3734.75,3745,3715,3745,3734.65,3,16.79,150,150,04-OCT-2021,
FUTSTK,PERSISTENT,25-Nov-2021,0,XX,3643.6,3853.5,3585.45,3786.6,3786.6,69,392.07,6150,6000,05-OCT-2021,
FUTSTK,PERSISTENT,25-Nov-2021,0,XX,3804.05,3828.55,3740,3745,3745,8,45.4,7050,900,06-OCT-2021,
FUTSTK,PERSISTENT,25-Nov-2021,0,XX,3801.7,3845.1,3801.7,3840.55,3840.55,10,57.42,7950,900,07-OCT-2021,
FUTSTK,PERSISTENT,25-Nov-2021,0,XX,3869,4098.5,3869,4052.25,4052.25,113,682.93,9600,1650,08-OCT-2021,
FUTSTK,PERSISTENT,25-Nov-2021,0,XX,3987.15,4081.85,3940,3965.6,3965.6,62,370.84,13050,3450,11-OCT-2021,
FUTSTK,PERSISTENT,25-Nov-2021,0,XX,4000,4013.25,3910,3928.85,3928.85,57,338.03,14850,1800,12-OCT-2021,
FUTSTK,PERSISTENT,25-Nov-2021,0,XX,3933.2,4038,3915.15,4032.25,4032.25,99,592.27,20400,5550,13-OCT-2021,
FUTSTK,PERSISTENT,25-Nov-2021,0,XX,4105,4312.55,4026.45,4238.1,4238.1,298,1904.24,26400,6000,14-OCT-2021,
FUTSTK,PERSISTENT,25-Nov-2021,0,XX,4266.8,4292,4132,4155.45,4155.45,130,818.49,33300,6900,18-OCT-2021,
FUTSTK,PERSISTENT,25-Nov-2021,0,XX,4174.95,4425,4114.75,4227.75,4227.75,535,3424.65,45450,12150,19-OCT-2021,
FUTSTK,PERSISTENT,25-Nov-2021,0,XX,4265,4307.55,3997.25,4243.55,4243.55,312,1957.68,49800,4350,20-OCT-2021,
FUTSTK,PERSISTENT,25-Nov-2021,0,XX,4193.25,4240.55,4028.85,4058.2,4058.2,600,3686.19,65850,16050,21-OCT-2021,
FUTSTK,PERSISTENT,25-Nov-2021,0,XX,4050,4095.85,3685.9,3866.5,3866.5,987,5723.56,101850,36000,22-OCT-2021,
FUTSTK,PERSISTENT,25-Nov-2021,0,XX,3900,4056.95,3671.1,3942.2,3942.2,1024,5935.31,132600,30750,25-OCT-2021,
