INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,RECLTD,31-Mar-2016,0,XX,0,0,0,230.8,232.4,0,0,0,0,01-JAN-2016,
FUTSTK,RECLTD,31-Mar-2016,0,XX,0,0,0,230.8,227.55,0,0,0,0,04-JAN-2016,
FUTSTK,RECLTD,31-Mar-2016,0,XX,0,0,0,230.8,231.95,0,0,0,0,05-JAN-2016,
FUTSTK,RECLTD,31-Mar-2016,0,XX,0,0,0,230.8,232.3,0,0,0,0,06-JAN-2016,
FUTSTK,RECLTD,31-Mar-2016,0,XX,0,0,0,230.8,218.05,0,0,0,0,07-JAN-2016,
FUTSTK,RECLTD,31-Mar-2016,0,XX,0,0,0,230.8,218.8,0,0,0,0,08-JAN-2016,
FUTSTK,RECLTD,31-Mar-2016,0,XX,0,0,0,230.8,216.45,0,0,0,0,11-JAN-2016,
FUTSTK,RECLTD,31-Mar-2016,0,XX,0,0,0,230.8,214.45,0,0,0,0,12-JAN-2016,
FUTSTK,RECLTD,31-Mar-2016,0,XX,0,0,0,230.8,213.55,0,0,0,0,13-JAN-2016,
FUTSTK,RECLTD,31-Mar-2016,0,XX,201.65,201.65,201.65,201.65,209.15,1,4.03,2000,2000,14-JAN-2016,
FUTSTK,RECLTD,31-Mar-2016,0,XX,191.2,191.2,191.2,191.2,198.4,1,3.82,2000,0,15-JAN-2016,
FUTSTK,RECLTD,31-Mar-2016,0,XX,0,0,0,191.2,188,0,0,2000,0,18-JAN-2016,
FUTSTK,RECLTD,31-Mar-2016,0,XX,176.05,179,176,179,187.05,3,10.62,8000,6000,19-JAN-2016,
FUTSTK,RECLTD,31-Mar-2016,0,XX,0,0,0,179,180.55,0,0,8000,0,20-JAN-2016,
FUTSTK,RECLTD,31-Mar-2016,0,XX,0,0,0,179,176.95,0,0,8000,0,21-JAN-2016,
FUTSTK,RECLTD,31-Mar-2016,0,XX,0,0,0,179,186.25,0,0,8000,0,22-JAN-2016,
FUTSTK,RECLTD,31-Mar-2016,0,XX,182.5,182.5,182.5,182.5,189.2,1,3.65,8000,0,25-JAN-2016,
FUTSTK,RECLTD,31-Mar-2016,0,XX,180,182.45,180,182.35,189.6,3,10.89,10000,2000,27-JAN-2016,
FUTSTK,RECLTD,31-Mar-2016,0,XX,184.1,186.65,181.75,181.75,181.75,18,66.21,30000,20000,28-JAN-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,0,0,0,191.4,196.6,0,0,0,0,29-JAN-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,0,0,0,191.4,197.3,0,0,0,0,01-FEB-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,0,0,0,191.4,189.25,0,0,0,0,02-FEB-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,0,0,0,191.4,182.25,0,0,0,0,03-FEB-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,0,0,0,191.4,186,0,0,0,0,04-FEB-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,0,0,0,191.4,194.2,0,0,0,0,05-FEB-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,0,0,0,191.4,196,0,0,0,0,08-FEB-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,0,0,0,191.4,187.75,0,0,0,0,09-FEB-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,0,0,0,191.4,175.25,0,0,0,0,10-FEB-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,0,0,0,191.4,169.1,0,0,0,0,11-FEB-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,0,0,0,191.4,164.8,0,0,0,0,12-FEB-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,0,0,0,191.4,173.75,0,0,0,0,15-FEB-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,0,0,0,191.4,171.95,0,0,0,0,16-FEB-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,0,0,0,191.4,164.1,0,0,0,0,17-FEB-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,161.5,161.5,156.4,157.6,158.3,3,9.51,2000,2000,18-FEB-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,0,0,0,157.6,162,0,0,2000,0,19-FEB-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,160,160.35,160,160.35,161.25,2,6.4,6000,4000,22-FEB-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,160.95,160.95,160.95,160.95,158.45,1,3.21,8000,2000,23-FEB-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,156,157.5,154.7,154.7,155.5,12,37.26,32000,24000,24-FEB-2016,
FUTSTK,RECLTD,28-Apr-2016,0,XX,157.8,158,156,157.3,157.3,14,43.98,44000,12000,25-FEB-2016,
