INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,TATACONSUM,27-Feb-2020,0,XX,366,367.9,360.3,363.1,363.3,3951,38698.25,2505600,-5213700,27-FEB-2020,
FUTSTK,TATACONSUM,26-Mar-2020,0,XX,356.8,358,342.65,346.15,346.15,3029,28467.96,16302600,-143100,28-FEB-2020,
FUTSTK,TATACONSUM,26-Mar-2020,0,XX,351.9,355.45,335,339.45,339.45,3743,35114.04,17215200,912600,02-MAR-2020,
FUTSTK,TATACONSUM,26-Mar-2020,0,XX,341.5,356.5,341.05,355.2,355.2,3882,36823.58,16942500,-272700,03-MAR-2020,
FUTSTK,TATACONSUM,26-Mar-2020,0,XX,354.8,357.85,338.1,348.95,348.95,2863,26841.37,16826400,-116100,04-MAR-2020,
FUTSTK,TATACONSUM,26-Mar-2020,0,XX,353,357.7,347.4,348.65,348.65,2317,22035.27,16915500,89100,05-MAR-2020,
FUTSTK,TATACONSUM,26-Mar-2020,0,XX,340.25,347.4,335,344.2,344.2,2137,19767.49,16575300,-340200,06-MAR-2020,
FUTSTK,TATACONSUM,26-Mar-2020,0,XX,336.6,340.5,320.6,328.65,328.65,3118,27853.5,16532100,-43200,09-MAR-2020,
FUTSTK,TATACONSUM,26-Mar-2020,0,XX,326,336.75,324.35,327.95,327.95,1825,16295.86,16048800,-483300,11-MAR-2020,
FUTSTK,TATACONSUM,26-Mar-2020,0,XX,315.1,319,296.7,302.5,302.5,3912,32155.15,15125400,-923400,12-MAR-2020,
FUTSTK,TATACONSUM,26-Mar-2020,0,XX,273.2,324.8,260.25,321.85,321.85,3268,26882.93,13589100,-1536300,13-MAR-2020,
FUTSTK,TATACONSUM,26-Mar-2020,0,XX,307.8,313.25,296.35,299.2,299.2,2822,23166.53,13537800,-51300,16-MAR-2020,
FUTSTK,TATACONSUM,26-Mar-2020,0,XX,305,307.7,281.8,283.5,283.5,2161,17092.27,13254300,-283500,17-MAR-2020,
FUTSTK,TATACONSUM,26-Mar-2020,0,XX,289.5,290.25,259.65,266,266,2581,18694.05,13000500,-253800,18-MAR-2020,
FUTSTK,TATACONSUM,26-Mar-2020,0,XX,256,264.15,231.9,250.45,250.45,3892,26162.69,12781800,-218700,19-MAR-2020,
FUTSTK,TATACONSUM,26-Mar-2020,0,XX,247.5,273.55,243.8,265.4,265.4,3277,22978.45,12722400,-59400,20-MAR-2020,
FUTSTK,TATACONSUM,26-Mar-2020,0,XX,241,247.45,220,224.65,224.65,1770,11342,11075400,-1647000,23-MAR-2020,
