INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,TATAMTRDVR,31-Mar-2016,0,XX,0,0,0,294.75,302.1,0,0,0,0,01-JAN-2016,
FUTSTK,TATAMTRDVR,31-Mar-2016,0,XX,0,0,0,294.75,283.1,0,0,0,0,04-JAN-2016,
FUTSTK,TATAMTRDVR,31-Mar-2016,0,XX,0,0,0,294.75,283.9,0,0,0,0,05-JAN-2016,
FUTSTK,TATAMTRDVR,31-Mar-2016,0,XX,0,0,0,294.75,278.25,0,0,0,0,06-JAN-2016,
FUTSTK,TATAMTRDVR,31-Mar-2016,0,XX,0,0,0,294.75,261.45,0,0,0,0,07-JAN-2016,
FUTSTK,TATAMTRDVR,31-Mar-2016,0,XX,0,0,0,294.75,269.25,0,0,0,0,08-JAN-2016,
FUTSTK,TATAMTRDVR,31-Mar-2016,0,XX,0,0,0,294.75,276.3,0,0,0,0,11-JAN-2016,
FUTSTK,TATAMTRDVR,31-Mar-2016,0,XX,0,0,0,294.75,274.7,0,0,0,0,12-JAN-2016,
FUTSTK,TATAMTRDVR,31-Mar-2016,0,XX,0,0,0,294.75,278.15,0,0,0,0,13-JAN-2016,
FUTSTK,TATAMTRDVR,31-Mar-2016,0,XX,0,0,0,294.75,272.1,0,0,0,0,14-JAN-2016,
FUTSTK,TATAMTRDVR,31-Mar-2016,0,XX,0,0,0,294.75,262,0,0,0,0,15-JAN-2016,
FUTSTK,TATAMTRDVR,31-Mar-2016,0,XX,0,0,0,294.75,260.95,0,0,0,0,18-JAN-2016,
FUTSTK,TATAMTRDVR,31-Mar-2016,0,XX,0,0,0,294.75,267.95,0,0,0,0,19-JAN-2016,
FUTSTK,TATAMTRDVR,31-Mar-2016,0,XX,0,0,0,294.75,262.5,0,0,0,0,20-JAN-2016,
FUTSTK,TATAMTRDVR,31-Mar-2016,0,XX,0,0,0,294.75,251.95,0,0,0,0,21-JAN-2016,
FUTSTK,TATAMTRDVR,31-Mar-2016,0,XX,0,0,0,294.75,261.25,0,0,0,0,22-JAN-2016,
FUTSTK,TATAMTRDVR,31-Mar-2016,0,XX,0,0,0,294.75,261.25,0,0,0,0,25-JAN-2016,
FUTSTK,TATAMTRDVR,31-Mar-2016,0,XX,267.5,267.5,267.5,267.5,269.1,1,5.61,2100,2100,27-JAN-2016,
FUTSTK,TATAMTRDVR,31-Mar-2016,0,XX,0,0,0,267.5,271.15,0,0,2100,0,28-JAN-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,0,0,0,272.8,270.7,0,0,0,0,29-JAN-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,0,0,0,272.8,268.2,0,0,0,0,01-FEB-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,0,0,0,272.8,258.15,0,0,0,0,02-FEB-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,0,0,0,272.8,247.55,0,0,0,0,03-FEB-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,0,0,0,272.8,247.5,0,0,0,0,04-FEB-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,0,0,0,272.8,253.35,0,0,0,0,05-FEB-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,0,0,0,272.8,245.45,0,0,0,0,08-FEB-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,0,0,0,272.8,234.65,0,0,0,0,09-FEB-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,0,0,0,272.8,227.85,0,0,0,0,10-FEB-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,0,0,0,272.8,218.5,0,0,0,0,11-FEB-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,0,0,0,272.8,230,0,0,0,0,12-FEB-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,0,0,0,272.8,241.75,0,0,0,0,15-FEB-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,0,0,0,272.8,232.95,0,0,0,0,16-FEB-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,0,0,0,272.8,242.95,0,0,0,0,17-FEB-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,0,0,0,272.8,242.95,0,0,0,0,18-FEB-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,0,0,0,272.8,248.55,0,0,0,0,19-FEB-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,257.1,257.1,257.1,257.1,245.7,1,5.39,2100,2100,22-FEB-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,0,0,0,257.1,250.35,0,0,2100,0,23-FEB-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,246,246,246,246,244.75,3,15.55,4200,2100,24-FEB-2016,
FUTSTK,TATAMTRDVR,28-Apr-2016,0,XX,241.05,241.05,239.55,239.55,236.2,2,10.09,8400,4200,25-FEB-2016,
FUTSTK,TATAMTRDVR,26-May-2016,0,XX,0,0,0,237.7,238.25,0,0,0,0,26-FEB-2016,
FUTSTK,TATAMTRDVR,26-May-2016,0,XX,0,0,0,237.7,238.75,0,0,0,0,29-FEB-2016,
FUTSTK,TATAMTRDVR,26-May-2016,0,XX,0,0,0,237.7,245.2,0,0,0,0,01-MAR-2016,
FUTSTK,TATAMTRDVR,26-May-2016,0,XX,0,0,0,237.7,242.45,0,0,0,0,02-MAR-2016,
FUTSTK,TATAMTRDVR,26-May-2016,0,XX,0,0,0,237.7,251.8,0,0,0,0,03-MAR-2016,
FUTSTK,TATAMTRDVR,26-May-2016,0,XX,0,0,0,237.7,252.5,0,0,0,0,04-MAR-2016,
FUTSTK,TATAMTRDVR,26-May-2016,0,XX,0,0,0,237.7,254.4,0,0,0,0,08-MAR-2016,
FUTSTK,TATAMTRDVR,26-May-2016,0,XX,0,0,0,237.7,254.7,0,0,0,0,09-MAR-2016,
FUTSTK,TATAMTRDVR,26-May-2016,0,XX,0,0,0,237.7,254.6,0,0,0,0,10-MAR-2016,
FUTSTK,TATAMTRDVR,26-May-2016,0,XX,0,0,0,237.7,259.25,0,0,0,0,11-MAR-2016,
