INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,TECHM,31-Mar-2016,0,XX,0,0,0,531.4,529.7,0,0,0,0,01-JAN-2016,
FUTSTK,TECHM,31-Mar-2016,0,XX,0,0,0,531.4,525.65,0,0,0,0,04-JAN-2016,
FUTSTK,TECHM,31-Mar-2016,0,XX,0,0,0,531.4,531.15,0,0,0,0,05-JAN-2016,
FUTSTK,TECHM,31-Mar-2016,0,XX,0,0,0,531.4,534.3,0,0,0,0,06-JAN-2016,
FUTSTK,TECHM,31-Mar-2016,0,XX,0,0,0,531.4,519.65,0,0,0,0,07-JAN-2016,
FUTSTK,TECHM,31-Mar-2016,0,XX,0,0,0,531.4,531.1,0,0,0,0,08-JAN-2016,
FUTSTK,TECHM,31-Mar-2016,0,XX,0,0,0,531.4,515.7,0,0,0,0,11-JAN-2016,
FUTSTK,TECHM,31-Mar-2016,0,XX,505,505,505,505,515.7,1,5.05,1000,1000,12-JAN-2016,
FUTSTK,TECHM,31-Mar-2016,0,XX,0,0,0,505,512.65,0,0,1000,0,13-JAN-2016,
FUTSTK,TECHM,31-Mar-2016,0,XX,0,0,0,505,522.3,0,0,1000,0,14-JAN-2016,
FUTSTK,TECHM,31-Mar-2016,0,XX,533.35,533.35,533.35,533.35,528.85,1,5.33,2000,1000,15-JAN-2016,
FUTSTK,TECHM,31-Mar-2016,0,XX,525,525,525,525,525.35,1,5.25,2000,0,18-JAN-2016,
FUTSTK,TECHM,31-Mar-2016,0,XX,518.35,518.35,518.35,518.35,520.3,1,5.18,1000,-1000,19-JAN-2016,
FUTSTK,TECHM,31-Mar-2016,0,XX,510.85,510.85,510.85,510.85,510.85,1,5.1,2000,1000,20-JAN-2016,
FUTSTK,TECHM,31-Mar-2016,0,XX,0,0,0,510.85,514.9,0,0,2000,0,21-JAN-2016,
FUTSTK,TECHM,31-Mar-2016,0,XX,514,514,510,510,521.8,3,15.37,5000,3000,22-JAN-2016,
FUTSTK,TECHM,31-Mar-2016,0,XX,518,518,518,518,521.85,1,5.18,5000,0,25-JAN-2016,
FUTSTK,TECHM,31-Mar-2016,0,XX,512,514.75,507,507.85,507.85,77,391.36,64000,59000,27-JAN-2016,
FUTSTK,TECHM,31-Mar-2016,0,XX,511.45,511.45,500,505.05,505.05,30,151.81,65000,1000,28-JAN-2016,
FUTSTK,TECHM,28-Apr-2016,0,XX,505,505,505,505,511.25,1,5.05,1000,1000,29-JAN-2016,
FUTSTK,TECHM,28-Apr-2016,0,XX,0,0,0,505,507.05,0,0,1000,0,01-FEB-2016,
FUTSTK,TECHM,28-Apr-2016,0,XX,490,490,482.25,482.25,483.4,2,9.72,2000,1000,02-FEB-2016,
FUTSTK,TECHM,28-Apr-2016,0,XX,0,0,0,482.25,481.05,0,0,2000,0,03-FEB-2016,
FUTSTK,TECHM,28-Apr-2016,0,XX,475,477,474,474,478.2,16,76.02,7000,5000,04-FEB-2016,
FUTSTK,TECHM,28-Apr-2016,0,XX,478.9,478.9,478.9,478.9,483.9,1,4.78,7000,0,05-FEB-2016,
FUTSTK,TECHM,28-Apr-2016,0,XX,0,0,0,478.9,479,0,0,7000,0,08-FEB-2016,
FUTSTK,TECHM,28-Apr-2016,0,XX,0,0,0,478.9,456.1,0,0,7000,0,09-FEB-2016,
FUTSTK,TECHM,28-Apr-2016,0,XX,452.05,452.05,452.05,452.05,448.05,1,4.52,7000,0,10-FEB-2016,
FUTSTK,TECHM,28-Apr-2016,0,XX,443,443,432.1,432.1,432.1,4,17.54,8000,1000,11-FEB-2016,
FUTSTK,TECHM,28-Apr-2016,0,XX,432.55,433,432.55,433,433,2,8.65,9000,1000,12-FEB-2016,
FUTSTK,TECHM,28-Apr-2016,0,XX,436.5,436.5,436.5,436.5,437.3,1,4.36,9000,0,15-FEB-2016,
FUTSTK,TECHM,28-Apr-2016,0,XX,432.8,432.8,432.8,432.8,429.6,1,4.32,9000,0,16-FEB-2016,
FUTSTK,TECHM,28-Apr-2016,0,XX,425,432,420.25,432,436.35,5,21.25,10000,1000,17-FEB-2016,
FUTSTK,TECHM,28-Apr-2016,0,XX,430,430,430,430,436.1,2,8.6,12000,2000,18-FEB-2016,
