INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,UCOBANK,25-Feb-2016,0,XX,45.9,45.9,45.9,45.9,46.25,1,4.59,80000,0,01-JAN-2016,
FUTSTK,UCOBANK,25-Feb-2016,0,XX,45.9,46.15,43.85,44.4,44.4,84,371.13,640000,560000,04-JAN-2016,
FUTSTK,UCOBANK,25-Feb-2016,0,XX,44.85,45,44.35,44.35,45.2,10,44.66,620000,-20000,05-JAN-2016,
FUTSTK,UCOBANK,25-Feb-2016,0,XX,44.55,45,44.3,44.55,44.55,11,49.25,640000,20000,06-JAN-2016,
FUTSTK,UCOBANK,25-Feb-2016,0,XX,44.15,44.15,41.75,42.3,42.3,29,123.45,720000,80000,07-JAN-2016,
FUTSTK,UCOBANK,25-Feb-2016,0,XX,42.95,42.95,41.9,42.2,42.2,26,110.25,780000,60000,08-JAN-2016,
FUTSTK,UCOBANK,25-Feb-2016,0,XX,41.75,43,41.5,42.2,42.2,27,114.26,760000,-20000,11-JAN-2016,
FUTSTK,UCOBANK,25-Feb-2016,0,XX,42.5,42.7,40.65,40.95,40.95,41,169.19,860000,100000,12-JAN-2016,
FUTSTK,UCOBANK,25-Feb-2016,0,XX,41.45,41.8,39.3,39.75,39.75,60,245.61,1020000,160000,13-JAN-2016,
FUTSTK,UCOBANK,25-Feb-2016,0,XX,38.5,39.55,38.3,38.8,38.8,39,151.87,970000,-50000,14-JAN-2016,
FUTSTK,UCOBANK,25-Feb-2016,0,XX,38.75,39.1,35.25,36.9,36.9,109,413.8,1020000,50000,15-JAN-2016,
FUTSTK,UCOBANK,25-Feb-2016,0,XX,35.8,37.4,35.1,36.1,36.1,65,235.85,1070000,50000,18-JAN-2016,
FUTSTK,UCOBANK,25-Feb-2016,0,XX,36.15,37.3,36.15,37.2,37.2,22,81.04,1120000,50000,19-JAN-2016,
FUTSTK,UCOBANK,25-Feb-2016,0,XX,36.05,36.1,35,35.65,35.65,69,245.23,1290000,170000,20-JAN-2016,
FUTSTK,UCOBANK,25-Feb-2016,0,XX,36.5,36.5,35.15,36.15,36.15,158,569.22,2170000,880000,21-JAN-2016,
FUTSTK,UCOBANK,25-Feb-2016,0,XX,36.55,38.15,36.4,37.75,37.75,178,669.81,3120000,950000,22-JAN-2016,
FUTSTK,UCOBANK,25-Feb-2016,0,XX,37.95,38.2,36.65,37.3,37.3,318,1184.62,4010000,890000,25-JAN-2016,
FUTSTK,UCOBANK,25-Feb-2016,0,XX,37.45,38.45,37.1,38.15,38.15,674,2543.09,6870000,2860000,27-JAN-2016,
FUTSTK,UCOBANK,25-Feb-2016,0,XX,38,38.4,36.4,37.55,37.55,1282,4824.06,10860000,3990000,28-JAN-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,36.75,36.8,36.75,36.8,37.4,4,14.67,140000,10000,29-JAN-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,36.25,36.25,35.8,36.1,36.1,7,25.25,150000,10000,01-FEB-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,37,37,35.55,35.55,35.55,4,14.49,180000,30000,02-FEB-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,35.05,35.05,33.3,34,34,63,212.43,380000,200000,03-FEB-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,34.4,34.4,33.5,33.95,33.95,40,135.82,460000,80000,04-FEB-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,33.95,35,33.95,34.65,34.65,21,72.15,400000,-60000,05-FEB-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,35.05,37.1,35.05,35.9,35.9,16,58.1,400000,0,08-FEB-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,35.8,35.8,34.35,34.75,34.75,16,55.82,450000,50000,09-FEB-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,33.3,33.6,29.95,32.15,32,165,525.1,970000,520000,10-FEB-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,32.05,32.05,29.7,29.75,29.75,138,420.04,1970000,1000000,11-FEB-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,29.25,29.4,26.8,27.1,27.1,391,1087.7,3460000,1490000,12-FEB-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,28.55,33.9,28.55,33.05,33.05,221,706.27,3460000,0,15-FEB-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,32.55,32.55,30.8,31.2,31.2,95,300.93,3600000,140000,16-FEB-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,30.7,32.45,30.2,32.3,32.3,73,232.39,3540000,-60000,17-FEB-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,33.05,33.05,30.85,31.65,31.65,111,353.43,3970000,430000,18-FEB-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,31.4,32.5,31.4,32.25,32.25,83,266.32,4110000,140000,19-FEB-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,32.6,32.65,31.75,32.4,32.4,197,634.27,4570000,460000,22-FEB-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,32.2,32.2,31.5,31.8,31.8,392,1247.55,5980000,1410000,23-FEB-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,31.15,32.45,31.1,31.7,31.7,399,1269.55,6660000,680000,24-FEB-2016,
FUTSTK,UCOBANK,31-Mar-2016,0,XX,31.95,32.25,31.3,31.55,31.55,1024,3257.42,9250000,2590000,25-FEB-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,31.6,31.65,30.9,31.5,31.5,10,31.38,230000,40000,26-FEB-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,32.35,32.35,31.5,32.05,32.05,5,16.03,250000,20000,29-FEB-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,32.35,32.7,32.35,32.7,32.7,2,6.5,240000,-10000,01-MAR-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,34.4,34.6,34,34,34,10,34.3,280000,40000,02-MAR-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,34.15,34.15,34.05,34.05,34.45,4,13.64,290000,10000,03-MAR-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,34.5,35.85,34.5,35.6,35.6,10,35.28,310000,20000,04-MAR-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,35.4,37.05,35.4,35.6,36.5,14,50.48,340000,30000,08-MAR-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,35.45,37.55,35.45,37.4,37.4,14,51.43,340000,0,09-MAR-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,37.2,37.2,35.8,35.8,35.8,8,28.93,360000,20000,10-MAR-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,36.2,36.2,35.6,35.6,35.9,3,10.79,380000,20000,11-MAR-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,36.4,36.9,35.8,36.7,36.7,14,50.74,390000,10000,14-MAR-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,36.8,37.5,36.8,37.35,37.35,9,33.44,400000,10000,15-MAR-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,37.05,37.05,36.55,36.55,37.4,3,11.06,390000,-10000,16-MAR-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,37.5,37.5,37.15,37.25,37.25,20,74.85,440000,50000,17-MAR-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,37.05,38,37.05,37.8,37.8,24,89.92,500000,60000,18-MAR-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,37.9,38.6,37.9,38.5,38.5,141,539.15,1770000,1270000,21-MAR-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,38.3,38.65,38,38.6,38.6,205,783.62,3590000,1820000,22-MAR-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,38.3,38.7,38.1,38.3,38.3,54,206.99,3740000,150000,23-MAR-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,38.5,38.5,36.9,37.35,37.35,128,481.98,4220000,480000,28-MAR-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,37.85,38,37.3,37.45,37.45,366,1379.26,4830000,610000,29-MAR-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,37.75,38.55,37.45,38.3,38.3,384,1454.57,6090000,1260000,30-MAR-2016,
FUTSTK,UCOBANK,28-Apr-2016,0,XX,37.5,39.15,37.5,39,39,647,2500.69,8480000,2390000,31-MAR-2016,
