INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,WHIRLPOOL,27-Jan-2022,0,XX,0,0,0,2313.25,2233.55,0,0,0,0,29-OCT-2021,
FUTSTK,WHIRLPOOL,27-Jan-2022,0,XX,2158.55,2158.55,2158.55,2158.55,2138.2,1,5.39,250,250,01-NOV-2021,
FUTSTK,WHIRLPOOL,27-Jan-2022,0,XX,2136.4,2136.4,2136.4,2136.4,2117.1,1,5.34,500,250,02-NOV-2021,
FUTSTK,WHIRLPOOL,27-Jan-2022,0,XX,0,0,0,2136.4,2080.8,0,0,500,0,03-NOV-2021,
FUTSTK,WHIRLPOOL,27-Jan-2022,0,XX,2277.45,2340,2277.45,2338.45,2338.45,3,17.38,1250,750,08-NOV-2021,
FUTSTK,WHIRLPOOL,27-Jan-2022,0,XX,2325,2325,2314.05,2314.05,2318.5,2,11.59,750,-500,09-NOV-2021,
FUTSTK,WHIRLPOOL,27-Jan-2022,0,XX,0,0,0,2314.05,2313.55,0,0,750,0,10-NOV-2021,
FUTSTK,WHIRLPOOL,27-Jan-2022,0,XX,0,0,0,2314.05,2335.95,0,0,750,0,11-NOV-2021,
FUTSTK,WHIRLPOOL,27-Jan-2022,0,XX,0,0,0,2314.05,2295.35,0,0,750,0,12-NOV-2021,
FUTSTK,WHIRLPOOL,27-Jan-2022,0,XX,2325,2332.85,2318.95,2332.85,2334.35,3,17.44,750,0,15-NOV-2021,
FUTSTK,WHIRLPOOL,27-Jan-2022,0,XX,0,0,0,2332.85,2364.3,0,0,750,0,16-NOV-2021,
FUTSTK,WHIRLPOOL,27-Jan-2022,0,XX,0,0,0,2332.85,2329.05,0,0,750,0,17-NOV-2021,
FUTSTK,WHIRLPOOL,27-Jan-2022,0,XX,2268.9,2268.9,2268.9,2268.9,2297.95,2,11.34,1250,500,18-NOV-2021,
