Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
NIFTY LargeMidcap 250,30-11-2017,-,-,-,5877.72,-42.82,-.72,1138780737,36770.81,36.4,3.43,.79
NIFTY LargeMidcap 250,01-12-2017,-,-,-,5822.57,-55.15,-.94,679028313,18616.19,36.05,3.4,.8
NIFTY LargeMidcap 250,04-12-2017,-,-,-,5824.36,1.78,.03,588232883,17515.86,36.06,3.4,.8
NIFTY LargeMidcap 250,05-12-2017,-,-,-,5829.39,5.03,.09,604095923,17231.7,36.11,3.4,.8
NIFTY LargeMidcap 250,06-12-2017,-,-,-,5784.4,-44.99,-.77,598533047,17420.7,35.83,3.38,.8
NIFTY LargeMidcap 250,07-12-2017,-,-,-,5855.06,70.66,1.22,588501434,18311.37,36.27,3.42,.79
NIFTY LargeMidcap 250,08-12-2017,-,-,-,5908.67,53.62,.92,665422925,20669.22,36.6,3.45,.79
NIFTY LargeMidcap 250,11-12-2017,-,-,-,5934.65,25.98,.44,477697878,16211.91,36.78,3.46,.78
NIFTY LargeMidcap 250,12-12-2017,-,-,-,5889.05,-45.6,-.77,546942501,18951.43,36.51,3.44,.79
NIFTY LargeMidcap 250,13-12-2017,-,-,-,5850.37,-38.68,-.66,582621065,18898.91,36.27,3.42,.79
NIFTY LargeMidcap 250,14-12-2017,-,-,-,5861.83,11.46,.2,594067655,18341.29,36.34,3.42,.79
NIFTY LargeMidcap 250,15-12-2017,-,-,-,5922.02,60.18,1.03,641092182,23283.47,36.71,3.46,.78
NIFTY LargeMidcap 250,18-12-2017,-,-,-,5960.14,38.12,.64,756545316,22824.56,36.97,3.48,.78
NIFTY LargeMidcap 250,19-12-2017,-,-,-,6021.85,61.71,1.04,629787889,20711.01,37.36,3.52,.77
NIFTY LargeMidcap 250,20-12-2017,-,-,-,6033.97,12.12,.2,964147193,22444.92,37.43,3.53,.77
NIFTY LargeMidcap 250,21-12-2017,-,-,-,6064.86,30.89,.51,1156001518,22108.91,37.62,3.54,.77
NIFTY LargeMidcap 250,22-12-2017,-,-,-,6086.76,21.9,.36,900876417,19419.33,37.75,3.56,.76
NIFTY LargeMidcap 250,26-12-2017,-,-,-,6110.9,24.14,.4,1117028956,18365.15,37.9,3.57,.76
NIFTY LargeMidcap 250,27-12-2017,-,-,-,6101.66,-9.24,-.15,1464005467,20985.5,37.84,3.56,.76
NIFTY LargeMidcap 250,28-12-2017,-,-,-,6103.68,2.02,.03,1750638800,29214.91,37.85,3.57,.76
NIFTY LargeMidcap 250,29-12-2017,-,-,-,6145.35,41.67,.68,1494715088,20663.14,37.55,3.6,.76
NIFTY LargeMidcap 250,01-01-2018,-,-,-,6116.29,-29.06,-.47,1175715447,16570.96,37.37,3.58,.76
NIFTY LargeMidcap 250,02-01-2018,-,-,-,6090.34,-25.95,-.42,1155742768,19117.48,37.21,3.57,.77
NIFTY LargeMidcap 250,03-01-2018,-,-,-,6110.15,19.81,.33,952208996,19952.29,37.33,3.58,.76
NIFTY LargeMidcap 250,04-01-2018,-,-,-,6151.3,41.15,.67,1226930955,21680.6,37.59,3.6,.76
NIFTY LargeMidcap 250,05-01-2018,-,-,-,6201.96,50.66,.82,1261513067,24203.78,37.9,3.63,.75
NIFTY LargeMidcap 250,08-01-2018,-,-,-,6248.45,46.49,.75,946184946,21977.26,38.19,3.66,.75
NIFTY LargeMidcap 250,09-01-2018,-,-,-,6245.3,-3.15,-.05,939470540,21519.5,38.17,3.66,.75
NIFTY LargeMidcap 250,10-01-2018,-,-,-,6231.16,-14.14,-.23,942548909,21268.93,38.08,3.65,.75
NIFTY LargeMidcap 250,11-01-2018,-,-,-,6247.36,16.2,.26,795064065,20067.82,38.18,3.66,.75
NIFTY LargeMidcap 250,12-01-2018,-,-,-,6249.51,2.15,.03,893904077,22383.68,38.17,3.66,.75
NIFTY LargeMidcap 250,15-01-2018,-,-,-,6264.11,14.6,.23,793228553,20406.55,37.99,3.67,.74
NIFTY LargeMidcap 250,16-01-2018,-,-,-,6192.73,-71.38,-1.14,1060991365,23975.26,37.55,3.63,.75
NIFTY LargeMidcap 250,17-01-2018,-,-,-,6239.88,47.15,.76,1144783490,26163.62,37.84,3.66,.75
NIFTY LargeMidcap 250,18-01-2018,-,-,-,6188.64,-51.24,-.82,1182086072,30267.35,37.52,3.63,.75
NIFTY LargeMidcap 250,19-01-2018,-,-,-,6243.61,54.97,.89,844481976,22932.54,37.58,3.66,.75
NIFTY LargeMidcap 250,22-01-2018,-,-,-,6284.34,40.73,.65,718708372,25574.04,37.83,3.68,.74
NIFTY LargeMidcap 250,23-01-2018,-,-,-,6337.99,53.66,.85,1090742372,31094.59,37.98,3.72,.74
NIFTY LargeMidcap 250,24-01-2018,-,-,-,6313.03,-24.97,-.39,958603471,31290.36,37.63,3.7,.74
NIFTY LargeMidcap 250,25-01-2018,-,-,-,6277.1,-35.93,-.57,1249261214,36379.55,37.38,3.68,.74
NIFTY LargeMidcap 250,29-01-2018,-,-,-,6266.63,-10.48,-.17,800522202,27018.73,37.33,3.67,.74
NIFTY LargeMidcap 250,30-01-2018,-,-,-,6218.42,-48.2,-.77,984471736,24720.59,36.9,3.65,.75
NIFTY LargeMidcap 250,31-01-2018,-,-,-,6171.73,-46.69,-.75,911447315,28159.5,36.51,3.62,.75
NIFTY LargeMidcap 250,01-02-2018,-,-,-,6157.72,-14.01,-.23,995787137,30314.18,36.48,3.61,.76
NIFTY LargeMidcap 250,02-02-2018,-,-,-,5956.42,-201.3,-3.27,1293414131,35559.49,34.69,3.49,.78
NIFTY LargeMidcap 250,05-02-2018,-,-,-,5916.61,-39.82,-.67,982666332,27653.48,34.82,3.49,.77
NIFTY LargeMidcap 250,06-02-2018,-,-,-,5816.9,-99.71,-1.69,1013977372,29327.01,34.23,3.44,.79
NIFTY LargeMidcap 250,07-02-2018,-,-,-,5830.82,13.91,.24,856695151,24894.65,34.31,3.44,.78
NIFTY LargeMidcap 250,08-02-2018,-,-,-,5914.72,83.91,1.44,824787734,23833.63,34.81,3.49,.77
NIFTY LargeMidcap 250,09-02-2018,-,-,-,5885.95,-28.77,-.49,782126441,21037.22,35.02,3.48,.78
NIFTY LargeMidcap 250,12-02-2018,-,-,-,5955.89,69.94,1.19,833281546,21611.36,35.43,3.52,.77
NIFTY LargeMidcap 250,14-02-2018,-,-,-,5953.07,-2.83,-.05,947800547,24316.34,35.24,3.52,.77
NIFTY LargeMidcap 250,15-02-2018,-,-,-,5937.66,-15.4,-.26,909989059,22994.5,35.1,3.51,.77
NIFTY LargeMidcap 250,16-02-2018,-,-,-,5884.82,-52.84,-.89,834814949,21356.79,34.62,3.48,.78
NIFTY LargeMidcap 250,19-02-2018,-,-,-,5833.49,-51.33,-.87,876711616,21309.43,34.32,3.44,.78
NIFTY LargeMidcap 250,20-02-2018,-,-,-,5825.45,-8.04,-.14,792945212,19931.63,34.28,3.44,.78
NIFTY LargeMidcap 250,21-02-2018,-,-,-,5835.25,9.8,.17,734971584,22387.25,34.5,3.45,.78
NIFTY LargeMidcap 250,22-02-2018,-,-,-,5812.67,-22.59,-.39,1009953271,30084.1,34.63,3.43,.78
NIFTY LargeMidcap 250,23-02-2018,-,-,-,5892.42,79.76,1.37,780550738,24441.41,35.48,3.48,.81
NIFTY LargeMidcap 250,26-02-2018,-,-,-,5940.54,48.12,.82,810953363,20943.07,35.83,3.51,.81
NIFTY LargeMidcap 250,27-02-2018,-,-,-,5919.84,-20.7,-.35,879844644,21300.14,35.62,3.5,.81
NIFTY LargeMidcap 250,28-02-2018,-,-,-,5904.5,-15.34,-.26,1109807540,28825.74,35.47,3.49,.81
NIFTY LargeMidcap 250,01-03-2018,-,-,-,5879.19,-25.31,-.43,788057205,20211.77,35.33,3.47,.86
NIFTY LargeMidcap 250,05-03-2018,-,-,-,5825.4,-53.79,-.91,864147715,21653.65,35.04,3.44,.86
NIFTY LargeMidcap 250,06-03-2018,-,-,-,5767.52,-57.88,-.99,890824184,23084.58,34.62,3.41,.87
NIFTY LargeMidcap 250,07-03-2018,-,-,-,5696.65,-70.88,-1.23,1011417609,23342.76,34.19,3.37,.91
NIFTY LargeMidcap 250,08-03-2018,-,-,-,5738.58,41.93,.74,967191819,22435.79,34.44,3.39,.9
NIFTY LargeMidcap 250,09-03-2018,-,-,-,5728.7,-9.88,-.17,821577918,19540.76,34.39,3.38,.94
NIFTY LargeMidcap 250,12-03-2018,-,-,-,5802.57,73.87,1.29,863961128,20740.89,34.83,3.43,.93
