Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
NIFTY100 Enhanced ESG,28-03-2018,-,-,-,1924.39,-12.47,-.64,518712069,21074.13,26.37,3.44,1.09
NIFTY100 Enhanced ESG,02-04-2018,-,-,-,1946.42,22.03,1.14,311628137,11640.73,26.61,3.47,1.08
NIFTY100 Enhanced ESG,03-04-2018,-,-,-,1956.38,9.96,.51,320122169,11547.15,26.74,3.49,1.08
NIFTY100 Enhanced ESG,04-04-2018,-,-,-,1931.98,-24.41,-1.25,342927676,12515.34,26.41,3.45,1.09
NIFTY100 Enhanced ESG,05-04-2018,-,-,-,1970.1,38.13,1.97,333834106,12864.59,26.93,3.52,1.07
NIFTY100 Enhanced ESG,06-04-2018,-,-,-,1971.55,1.44,.07,322429113,11180.23,26.95,3.52,1.07
NIFTY100 Enhanced ESG,09-04-2018,-,-,-,1979.76,8.22,.42,333000240,11773.21,27.06,3.53,1.07
NIFTY100 Enhanced ESG,10-04-2018,-,-,-,1984.41,4.65,.23,355948517,12587.51,27.13,3.54,1.06
NIFTY100 Enhanced ESG,11-04-2018,-,-,-,1989.29,4.88,.25,318331096,12007.92,27.19,3.55,1.06
NIFTY100 Enhanced ESG,12-04-2018,-,-,-,2001.01,11.73,.59,322878835,12900.85,27.35,3.57,1.05
NIFTY100 Enhanced ESG,13-04-2018,-,-,-,2005.48,4.46,.22,319789057,13592.59,27.41,3.58,1.05
NIFTY100 Enhanced ESG,16-04-2018,-,-,-,2010.3,4.82,.24,279659068,12149.42,27.48,3.59,1.05
NIFTY100 Enhanced ESG,17-04-2018,-,-,-,2013.88,3.58,.18,281794650,10984.09,27.53,3.59,1.05
NIFTY100 Enhanced ESG,18-04-2018,-,-,-,2006.79,-7.1,-.35,292234046,10260.54,27.43,3.58,1.05
NIFTY100 Enhanced ESG,19-04-2018,-,-,-,2017.78,10.28,.51,350208069,13264.66,27.56,3.6,1.05
NIFTY100 Enhanced ESG,20-04-2018,-,-,-,2020.29,2.5,.12,337080542,16120.64,27.6,3.6,1.05
NIFTY100 Enhanced ESG,23-04-2018,-,-,-,2028.98,8.69,.43,280553526,14305.06,27.73,3.62,1.04
NIFTY100 Enhanced ESG,24-04-2018,-,-,-,2036.06,7.08,.35,305766302,13584.82,27.83,3.64,1.04
NIFTY100 Enhanced ESG,25-04-2018,-,-,-,2033.62,-2.44,-.12,308385210,13016.19,27.79,3.63,1.04
