Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty IT,01-01-2016,11210.25,11221.6,11137.85,11174.85,-37.7,-.34,3126850,319.03,19.44,5.92,2.61
Nifty IT,04-01-2016,11144,11160.95,11004.65,11029.25,-145.6,-1.3,7875357,767.78,19.19,5.85,2.64
Nifty IT,05-01-2016,11082.6,11084.6,10945.2,10997.15,-32.1,-.29,7909892,859.88,19.14,5.83,2.65
Nifty IT,06-01-2016,11027.55,11037.4,10979.45,11018.15,21,.19,8585557,918.75,19.17,5.84,2.64
Nifty IT,07-01-2016,10947.75,10964.65,10822.7,10863.2,-154.95,-1.41,10454519,1066.61,18.9,5.76,2.68
Nifty IT,08-01-2016,10933.3,11007.5,10896.45,10989.55,126.35,1.16,7287266,734.59,19.12,5.83,2.65
Nifty IT,11-01-2016,10898.8,10917.45,10797.7,10823.9,-165.65,-1.51,9742884,1008.7,18.85,5.72,2.69
Nifty IT,12-01-2016,10850.25,10850.25,10659.25,10790.35,-33.55,-.31,9984443,1085.98,18.79,5.7,2.7
Nifty IT,13-01-2016,10807.85,10860.4,10646.55,10839.85,49.5,.46,11133904,1322.31,18.88,5.73,2.69
Nifty IT,14-01-2016,10730.65,11068.9,10685.35,10980.45,140.6,1.3,23469653,2526.62,19.12,5.81,2.65
Nifty IT,15-01-2016,11050.65,11057.7,10949.95,10994.95,14.5,.13,14012251,1579.57,19.15,5.81,2.65
Nifty IT,18-01-2016,10954.2,11084.4,10954.2,10984,-10.95,-.1,11716225,1244.04,19.03,5.81,2.65
Nifty IT,19-01-2016,11052.4,11064.8,10873.6,10963.1,-20.9,-.19,12176980,1166.12,18.99,5.8,2.66
Nifty IT,20-01-2016,10897.8,10945.4,10855.2,10910.5,-52.6,-.48,10426978,1015.56,18.9,5.77,2.67
Nifty IT,21-01-2016,10957.95,10994.9,10893.35,10934.7,24.2,.22,10558161,1077.39,18.94,5.78,2.66
Nifty IT,22-01-2016,11020.6,11030.65,10961.35,11006.7,72,.66,7367656,773.08,19.07,5.82,2.65
Nifty IT,25-01-2016,11047,11113.8,11000.25,11025.35,18.65,.17,6649189,691.76,19.1,5.83,2.64
Nifty IT,27-01-2016,11052.55,11061.8,10992.45,11029.1,3.75,.03,10815699,1007.87,19.11,5.83,2.64
Nifty IT,28-01-2016,11010.1,11073.75,10984.25,11002.7,-26.4,-.24,13918783,1415.82,19.06,5.82,2.65
Nifty IT,29-01-2016,11061.85,11266.75,11024.95,11236.15,233.45,2.12,17438592,1601.88,19.47,5.94,2.59
Nifty IT,01-02-2016,11271.15,11409.1,11234.8,11305.25,69.1,.61,16768205,1262.37,19.6,5.98,2.58
Nifty IT,02-02-2016,11325.75,11377.95,11182.5,11242.1,-63.15,-.56,19286309,1503.46,19.49,5.94,2.59
Nifty IT,03-02-2016,11179.75,11218.45,11065.8,11122.25,-119.85,-1.07,12152041,999.52,19.28,5.88,2.62
Nifty IT,04-02-2016,11178.25,11289.8,11148.15,11213.65,91.4,.82,10379772,917.55,19.44,5.93,2.6
Nifty IT,05-02-2016,11222.2,11285.1,11188.45,11227.55,13.9,.12,8207885,760.67,19.47,5.94,2.59
Nifty IT,08-02-2016,11160.85,11190.35,10962.8,11001.45,-226.1,-2.01,7344448,673.39,19.07,5.82,2.65
Nifty IT,09-02-2016,10866.2,10866.2,10590.1,10614.25,-387.2,-3.52,14971950,1264.94,18.41,5.61,2.74
Nifty IT,10-02-2016,10614.3,10693.9,10570.65,10600.45,-13.8,-.13,13147364,1060.08,18.39,5.6,2.75
Nifty IT,11-02-2016,10615.35,10615.35,10279.7,10312.95,-287.5,-2.71,12495553,1025.67,17.89,5.45,2.82
Nifty IT,12-02-2016,10404.6,10462.9,10157.1,10324.45,11.5,.11,17610027,1287.84,17.91,5.46,2.82
Nifty IT,15-02-2016,10446.25,10544.45,10437,10493.75,169.3,1.64,12549138,1027.81,18.2,5.55,2.78
Nifty IT,16-02-2016,10487.4,10511.4,10393.6,10418.65,-75.1,-.72,8993279,780.51,18.07,5.51,2.8
Nifty IT,17-02-2016,10429.35,10518.25,10325.25,10502.45,83.8,.8,17356929,1193.7,18.22,5.55,2.77
Nifty IT,18-02-2016,10554.55,10723.4,10554.45,10702.25,199.8,1.9,16150256,1195.25,18.57,5.66,2.72
Nifty IT,19-02-2016,10670.75,10791.05,10649.75,10768.9,66.65,.62,10428901,787.83,18.74,5.69,2.71
Nifty IT,22-02-2016,10778.8,10778.8,10691.35,10720.6,-48.3,-.45,9168828,764.93,18.65,5.67,2.72
Nifty IT,23-02-2016,10721.4,10729.6,10575.15,10601.45,-119.15,-1.11,8340937,677.14,18.44,5.61,2.75
Nifty IT,24-02-2016,10581,10586.05,10446.4,10468.05,-133.4,-1.26,8531990,781.4,18.21,5.53,2.78
Nifty IT,25-02-2016,10469.85,10484.95,10329.2,10403.5,-64.55,-.62,10694119,902.75,18.1,5.5,2.8
Nifty IT,26-02-2016,10488.45,10567.95,10419,10463.35,59.85,.58,9415436,790.18,18.24,5.52,2.8
Nifty IT,29-02-2016,10504.4,10504.4,10075.75,10278.4,-184.95,-1.77,12161703,1130.7,17.92,5.42,2.85
Nifty IT,01-03-2016,10337.95,10657.1,10313.5,10637.35,358.95,3.49,10385527,968.6,18.54,5.61,2.75
Nifty IT,02-03-2016,10740.45,10920.9,10642.05,10897.1,259.75,2.44,12342461,1109.95,18.99,5.75,2.69
Nifty IT,03-03-2016,10982,11089.45,10950.85,11054.95,157.85,1.45,20107981,1721.26,19.27,5.83,2.65
Nifty IT,04-03-2016,11086.1,11088.1,10930.95,10980.85,-74.1,-.67,23086012,1908.73,19.14,5.79,2.67
Nifty IT,08-03-2016,10928.4,10977.3,10832.25,10914.2,-66.65,-.61,22893639,1947.32,19.02,5.76,2.68
Nifty IT,09-03-2016,10815.05,10947.7,10733.2,10925.8,11.6,.11,34104849,2559.92,19.04,5.76,2.68
Nifty IT,10-03-2016,10923.75,10924.8,10783.05,10826.9,-98.9,-.91,30038742,2712.52,18.87,5.71,2.71
Nifty IT,11-03-2016,10825.9,10898.7,10805.75,10835.45,8.55,.08,14674310,1210.76,18.89,5.72,2.7
Nifty IT,14-03-2016,10854.2,10935.65,10836.95,10866.85,31.4,.29,14231291,1103.71,18.94,5.73,2.7
Nifty IT,15-03-2016,10867.65,10900.25,10709,10730.45,-136.4,-1.26,11141197,1013.73,18.7,5.66,2.73
Nifty IT,16-03-2016,10733.7,10819.35,10698.7,10803.2,72.75,.68,10671044,969.36,18.83,5.7,2.71
Nifty IT,17-03-2016,10854,10961.65,10854,10923.5,120.3,1.11,14035701,1246.39,19.04,5.76,2.68
Nifty IT,18-03-2016,10938.05,11177.25,10938.05,11159.7,236.2,2.16,17103977,1568.44,19.45,5.89,2.62
Nifty IT,21-03-2016,11158.95,11221.8,11093.6,11193.85,34.15,.31,10929640,1053.87,19.51,5.91,2.62
Nifty IT,22-03-2016,11171.9,11229.25,11118.5,11206.6,12.75,.11,19527945,1673.32,19.53,5.91,2.61
Nifty IT,23-03-2016,11219.7,11246,11125.1,11228.15,21.55,.19,17617607,1603.86,19.57,5.92,2.61
Nifty IT,28-03-2016,11328.15,11384.9,11112.85,11168.7,-59.45,-.53,20401896,1961.31,19.47,5.89,2.62
Nifty IT,29-03-2016,11172.8,11188.65,11089,11114.7,-54,-.48,14642638,1326.12,19.37,5.86,2.64
Nifty IT,30-03-2016,11127.5,11271.7,11127.5,11254.55,139.85,1.26,14607256,1308.75,19.62,5.94,2.6
Nifty IT,31-03-2016,11240.6,11387.9,11216.45,11309.3,54.75,.49,28703814,2801.9,19.71,5.97,2.59
Nifty IT,01-04-2016,11306.35,11352.05,11128.05,11194.65,-114.65,-1.01,13591384,1334.89,19.51,5.91,2.62
Nifty IT,04-04-2016,11224.90,11407.45,11224.90,11387.70,193.05,1.72,10746882,1037.20,19.85,6.01,2.57
Nifty IT,05-04-2016,11386.55,11399.05,11245.50,11274.95,-112.75,-0.99,9810804,971.56,19.65,5.95,2.60
Nifty IT,06-04-2016,11325.10,11325.10,11165.25,11224.95,-50.00,-0.44,9646638,903.55,19.57,5.92,2.61
Nifty IT,07-04-2016,11264.60,11264.60,11087.20,11102.60,-122.35,-1.09,8675441,935.14,19.35,5.86,2.64
Nifty IT,08-04-2016,11082.25,11085.65,11028.15,11061.15,-41.45,-0.37,9261058,829.03,19.28,5.84,2.65
Nifty IT,11-04-2016,11066.25,11304.65,10975.15,11291.35,230.20,2.08,13319300,1314.76,19.68,5.96,2.59
Nifty IT,12-04-2016,11284.00,11332.85,11243.75,11304.45,13.10,0.12,11757296,1109.21,19.70,5.96,2.59
Nifty IT,13-04-2016,11412.10,11430.95,11330.50,11351.85,47.40,0.42,14301422,1464.01,19.79,5.99,2.58
Nifty IT,18-04-2016,11493.50,11638.10,11485.15,11597.25,245.40,2.16,27146780,3255.56,20.08,6.12,2.53
Nifty IT,20-04-2016,11697.40,11697.40,11506.15,11552.75,-44.50,-0.38,17857029,2016.78,19.56,6.09,2.54
Nifty IT,21-04-2016,11500.45,11514.50,11329.90,11355.40,-197.35,-1.71,13926801,1265.52,19.24,5.99,2.58
Nifty IT,22-04-2016,11326.55,11376.05,11292.40,11304.05,-51.35,-0.45,10321425,980.95,19.16,5.44,2.28
Nifty IT,25-04-2016,11288.70,11380.55,11267.10,11315.45,11.40,0.10,8852971,952.20,19.18,5.45,2.28
Nifty IT,26-04-2016,11292.35,11444.35,11251.35,11417.35,101.90,0.90,10029117,1067.69,19.35,5.50,2.26
Nifty IT,27-04-2016,11398.90,11507.75,11398.90,11453.00,35.65,0.31,8807962,934.36,19.41,5.52,2.25
Nifty IT,28-04-2016,11350.15,11428.65,11265.70,11287.15,-165.85,-1.45,26615952,2637.09,19.13,5.44,2.29
Nifty IT,29-04-2016,11269.10,11279.25,11140.55,11196.25,-90.90,-0.81,17856349,1598.03,18.96,5.39,2.30
Nifty IT,02-05-2016,11181.15,11181.15,11075.95,11117.70,-78.55,-0.70,8245605,763.74,18.82,5.35,2.32
Nifty IT,03-05-2016,11129.90,11167.90,10909.95,10925.70,-192.00,-1.73,12701121,1215.55,18.50,5.26,2.36
Nifty IT,04-05-2016,10913.75,10969.60,10858.80,10948.60,22.90,0.21,13630944,1210.09,18.54,5.27,2.36
Nifty IT,05-05-2016,10966.75,11024.15,10909.60,10973.85,25.25,0.23,11557528,1060.81,18.58,5.29,2.35
Nifty IT,06-05-2016,10960.10,10960.10,10846.65,10887.00,-86.85,-0.79,9008153,750.27,18.43,5.24,2.37
Nifty IT,09-05-2016,10900.10,11006.50,10884.05,10991.50,104.50,0.96,10704177,1028.85,18.61,5.29,2.35
