Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty Media,01-01-2016,2634.05,2642.25,2621.95,2627.45,-5.55,-.21,10092168,113.64,50.46,6.34,.7
Nifty Media,04-01-2016,2618.65,2630.4,2562.95,2572.3,-55.15,-2.1,15183521,156.48,49.4,6.21,.72
Nifty Media,05-01-2016,2589.15,2610.5,2581.85,2593.75,21.45,.83,16787724,223.15,49.81,6.26,.71
Nifty Media,06-01-2016,2594.4,2605.05,2558.3,2583.3,-10.45,-.4,16616286,188.5,49.61,6.23,.72
Nifty Media,07-01-2016,2562.05,2562.05,2511.35,2519.35,-63.95,-2.48,15477377,198.11,48.38,6.08,.73
Nifty Media,08-01-2016,2542.55,2544.25,2507.5,2527.55,8.2,.33,15448131,311.14,48.54,6.1,.73
Nifty Media,11-01-2016,2481.15,2532.8,2470.55,2512.35,-15.2,-.6,19583287,295.8,48.25,6.06,.74
Nifty Media,12-01-2016,2515.75,2527.65,2490.65,2496,-16.35,-.65,12275818,157.13,47.93,6.02,.74
Nifty Media,13-01-2016,2508.3,2542.3,2439.9,2503.55,7.55,.3,25242929,265.8,48.08,6.04,.74
Nifty Media,14-01-2016,2482.8,2522.6,2446.9,2495.05,-8.5,-.34,19819816,234.3,47.91,6.02,.74
Nifty Media,15-01-2016,2516.9,2520.15,2377.1,2403.6,-91.45,-3.67,35364186,415.77,46.16,5.8,.77
Nifty Media,18-01-2016,2393.45,2400.4,2281.7,2338.05,-65.55,-2.73,22439124,231.33,44.65,5.64,.79
Nifty Media,19-01-2016,2342.35,2371.55,2316.35,2347.3,9.25,.4,14204324,157.35,44.91,5.67,.79
Nifty Media,20-01-2016,2335.2,2335.2,2222.8,2276.8,-70.5,-3,16638797,221.71,43.56,5.5,.81
Nifty Media,21-01-2016,2294.05,2344.05,2283.75,2293.35,16.55,.73,14663272,162.98,43.88,5.54,.81
Nifty Media,22-01-2016,2322.5,2364.55,2322.5,2347.45,54.1,2.36,13496173,157.26,44.91,5.67,.79
Nifty Media,25-01-2016,2370,2398.8,2334.8,2342.1,-5.35,-.23,11852206,157.32,44.81,5.65,.79
Nifty Media,27-01-2016,2365.2,2370.75,2350.8,2357.1,15,.64,9812807,179.39,45.1,5.69,.79
Nifty Media,28-01-2016,2352.9,2408.9,2351.4,2390.9,33.8,1.43,11423481,204.11,45.74,5.77,.77
Nifty Media,29-01-2016,2394.7,2483,2391.65,2468.4,77.5,3.24,12565461,248.44,47.23,5.96,.75
Nifty Media,01-02-2016,2484.25,2486.8,2442.5,2458.4,-10,-.41,11133599,201.94,46.77,5.93,.75
Nifty Media,02-02-2016,2453.6,2455.55,2372.4,2381.05,-77.35,-3.15,9859734,177.42,45.13,5.75,.78
Nifty Media,03-02-2016,2360.1,2412.1,2356.2,2366.1,-14.95,-.63,13644903,174.52,44.84,5.71,.78
Nifty Media,04-02-2016,2397.55,2401.9,2319.6,2337.7,-28.4,-1.2,8575922,166.29,44.31,5.64,.79
Nifty Media,05-02-2016,2340.6,2392.35,2314.55,2384.8,47.1,2.01,7521459,141.48,45.2,5.76,.78
Nifty Media,08-02-2016,2374.3,2407.55,2355.45,2360.9,-23.9,-1,6084342,106.91,44.67,5.7,.78
Nifty Media,09-02-2016,2347.5,2353.85,2307.05,2315.3,-45.6,-1.93,9555929,183.98,43.81,5.59,.8
Nifty Media,10-02-2016,2311,2311,2244.85,2262.35,-52.95,-2.29,9299211,171.53,42.49,5.46,.82
Nifty Media,11-02-2016,2261.35,2261.35,2161.5,2177.45,-84.9,-3.75,12735594,185.5,40.99,5.26,.85
Nifty Media,12-02-2016,2179.15,2194.05,2116.15,2177.25,-.2,-.01,15231843,217.3,40.99,5.26,.85
Nifty Media,15-02-2016,2194.25,2265.5,2194.25,2256.45,79.2,3.64,8598999,164.16,40.34,5.45,.82
Nifty Media,16-02-2016,2264.4,2269.25,2159.5,2167.25,-89.2,-3.95,6855415,127.86,38.75,5.23,.85
Nifty Media,17-02-2016,2180.85,2209.9,2099.75,2201.45,34.2,1.58,8957248,171.88,39.36,5.31,.84
Nifty Media,18-02-2016,2215.8,2258.35,2215.8,2241.15,39.7,1.8,7993402,160.21,40.07,5.41,.83
Nifty Media,19-02-2016,2208.65,2256.95,2208.65,2244.25,3.1,.14,5429691,124.77,40.12,5.42,.82
Nifty Media,22-02-2016,2253.35,2283.25,2250.45,2278.25,34,1.51,6110343,107.51,40.73,5.5,.81
Nifty Media,23-02-2016,2273.4,2280.45,2224.6,2242.1,-36.15,-1.59,5797777,133.15,40.08,5.41,.83
Nifty Media,24-02-2016,2233.45,2253.25,2210.55,2236,-6.1,-.27,6187426,96.05,39.98,5.4,.83
Nifty Media,25-02-2016,2232.9,2243.25,2178.05,2186.95,-49.05,-2.19,17776343,161.96,39.1,5.28,.85
Nifty Media,26-02-2016,2214.9,2224.8,2174.45,2197.35,10.4,.48,6092127,100.78,39.32,5.29,.84
Nifty Media,29-02-2016,2198.05,2204.35,2121.65,2165.95,-31.4,-1.43,8167239,135.56,38.76,5.21,.85
Nifty Media,01-03-2016,2181.95,2275.3,2177.65,2267,101.05,4.67,11111249,222.56,40.56,5.45,.81
Nifty Media,02-03-2016,2295,2316.7,2282.6,2310.55,43.55,1.92,9811079,185.72,41.34,5.56,.8
Nifty Media,03-03-2016,2334.8,2334.8,2276.8,2309.25,-1.3,-.06,10726096,141.68,41.32,5.55,.8
Nifty Media,04-03-2016,2316.5,2334.5,2296.25,2317.5,8.25,.36,11045464,152.59,41.47,5.57,.8
Nifty Media,08-03-2016,2317.85,2340.4,2270.95,2298.25,-19.25,-.83,11430770,145.89,41.12,5.53,.8
Nifty Media,09-03-2016,2280.2,2325,2273.05,2319.6,21.35,.93,7024982,117.3,41.5,5.58,.8
Nifty Media,10-03-2016,2327.3,2330.8,2298.55,2308.6,-11,-.47,5461618,87.53,41.31,5.55,.8
Nifty Media,11-03-2016,2306.85,2341.65,2301.65,2323.5,14.9,.65,6299352,107.71,41.57,5.59,.79
Nifty Media,14-03-2016,2333.15,2369.95,2333.15,2343,19.5,.84,6136642,143.97,41.92,5.64,.79
Nifty Media,15-03-2016,2339.05,2339.05,2274.1,2281.4,-61.6,-2.63,5356666,119.12,40.82,5.49,.81
Nifty Media,16-03-2016,2277.65,2291.65,2257.4,2283.25,1.85,.08,9162546,165.54,40.85,5.49,.81
Nifty Media,17-03-2016,2309.35,2325.2,2282.1,2293.8,10.55,.46,7480828,134.27,41.04,5.52,.81
Nifty Media,18-03-2016,2310.2,2318.15,2283.65,2310.15,16.35,.71,17007051,228.37,41.34,5.56,.8
Nifty Media,21-03-2016,2314.8,2323.15,2290.35,2319.25,9.1,.39,9919366,126.42,41.5,5.58,.8
Nifty Media,22-03-2016,2324.5,2336.6,2298.15,2321,1.75,.08,9272668,153.57,41.53,5.58,.8
Nifty Media,23-03-2016,2322.2,2341.15,2312.8,2321.3,.3,.01,7905217,162.47,41.54,5.58,.8
Nifty Media,28-03-2016,2334.6,2336.15,2289.3,2296,-25.3,-1.09,7956441,140.28,41.08,5.52,.8
Nifty Media,29-03-2016,2294.1,2296.7,2270.45,2281.4,-14.6,-.64,7016657,117.43,40.82,5.49,.81
Nifty Media,30-03-2016,2292.5,2292.5,2267.55,2279.45,-1.95,-.09,9733143,236.6,40.79,5.48,.81
Nifty Media,31-03-2016,2291.05,2326,2268.15,2320.95,41.5,1.82,10092731,232.88,41.53,5.58,.8
Nifty Media,01-04-2016,2312.10,2330.10,2305.95,2324.55,3.60,0.16,10961896,210.71,44.15,5.54,0.76
Nifty Media,04-04-2016,2327.40,2359.25,2327.40,2355.85,31.30,1.35,10736851,153.06,44.74,5.62,0.75
Nifty Media,05-04-2016,2349.30,2349.30,2284.30,2288.65,-67.20,-2.85,10800743,154.98,43.47,5.46,0.78
Nifty Media,06-04-2016,2294.60,2314.40,2292.70,2309.65,21.00,0.92,8805895,110.77,43.87,5.51,0.77
Nifty Media,07-04-2016,2321.90,2322.95,2277.90,2281.65,-28.00,-1.21,8862462,98.55,43.33,5.44,0.78
Nifty Media,08-04-2016,2280.80,2300.75,2276.30,2290.65,9.00,0.39,16053740,135.31,43.51,5.46,0.77
Nifty Media,11-04-2016,2295.10,2318.05,2285.85,2315.45,24.80,1.08,15112666,139.31,43.98,5.52,0.77
Nifty Media,12-04-2016,2308.60,2364.95,2306.75,2362.10,46.65,2.01,11547691,176.76,44.86,5.63,0.75
Nifty Media,13-04-2016,2374.10,2388.90,2356.35,2359.40,-2.70,-0.11,9859598,136.41,44.81,5.62,0.75
Nifty Media,18-04-2016,2364.00,2393.85,2347.30,2388.10,28.70,1.22,13602962,173.20,45.36,5.69,0.74
Nifty Media,20-04-2016,2404.65,2404.65,2355.45,2375.45,-12.65,-0.53,37741966,279.44,45.12,5.66,0.75
Nifty Media,21-04-2016,2383.25,2392.65,2359.85,2371.50,-3.95,-0.17,16325571,165.09,45.04,5.65,0.75
Nifty Media,22-04-2016,2368.00,2392.40,2368.00,2378.10,6.60,0.28,9756855,138.04,45.17,5.67,0.75
Nifty Media,25-04-2016,2377.75,2386.40,2363.20,2379.50,1.40,0.06,12347340,139.98,45.19,5.67,0.75
Nifty Media,26-04-2016,2369.45,2422.90,2369.35,2418.85,39.35,1.65,13637051,200.37,46.09,5.77,0.73
Nifty Media,27-04-2016,2415.05,2431.45,2397.00,2402.15,-16.70,-0.69,9443632,119.13,45.77,5.73,0.74
Nifty Media,28-04-2016,2406.40,2415.45,2376.05,2385.00,-17.15,-0.71,17435772,224.24,45.45,5.69,0.74
Nifty Media,29-04-2016,2381.35,2425.00,2377.35,2423.35,38.35,1.61,12507969,200.15,46.18,5.78,0.73
