Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty Midcap Select,15-09-2021,-,-,-,7234.91,95.43,1.34,1319887969,10322.21,54.79,3.42,.82
Nifty Midcap Select,16-09-2021,-,-,-,7275.35,40.44,.56,2526354087,6631.14,55.1,3.44,.9
Nifty Midcap Select,17-09-2021,-,-,-,7213.23,-62.12,-.85,1617906744,7817.29,54.63,3.41,.85
Nifty Midcap Select,20-09-2021,-,-,-,7041.88,-171.34,-2.38,828860031,5015.84,53.33,3.33,.88
Nifty Midcap Select,21-09-2021,-,-,-,7078.98,37.1,.53,761892777,4702.33,53.61,3.35,.87
Nifty Midcap Select,22-09-2021,-,-,-,7289.02,210.04,2.97,622813170,10753.12,55.2,3.45,.85
Nifty Midcap Select,23-09-2021,-,-,-,7395.04,106.02,1.45,611025873,10715.06,56,3.5,.83
Nifty Midcap Select,24-09-2021,-,-,-,7326.17,-68.87,-.93,1123642046,7556.65,55.48,3.24,.84
Nifty Midcap Select,27-09-2021,-,-,-,7367.05,40.88,.56,482976541,5924.37,55.79,3.26,.84
Nifty Midcap Select,28-09-2021,-,-,-,7299.51,-67.54,-.92,465118607,5102.51,55.28,3.23,.84
Nifty Midcap Select,29-09-2021,-,-,-,7374.67,75.16,1.03,579938191,7826.51,55.85,3.26,.84
Nifty Midcap Select,30-09-2021,-,-,-,7401.59,26.92,.36,301993058,7202.15,28.72,3.26,.99
Nifty Midcap Select,01-10-2021,-,-,-,7375.01,-26.58,-.36,229770788,6147.57,28.62,3.24,.99
Nifty Midcap Select,04-10-2021,-,-,-,7498.5,123.49,1.67,199834810,5560.16,29.1,3.3,.98
Nifty Midcap Select,05-10-2021,-,-,-,7536.68,38.19,.51,284696827,6811.25,29.24,3.32,.97
Nifty Midcap Select,06-10-2021,-,-,-,7434.7,-101.98,-1.35,222517363,5919.48,28.85,3.27,.99
Nifty Midcap Select,07-10-2021,-,-,-,7621.98,187.28,2.52,198806826,6187.36,29.58,3.35,.96
Nifty Midcap Select,08-10-2021,-,-,-,7608.71,-13.26,-.17,134535516,5093.23,29.52,3.35,.96
Nifty Midcap Select,11-10-2021,-,-,-,7717.59,108.88,1.43,227020003,6515.05,29.95,3.39,.95
Nifty Midcap Select,12-10-2021,-,-,-,7802.07,84.48,1.09,259255835,6779.43,30.27,3.43,.94
Nifty Midcap Select,13-10-2021,-,-,-,7930.09,128.02,1.64,528139120,12182.63,30.77,3.49,.92
Nifty Midcap Select,14-10-2021,-,-,-,7932.26,2.17,.03,285145716,7299.39,30.78,3.49,.92
Nifty Midcap Select,18-10-2021,-,-,-,8066.31,134.05,1.69,463841782,11538.97,31.3,3.55,.91
Nifty Midcap Select,19-10-2021,-,-,-,7852.43,-213.88,-2.65,398657469,10696.6,30.47,3.43,.93
Nifty Midcap Select,20-10-2021,-,-,-,7755.16,-97.27,-1.24,362610168,10043.22,30.09,3.38,.94
Nifty Midcap Select,21-10-2021,-,-,-,7772.96,17.8,.23,250536605,6757.16,30.16,3.39,.94
Nifty Midcap Select,22-10-2021,-,-,-,7754.22,-18.74,-.24,387946406,9546.79,30.09,3.38,.94
Nifty Midcap Select,25-10-2021,-,-,-,7595.51,-158.71,-2.05,278927498,6666.87,29.89,3.31,.96
Nifty Midcap Select,26-10-2021,-,-,-,7798.55,203.04,2.67,315274051,7376.93,30.39,3.4,.94
Nifty Midcap Select,27-10-2021,-,-,-,7793.38,-5.17,-.07,228766838,5310.22,30.06,3.4,.94
Nifty Midcap Select,28-10-2021,-,-,-,7636.53,-156.85,-2.01,205551332,5242,29.46,3.33,.96
Nifty Midcap Select,29-10-2021,-,-,-,7638.7,2.17,.03,284359598,7075.95,29.47,3.33,.96
Nifty Midcap Select,01-11-2021,-,-,-,7775.41,136.71,1.79,188322811,4990.47,29.43,3.39,.94
Nifty Midcap Select,02-11-2021,-,-,-,7875.53,100.11,1.29,234642491,6479.25,29.12,3.44,.95
Nifty Midcap Select,03-11-2021,-,-,-,7866.86,-8.67,-.11,172459332,5498.52,29.09,3.43,.95
Nifty Midcap Select,08-11-2021,-,-,-,8036.7,116.97,1.48,163749165,4652.32,29.53,3.51,.93
Nifty Midcap Select,09-11-2021,-,-,-,8124.44,87.74,1.09,277033112,9185.9,29.86,3.54,.93
Nifty Midcap Select,10-11-2021,-,-,-,8079.25,-45.19,-.56,144968009,4161.95,29.69,3.52,.94
Nifty Midcap Select,11-11-2021,-,-,-,7998.65,-80.6,-1,153215555,4518.67,29.68,3.49,.99
Nifty Midcap Select,12-11-2021,-,-,-,8011.89,13.23,.17,146009854,5146.98,29.73,3.5,.98
Nifty Midcap Select,15-11-2021,-,-,-,8046.57,34.69,.43,137170130,4052.11,29.52,3.51,.87
Nifty Midcap Select,16-11-2021,-,-,-,8021.12,-25.46,-.32,182619870,5407.93,29.18,3.5,.88
Nifty Midcap Select,17-11-2021,-,-,-,7949.46,-71.65,-.89,147096026,4306.27,28.92,3.47,1
Nifty Midcap Select,18-11-2021,-,-,-,7798.52,-150.95,-1.9,190199606,5506.31,28.37,3.4,1.01
Nifty Midcap Select,22-11-2021,-,-,-,7556.1,-242.42,-3.11,182737783,5284.51,27.49,3.3,1.03
Nifty Midcap Select,23-11-2021,-,-,-,7719.63,163.53,2.16,187968433,5058.71,28.08,3.37,.89
Nifty Midcap Select,24-11-2021,-,-,-,7712.13,-7.5,-.1,181791289,5330.99,28.05,3.36,.89
Nifty Midcap Select,25-11-2021,-,-,-,7737.27,25.14,.33,149066920,4788.62,28.15,3.38,.9
Nifty Midcap Select,26-11-2021,-,-,-,7419.75,-317.51,-4.1,248330331,6527.42,26.99,3.24,.94
Nifty Midcap Select,29-11-2021,-,-,-,7299.79,-119.97,-1.62,204114213,5060.04,26.55,3.18,.95
Nifty Midcap Select,30-11-2021,-,-,-,7299.68,-0.11,0,490955770,16948.65,26.55,3.18,.95
Nifty Midcap Select,01-12-2021,-,-,-,7396.93,97.25,1.33,168543541,4446.6,26.91,3.23,.94
Nifty Midcap Select,02-12-2021,-,-,-,7470.51,73.59,.99,172220400,4619.76,27.18,3.26,.93
Nifty Midcap Select,03-12-2021,-,-,-,7476.1,5.59,.07,170549417,4452.01,27.2,3.26,.93
Nifty Midcap Select,06-12-2021,-,-,-,7390.55,-85.55,-1.14,143262533,4369.23,26.88,3.22,.94
Nifty Midcap Select,07-12-2021,-,-,-,7490.53,99.98,1.35,131188573,3593.15,27.25,3.27,.93
Nifty Midcap Select,08-12-2021,-,-,-,7611.97,121.44,1.62,121816907,3295.83,27.69,3.32,.91
Nifty Midcap Select,09-12-2021,-,-,-,7636.35,24.38,.32,123327601,3130.27,27.78,3.33,.91
Nifty Midcap Select,10-12-2021,-,-,-,7690.25,53.9,.71,146391765,2987.2,27.97,3.36,.9
Nifty Midcap Select,13-12-2021,-,-,-,7647.14,-43.11,-.56,143167789,3631.48,27.82,3.34,.91
Nifty Midcap Select,14-12-2021,-,-,-,7622.94,-24.2,-.32,108077337,3083.59,27.73,3.33,.91
Nifty Midcap Select,15-12-2021,-,-,-,7554.58,-68.36,-.9,122845220,4118.51,27.48,3.3,.92
Nifty Midcap Select,16-12-2021,-,-,-,7516.99,-37.6,-.5,123900677,3713.04,27.34,3.28,.92
Nifty Midcap Select,17-12-2021,-,-,-,7284.57,-232.42,-3.09,158804422,4422.4,26.5,3.18,.95
Nifty Midcap Select,20-12-2021,-,-,-,7016.15,-268.42,-3.68,188041656,5009.57,25.52,3.06,.99
Nifty Midcap Select,21-12-2021,-,-,-,7118.91,102.76,1.46,149516448,4387.62,25.9,3.11,.98
Nifty Midcap Select,22-12-2021,-,-,-,7229.11,110.2,1.55,164083077,4950.58,26.3,3.15,.96
Nifty Midcap Select,23-12-2021,-,-,-,7303.28,74.17,1.03,109042788,3265.15,26.57,3.19,.95
Nifty Midcap Select,24-12-2021,-,-,-,7206.01,-97.27,-1.33,92326477,2500.77,26.21,3.14,.96
Nifty Midcap Select,27-12-2021,-,-,-,7209.9,3.89,.05,108175034,2831.65,26.23,3.15,.96
Nifty Midcap Select,28-12-2021,-,-,-,7274.62,64.72,.9,96955798,2378.02,26.46,3.17,.95
Nifty Midcap Select,29-12-2021,-,-,-,7277.05,2.43,.03,86226879,2258.1,26.47,3.17,.95
Nifty Midcap Select,30-12-2021,-,-,-,7262.48,-14.56,-.2,146295185,2940,26.42,3.17,.96
Nifty Midcap Select,31-12-2021,-,-,-,7357.96,95.48,1.31,103859464,2104.07,26.8,3.21,.94
Nifty Midcap Select,03-01-2022,-,-,-,7465.92,107.96,1.47,123830329,2449.26,27.19,3.26,.93
Nifty Midcap Select,04-01-2022,-,-,-,7511.53,45.61,.61,132592881,3050.18,27.36,3.28,.92
Nifty Midcap Select,05-01-2022,-,-,-,7551.88,40.35,.54,121940765,3600.22,27.5,3.3,.92
Nifty Midcap Select,06-01-2022,-,-,-,7592.37,40.49,.54,111558676,3081.15,27.65,3.32,.91
Nifty Midcap Select,07-01-2022,-,-,-,7657.65,65.28,.86,117216288,3944.92,27.89,3.34,.91
Nifty Midcap Select,10-01-2022,7688.85,7744.35,7684.7,7737.15,79.5,1.04,118927456,3119.29,28.18,3.38,.9
Nifty Midcap Select,11-01-2022,7736.5,7794.8,7731.05,7776.0,38.85,.5,113974601,3229.62,28.32,3.4,.89
Nifty Midcap Select,12-01-2022,7808.6,7892.9,7785.35,7885.85,109.85,1.41,130488857,3746.16,28.72,3.44,.88
Nifty Midcap Select,13-01-2022,7899.85,7946.65,7840.05,7936.9,51.05,.65,133440693,3447.4,28.91,3.47,.87
Nifty Midcap Select,14-01-2022,7913.8,7970.65,7880.05,7940.6,3.7,.05,104241280,3215.67,28.92,3.47,.87
Nifty Midcap Select,17-01-2022,7952.6,7977,7927.9,7942.7,2.1,.03,110799435,3027.48,28.93,3.47,.87
Nifty Midcap Select,18-01-2022,7975.6,7996.3,7749.65,7777.9,-164.8,-2.07,120799236,3488.84,28.33,3.4,.89
Nifty Midcap Select,19-01-2022,7774.8,7785.65,7685.55,7778.25,0.35,0,124004770,3412.49,28.33,3.4,.89
Nifty Midcap Select,20-01-2022,7784.6,7797.55,7708,7747.65,-30.6,-.39,125722150,3250.38,28.22,3.38,.9
Nifty Midcap Select,21-01-2022,7705.65,7708.7,7489.95,7549.75,-197.9,-2.55,136882881,3969.37,27.5,3.3,.92
Nifty Midcap Select,24-01-2022,7548.9,7561.6,7188.25,7263.9,-285.85,-3.79,174099720,4550.44,26.42,3.17,.95
