INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,25-Aug-2016,0,XX,18795,18890,18632.2,18693.2,18693.2,73051,548309.25,1953840,45440,03-AUG-2016,
FUTIDX,BANKNIFTY,29-Sep-2016,0,XX,18896,18990,18740.1,18794.1,18794.1,1459,11009.95,66680,3880,03-AUG-2016,
FUTIDX,BANKNIFTY,27-Oct-2016,0,XX,18996.85,19044.4,18849.3,18905.65,18905.65,48,364.31,2760,80,03-AUG-2016,
FUTIDX,DJIA,19-Aug-2016,0,XX,18257.5,18262.5,18210,18247.5,18247.5,348,1905.1,18960,5250,03-AUG-2016,
FUTIDX,DJIA,16-Sep-2016,0,XX,0,0,0,18392.5,18467.5,0,0,690,0,03-AUG-2016,
FUTIDX,DJIA,21-Oct-2016,0,XX,0,0,0,18850,18590,0,0,0,0,03-AUG-2016,
FUTIDX,DJIA,16-Dec-2016,0,XX,0,0,0,18835,18790,0,0,0,0,03-AUG-2016,
FUTIDX,DJIA,17-Mar-2017,0,XX,0,0,0,18965,19115,0,0,0,0,03-AUG-2016,
FUTIDX,DJIA,16-Jun-2017,0,XX,0,0,0,19047.5,19447.5,0,0,0,0,03-AUG-2016,
FUTIDX,FTSE100,19-Aug-2016,0,XX,0,0,0,6450,6666,0,0,200,0,03-AUG-2016,
FUTIDX,FTSE100,16-Sep-2016,0,XX,0,0,0,6637,6701,0,0,0,0,03-AUG-2016,
FUTIDX,FTSE100,21-Oct-2016,0,XX,0,0,0,6798,6746,0,0,0,0,03-AUG-2016,
FUTIDX,FTSE100,16-Dec-2016,0,XX,0,0,0,6570,6818,0,0,0,0,03-AUG-2016,
FUTIDX,FTSE100,17-Mar-2017,0,XX,0,0,0,6728,6936,0,0,0,0,03-AUG-2016,
FUTIDX,FTSE100,16-Jun-2017,0,XX,0,0,0,6411,7057,0,0,0,0,03-AUG-2016,
FUTIDX,NIFTY,25-Aug-2016,0,XX,8641,8649.25,8568,8582.55,8582.55,169582,1094948.1,24006825,1195125,03-AUG-2016,
FUTIDX,NIFTY,29-Sep-2016,0,XX,8690,8697,8616.6,8631.3,8631.3,6856,44513.22,1951425,66975,03-AUG-2016,
FUTIDX,NIFTY,27-Oct-2016,0,XX,8726,8733.05,8653.1,8664.15,8664.15,1169,7622.09,97650,22650,03-AUG-2016,
FUTIDX,NIFTYINFRA,25-Aug-2016,0,XX,0,0,0,2798.05,2889.65,0,0,0,0,03-AUG-2016,
FUTIDX,NIFTYINFRA,29-Sep-2016,0,XX,0,0,0,2896.9,2909,0,0,0,0,03-AUG-2016,
FUTIDX,NIFTYINFRA,27-Oct-2016,0,XX,0,0,0,3031.6,2924.45,0,0,0,0,03-AUG-2016,
FUTIDX,NIFTYIT,25-Aug-2016,0,XX,11250,11269,11190,11216,11216,100,561.76,18000,550,03-AUG-2016,
FUTIDX,NIFTYIT,29-Sep-2016,0,XX,0,0,0,11321,11303,0,0,0,0,03-AUG-2016,
FUTIDX,NIFTYIT,27-Oct-2016,0,XX,0,0,0,11127,11363,0,0,0,0,03-AUG-2016,
FUTIDX,NIFTYMID50,25-Aug-2016,0,XX,0,0,0,3393.3,3627.2,0,0,0,0,03-AUG-2016,
FUTIDX,NIFTYMID50,29-Sep-2016,0,XX,0,0,0,3555.75,3651.45,0,0,0,0,03-AUG-2016,
FUTIDX,NIFTYMID50,27-Oct-2016,0,XX,0,0,0,3703.5,3670.85,0,0,0,0,03-AUG-2016,
FUTIDX,NIFTYPSE,25-Aug-2016,0,XX,0,0,0,2987.85,3394.4,0,0,0,0,03-AUG-2016,
FUTIDX,NIFTYPSE,29-Sep-2016,0,XX,0,0,0,3225.75,3417.1,0,0,0,0,03-AUG-2016,
FUTIDX,NIFTYPSE,27-Oct-2016,0,XX,0,0,0,3479.3,3435.25,0,0,0,0,03-AUG-2016,
FUTIDX,S&P500,19-Aug-2016,0,XX,2151.75,2152.75,2146.25,2149.25,2149.25,291,1564.62,267250,-25250,03-AUG-2016,
FUTIDX,S&P500,16-Sep-2016,0,XX,0,0,0,2150.5,2175.25,0,0,0,0,03-AUG-2016,
FUTIDX,S&P500,21-Oct-2016,0,XX,0,0,0,2203.75,2189.75,0,0,0,0,03-AUG-2016,
FUTIDX,S&P500,16-Dec-2016,0,XX,0,0,0,2198.25,2213,0,0,0,0,03-AUG-2016,
FUTIDX,S&P500,17-Mar-2017,0,XX,0,0,0,2213.75,2251.5,0,0,0,0,03-AUG-2016,
FUTIDX,S&P500,16-Jun-2017,0,XX,0,0,0,2232,2290.5,0,0,0,0,03-AUG-2016,
FUTIVX,INDIAVIX,09-Aug-2016,0,XX,0,0,0,1594.75,1621.25,0,0,0,0,03-AUG-2016,
FUTIVX,INDIAVIX,16-Aug-2016,0,XX,0,0,0,1576.5,1621.25,0,0,0,0,03-AUG-2016,
FUTIVX,INDIAVIX,23-Aug-2016,0,XX,0,0,0,1582.75,1621.25,0,0,0,0,03-AUG-2016,
FUTSTK,ABIRLANUVO,25-Aug-2016,0,XX,1461.05,1529.5,1451,1504.1,1504.1,3590,40319.69,3209250,360000,03-AUG-2016,
FUTSTK,ABIRLANUVO,29-Sep-2016,0,XX,1499.05,1527.95,1499.05,1512.5,1512.5,19,215.74,26250,8250,03-AUG-2016,
FUTSTK,ABIRLANUVO,27-Oct-2016,0,XX,0,0,0,1457.55,1523.65,0,0,0,0,03-AUG-2016,
FUTSTK,ACC,25-Aug-2016,0,XX,1682.65,1691.85,1670,1675.8,1675.8,1246,8374.46,1036800,-7200,03-AUG-2016,
FUTSTK,ACC,29-Sep-2016,0,XX,1693.3,1693.35,1689.35,1689.35,1686.95,4,27.06,23600,400,03-AUG-2016,
FUTSTK,ACC,27-Oct-2016,0,XX,0,0,0,1714.55,1695.9,0,0,0,0,03-AUG-2016,
FUTSTK,ADANIENT,25-Aug-2016,0,XX,78.35,78.5,75.15,75.45,75.45,1437,8815.99,14776000,544000,03-AUG-2016,
FUTSTK,ADANIENT,29-Sep-2016,0,XX,76.8,76.8,76,76,76,2,12.22,104000,8000,03-AUG-2016,
FUTSTK,ADANIENT,27-Oct-2016,0,XX,0,0,0,83.75,76.4,0,0,0,0,03-AUG-2016,
FUTSTK,ADANIPORTS,25-Aug-2016,0,XX,226.1,229.6,222.5,224.35,224.35,3673,20727.28,26692500,1232500,03-AUG-2016,
FUTSTK,ADANIPORTS,29-Sep-2016,0,XX,228.9,229,225,225.8,225.8,21,119.14,122500,25000,03-AUG-2016,
FUTSTK,ADANIPORTS,27-Oct-2016,0,XX,0,0,0,229.2,226.5,0,0,0,0,03-AUG-2016,
FUTSTK,ADANIPOWER,25-Aug-2016,0,XX,27.15,27.2,26.35,26.5,26.5,694,3720.25,102840000,-380000,03-AUG-2016,
FUTSTK,ADANIPOWER,29-Sep-2016,0,XX,27.2,27.2,26.55,26.65,26.65,22,118.11,1060000,240000,03-AUG-2016,
FUTSTK,ADANIPOWER,27-Oct-2016,0,XX,0,0,0,27.5,26.85,0,0,20000,0,03-AUG-2016,
FUTSTK,AJANTPHARM,25-Aug-2016,0,XX,1826.05,1842,1803.95,1822.85,1822.85,1043,7612.05,290000,13600,03-AUG-2016,
FUTSTK,AJANTPHARM,29-Sep-2016,0,XX,1818.15,1838.3,1818.15,1838.3,1843.25,4,29.31,1600,0,03-AUG-2016,
FUTSTK,AJANTPHARM,27-Oct-2016,0,XX,0,0,0,1753.9,1853.05,0,0,0,0,03-AUG-2016,
FUTSTK,ALBK,25-Aug-2016,0,XX,76.2,78.45,75.1,75.85,75.85,1627,12520.77,11320000,-640000,03-AUG-2016,
FUTSTK,ALBK,29-Sep-2016,0,XX,76.35,78.75,76.35,77,76.3,5,38.7,200000,10000,03-AUG-2016,
FUTSTK,ALBK,27-Oct-2016,0,XX,0,0,0,79.75,76.7,0,0,20000,0,03-AUG-2016,
FUTSTK,AMARAJABAT,25-Aug-2016,0,XX,921.55,934.45,915.05,917.55,917.55,565,3130.22,669600,-5400,03-AUG-2016,
FUTSTK,AMARAJABAT,29-Sep-2016,0,XX,934,934,920.5,920.5,920.5,2,11.12,1200,600,03-AUG-2016,
FUTSTK,AMARAJABAT,27-Oct-2016,0,XX,0,0,0,910.25,928.7,0,0,0,0,03-AUG-2016,
FUTSTK,AMBUJACEM,25-Aug-2016,0,XX,267.75,268.45,262.55,264.35,264.35,1911,12658.48,8782500,475000,03-AUG-2016,
FUTSTK,AMBUJACEM,29-Sep-2016,0,XX,265.9,265.9,265.05,265.1,265.35,3,19.9,95000,2500,03-AUG-2016,
FUTSTK,AMBUJACEM,27-Oct-2016,0,XX,0,0,0,276.3,266.8,0,0,0,0,03-AUG-2016,
FUTSTK,ANDHRABANK,25-Aug-2016,0,XX,60.25,61.4,59.2,59.65,59.65,1080,6530.37,13370000,-360000,03-AUG-2016,
FUTSTK,ANDHRABANK,29-Sep-2016,0,XX,60.8,61.5,60.5,60.9,60.35,9,54.97,210000,30000,03-AUG-2016,
FUTSTK,ANDHRABANK,27-Oct-2016,0,XX,0,0,0,60.55,60.7,0,0,0,0,03-AUG-2016,
FUTSTK,APOLLOHOSP,25-Aug-2016,0,XX,1365.05,1369.3,1346,1348.55,1348.55,543,2945.49,542800,8400,03-AUG-2016,
FUTSTK,APOLLOHOSP,29-Sep-2016,0,XX,0,0,0,1360,1354.75,0,0,2400,0,03-AUG-2016,
FUTSTK,APOLLOHOSP,27-Oct-2016,0,XX,0,0,0,1371.55,1361.95,0,0,0,0,03-AUG-2016,
FUTSTK,APOLLOTYRE,25-Aug-2016,0,XX,162.9,162.9,156,156.85,156.85,1656,7895.07,10968000,537000,03-AUG-2016,
FUTSTK,APOLLOTYRE,29-Sep-2016,0,XX,161,162,157.85,158.05,158.05,17,81.47,81000,39000,03-AUG-2016,
FUTSTK,APOLLOTYRE,27-Oct-2016,0,XX,0,0,0,167.1,158.55,0,0,0,0,03-AUG-2016,
FUTSTK,ARVIND,25-Aug-2016,0,XX,304.75,305,293.1,295.05,295.05,3394,20317.39,8568000,178000,03-AUG-2016,
FUTSTK,ARVIND,29-Sep-2016,0,XX,304,304.4,295.6,297.15,297.15,29,174.3,70000,22000,03-AUG-2016,
FUTSTK,ARVIND,27-Oct-2016,0,XX,298,298,298,298,298,1,5.96,2000,2000,03-AUG-2016,
FUTSTK,ASHOKLEY,25-Aug-2016,0,XX,88.15,88.2,85.65,86,86,5764,34976.71,104216000,2436000,03-AUG-2016,
FUTSTK,ASHOKLEY,29-Sep-2016,0,XX,88,88.3,86.15,86.5,86.5,192,1171.72,2317000,371000,03-AUG-2016,
FUTSTK,ASHOKLEY,27-Oct-2016,0,XX,88.5,89,86.8,87.25,87.25,16,98.1,196000,84000,03-AUG-2016,
FUTSTK,ASIANPAINT,25-Aug-2016,0,XX,1132.15,1150.65,1126.2,1146.55,1146.55,3945,27041.64,3267000,152400,03-AUG-2016,
FUTSTK,ASIANPAINT,29-Sep-2016,0,XX,1139,1155.45,1138,1153.25,1153.25,57,392.78,85200,17400,03-AUG-2016,
FUTSTK,ASIANPAINT,27-Oct-2016,0,XX,0,0,0,1147.75,1161.95,0,0,0,0,03-AUG-2016,
FUTSTK,AUROPHARMA,25-Aug-2016,0,XX,768.65,769.55,745,751.35,751.35,6092,32265.32,14073500,427000,03-AUG-2016,
FUTSTK,AUROPHARMA,29-Sep-2016,0,XX,767.05,767.2,750.4,756.7,756.7,98,521.23,95900,24500,03-AUG-2016,
FUTSTK,AUROPHARMA,27-Oct-2016,0,XX,765,765,765,765,758.85,1,5.35,1400,700,03-AUG-2016,
FUTSTK,AXISBANK,25-Aug-2016,0,XX,553,555.65,543.7,550.95,550.95,10829,71419.12,18249600,-424800,03-AUG-2016,
FUTSTK,AXISBANK,29-Sep-2016,0,XX,558,558,547,553.8,553.8,389,2566.84,1324800,330000,03-AUG-2016,
FUTSTK,AXISBANK,27-Oct-2016,0,XX,0,0,0,560.35,558.3,0,0,4800,0,03-AUG-2016,
FUTSTK,BAJAJ-AUTO,25-Aug-2016,0,XX,2755,2774.6,2723,2730,2730,1691,11610.8,1403000,2000,03-AUG-2016,
FUTSTK,BAJAJ-AUTO,29-Sep-2016,0,XX,2753.05,2753.05,2742,2742.05,2742.05,6,41.21,11750,1000,03-AUG-2016,
FUTSTK,BAJAJ-AUTO,27-Oct-2016,0,XX,0,0,0,2707,2758.9,0,0,0,0,03-AUG-2016,
