INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,30-Jun-2016,0,XX,17755.1,17860,17610,17699.15,17699.15,90508,481791.19,1459470,-70020,17-JUN-2016,
FUTIDX,BANKNIFTY,28-Jul-2016,0,XX,17825,17929,17690,17775.6,17775.6,2024,14428.55,140200,4760,17-JUN-2016,
FUTIDX,BANKNIFTY,25-Aug-2016,0,XX,17933.55,17997,17755,17838.75,17838.75,134,958.91,12400,1520,17-JUN-2016,
FUTIDX,DJIA,17-Jun-2016,0,XX,17650,17765,17650,17752.5,17732.55,297,1581.41,4380,-5070,17-JUN-2016,
FUTIDX,DJIA,15-Jul-2016,0,XX,17645,17690,17645,17670,17670,271,1436.72,6060,2640,17-JUN-2016,
FUTIDX,DJIA,19-Aug-2016,0,XX,0,0,0,17750,17955,0,0,0,0,17-JUN-2016,
FUTIDX,DJIA,16-Sep-2016,0,XX,0,0,0,16702.5,18055,0,0,30,0,17-JUN-2016,
FUTIDX,DJIA,16-Dec-2016,0,XX,0,0,0,18835,18382.5,0,0,0,0,17-JUN-2016,
FUTIDX,DJIA,17-Mar-2017,0,XX,0,0,0,18965,18715,0,0,0,0,17-JUN-2016,
FUTIDX,FTSE100,17-Jun-2016,0,XX,0,0,0,7242,6044.31,0,0,0,0,17-JUN-2016,
FUTIDX,FTSE100,15-Jul-2016,0,XX,0,0,0,6316,5983,0,0,0,0,17-JUN-2016,
FUTIDX,FTSE100,19-Aug-2016,0,XX,0,0,0,6280,6025,0,0,0,0,17-JUN-2016,
FUTIDX,FTSE100,16-Sep-2016,0,XX,0,0,0,6637,6059,0,0,0,0,17-JUN-2016,
FUTIDX,FTSE100,16-Dec-2016,0,XX,0,0,0,6570,6168,0,0,0,0,17-JUN-2016,
FUTIDX,FTSE100,17-Mar-2017,0,XX,0,0,0,6728,6280,0,0,0,0,17-JUN-2016,
FUTIDX,FTSE100,16-Jun-2017,0,XX,0,0,0,6411,6394,0,0,0,0,17-JUN-2016,
FUTIDX,NIFTY,30-Jun-2016,0,XX,8200,8221.2,8151.3,8174.4,8174.4,152210,934391.84,17061300,2550,17-JUN-2016,
FUTIDX,NIFTY,28-Jul-2016,0,XX,8201.1,8240.95,8175.85,8199.2,8199.2,7313,45035.22,1950300,26400,17-JUN-2016,
FUTIDX,NIFTY,25-Aug-2016,0,XX,8256.15,8273,8210,8232.15,8232.15,1536,9497,325275,21525,17-JUN-2016,
FUTIDX,NIFTYINFRA,30-Jun-2016,0,XX,0,0,0,2685,2791.75,0,0,150,0,17-JUN-2016,
FUTIDX,NIFTYINFRA,28-Jul-2016,0,XX,0,0,0,2693.1,2807.45,0,0,0,0,17-JUN-2016,
FUTIDX,NIFTYINFRA,25-Aug-2016,0,XX,0,0,0,2798.05,2823,0,0,0,0,17-JUN-2016,
FUTIDX,NIFTYIT,30-Jun-2016,0,XX,11297,11325,11275,11304,11304,54,274.69,14985,-585,17-JUN-2016,
FUTIDX,NIFTYIT,28-Jul-2016,0,XX,0,0,0,11358,11383,0,0,100,0,17-JUN-2016,
FUTIDX,NIFTYIT,25-Aug-2016,0,XX,0,0,0,11020,11446,0,0,50,0,17-JUN-2016,
FUTIDX,NIFTYMID50,30-Jun-2016,0,XX,0,0,0,3370,3406.55,0,0,300,0,17-JUN-2016,
FUTIDX,NIFTYMID50,28-Jul-2016,0,XX,0,0,0,3380.7,3425.65,0,0,0,0,17-JUN-2016,
FUTIDX,NIFTYMID50,25-Aug-2016,0,XX,0,0,0,3393.3,3444.65,0,0,0,0,17-JUN-2016,
FUTIDX,NIFTYPSE,30-Jun-2016,0,XX,0,0,0,2904.75,3075.5,0,0,0,0,17-JUN-2016,
FUTIDX,NIFTYPSE,28-Jul-2016,0,XX,0,0,0,2994.1,3092.8,0,0,0,0,17-JUN-2016,
FUTIDX,NIFTYPSE,25-Aug-2016,0,XX,0,0,0,2987.85,3109.9,0,0,0,0,17-JUN-2016,
FUTIDX,S&P500,17-Jun-2016,0,XX,2081,2082.5,2076,2079.5,2079.12,638,3316.54,172000,-48500,17-JUN-2016,
FUTIDX,S&P500,15-Jul-2016,0,XX,2076,2076,2068,2072.5,2072.5,754,3905.67,281750,138750,17-JUN-2016,
FUTIDX,S&P500,19-Aug-2016,0,XX,0,0,0,2076.75,2104,0,0,0,0,17-JUN-2016,
FUTIDX,S&P500,16-Sep-2016,0,XX,0,0,0,2150.5,2115.75,0,0,0,0,17-JUN-2016,
FUTIDX,S&P500,16-Dec-2016,0,XX,0,0,0,2198.25,2154,0,0,0,0,17-JUN-2016,
FUTIDX,S&P500,17-Mar-2017,0,XX,0,0,0,2213.75,2193,0,0,0,0,17-JUN-2016,
