INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,25-May-2017,0,XX,22800,22878.5,22770.3,22860.9,22860.9,53021,484386.77,3771120,181040,10-MAY-2017,
FUTIDX,BANKNIFTY,29-Jun-2017,0,XX,22755,22840,22730.1,22825.95,22825.95,1266,11547.76,160160,-2960,10-MAY-2017,
FUTIDX,BANKNIFTY,27-Jul-2017,0,XX,22756.25,22830.45,22738,22822.9,22822.9,33,300.98,3840,120,10-MAY-2017,
FUTIDX,DJIA,19-May-2017,0,XX,20910,20910,20895,20900,20900,150,940.64,17760,2220,10-MAY-2017,
FUTIDX,DJIA,16-Jun-2017,0,XX,20880,20880,20880,20880,21117.5,4,25.05,660,90,10-MAY-2017,
FUTIDX,DJIA,21-Jul-2017,0,XX,0,0,0,20910,21250,0,0,0,0,10-MAY-2017,
FUTIDX,DJIA,15-Sep-2017,0,XX,0,0,0,19507.5,21465,0,0,0,0,10-MAY-2017,
FUTIDX,DJIA,15-Dec-2017,0,XX,0,0,0,21150,21820,0,0,0,0,10-MAY-2017,
FUTIDX,DJIA,16-Mar-2018,0,XX,0,0,0,22335,22180,0,0,0,0,10-MAY-2017,
FUTIDX,FTSE100,19-May-2017,0,XX,0,0,0,7396,7354,0,0,0,0,10-MAY-2017,
FUTIDX,FTSE100,16-Jun-2017,0,XX,0,0,0,6411,7392,0,0,0,0,10-MAY-2017,
FUTIDX,FTSE100,21-Jul-2017,0,XX,0,0,0,7233,7438,0,0,0,0,10-MAY-2017,
FUTIDX,FTSE100,15-Sep-2017,0,XX,0,0,0,7152,7514,0,0,0,0,10-MAY-2017,
FUTIDX,FTSE100,15-Dec-2017,0,XX,0,0,0,7457,7637,0,0,0,0,10-MAY-2017,
FUTIDX,FTSE100,16-Mar-2018,0,XX,0,0,0,7912,7763,0,0,0,0,10-MAY-2017,
FUTIDX,NIFTY,25-May-2017,0,XX,9359.35,9424.5,9357.95,9419.2,9419.2,111474,785933.72,20665350,1293975,10-MAY-2017,
FUTIDX,NIFTY,29-Jun-2017,0,XX,9362,9421,9359,9416.45,9416.45,4561,32151.02,1431000,117150,10-MAY-2017,
