INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,25-Oct-2018,0,XX,25085,25560.15,24861.35,25508.85,25508.85,143184,1440976.86,1853000,280160,01-OCT-2018,
FUTIDX,BANKNIFTY,29-Nov-2018,0,XX,25205,25664.9,24975,25624.8,25624.8,2821,28513.2,41960,3160,01-OCT-2018,
FUTIDX,BANKNIFTY,27-Dec-2018,0,XX,25246.5,25725,25079.55,25695.5,25695.5,194,1961.22,5040,3000,01-OCT-2018,
FUTIDX,FTSE100,19-Oct-2018,0,XX,0,0,0,7500,7537,0,0,0,0,01-OCT-2018,
FUTIDX,FTSE100,16-Nov-2018,0,XX,0,0,0,7639,7582,0,0,0,0,01-OCT-2018,
FUTIDX,FTSE100,21-Dec-2018,0,XX,0,0,0,7947,7637,0,0,0,0,01-OCT-2018,
FUTIDX,FTSE100,15-Mar-2019,0,XX,0,0,0,7674,7771,0,0,0,0,01-OCT-2018,
FUTIDX,FTSE100,21-Jun-2019,0,XX,0,0,0,8315,7930,0,0,0,0,01-OCT-2018,
FUTIDX,FTSE100,20-Sep-2019,0,XX,0,0,0,7872,8080,0,0,0,0,01-OCT-2018,
FUTIDX,NIFTY,25-Oct-2018,0,XX,10931,11090,10857.55,11061.8,11061.8,162774,1337978.16,16109625,-499050,01-OCT-2018,
FUTIDX,NIFTY,29-Nov-2018,0,XX,10970.1,11137.5,10905,11103.75,11103.75,8027,66193.66,917625,116925,01-OCT-2018,
FUTIDX,NIFTY,27-Dec-2018,0,XX,11009.75,11166.8,10940.85,11140.1,11140.1,2935,24232.53,178875,26175,01-OCT-2018,
FUTIDX,NIFTYCPSE,25-Oct-2018,0,XX,0,0,0,2315.55,2326.85,0,0,0,0,01-OCT-2018,
FUTIDX,NIFTYCPSE,29-Nov-2018,0,XX,0,0,0,2419.25,2344.3,0,0,0,0,01-OCT-2018,
FUTIDX,NIFTYCPSE,27-Dec-2018,0,XX,0,0,0,2334.55,2357.9,0,0,0,0,01-OCT-2018,
FUTIDX,NIFTYINFRA,25-Oct-2018,0,XX,0,0,0,3177.55,2979.3,0,0,0,0,01-OCT-2018,
FUTIDX,NIFTYINFRA,29-Nov-2018,0,XX,0,0,0,3312.7,3001.65,0,0,0,0,01-OCT-2018,
FUTIDX,NIFTYINFRA,27-Dec-2018,0,XX,0,0,0,3103.65,3019.05,0,0,0,0,01-OCT-2018,
FUTIDX,NIFTYIT,25-Oct-2018,0,XX,15986,16295,15941,16254,16254,761,6153.76,35650,-5350,01-OCT-2018,
FUTIDX,NIFTYIT,29-Nov-2018,0,XX,0,0,0,15819,16413,0,0,0,0,01-OCT-2018,
FUTIDX,NIFTYIT,27-Dec-2018,0,XX,0,0,0,16324,16508,0,0,0,0,01-OCT-2018,
FUTIDX,NIFTYMID50,25-Oct-2018,0,XX,0,0,0,4600,4734,0,0,761090,0,01-OCT-2018,
FUTIDX,NIFTYMID50,29-Nov-2018,0,XX,0,0,0,5429.75,4769.5,0,0,0,0,01-OCT-2018,
FUTIDX,NIFTYMID50,27-Dec-2018,0,XX,0,0,0,4819.75,4797.15,0,0,0,0,01-OCT-2018,
FUTIDX,NIFTYPSE,25-Oct-2018,0,XX,0,0,0,3599.05,3613.65,0,0,0,0,01-OCT-2018,
FUTIDX,NIFTYPSE,29-Nov-2018,0,XX,0,0,0,3770.4,3640.75,0,0,0,0,01-OCT-2018,
FUTIDX,NIFTYPSE,27-Dec-2018,0,XX,0,0,0,3668.4,3661.9,0,0,0,0,01-OCT-2018,
FUTIVX,INDIAVIX,01-Oct-2018,0,XX,0,0,0,1531.25,1683.5,0,0,0,0,01-OCT-2018,
FUTIVX,INDIAVIX,09-Oct-2018,0,XX,0,0,0,1440.5,1687.5,0,0,0,0,01-OCT-2018,
FUTIVX,INDIAVIX,16-Oct-2018,0,XX,0,0,0,1665.5,1687.5,0,0,0,0,01-OCT-2018,
FUTSTK,ACC,25-Oct-2018,0,XX,1550.6,1585,1520.45,1572.8,1572.8,4630,28839.72,1338000,43600,01-OCT-2018,
FUTSTK,ACC,29-Nov-2018,0,XX,1561.4,1582.95,1533.7,1576.9,1576.9,36,224.54,11200,2400,01-OCT-2018,
FUTSTK,ACC,27-Dec-2018,0,XX,0,0,0,1591.1,1602.15,0,0,0,0,01-OCT-2018,
FUTSTK,ADANIENT,25-Oct-2018,0,XX,127,139.25,122.4,138.35,138.35,4621,24201.99,22784000,200000,01-OCT-2018,
FUTSTK,ADANIENT,29-Nov-2018,0,XX,129.6,134.35,124.3,137.65,137.65,67,354.67,16992000,-16000,01-OCT-2018,
FUTSTK,ADANIENT,27-Dec-2018,0,XX,0,0,0,145,139.85,0,0,0,0,01-OCT-2018,
FUTSTK,ADANIPORTS,25-Oct-2018,0,XX,333.85,336.15,321.15,333.25,333.25,3470,28462.06,10565000,1032500,01-OCT-2018,
FUTSTK,ADANIPORTS,29-Nov-2018,0,XX,325.4,337.05,323.95,333.75,333.75,26,214.19,75000,2500,01-OCT-2018,
FUTSTK,ADANIPORTS,27-Dec-2018,0,XX,0,0,0,341.65,336.35,0,0,0,0,01-OCT-2018,
FUTSTK,ADANIPOWER,25-Oct-2018,0,XX,23.75,26.85,22.45,26.2,26.2,1630,7855.47,156600000,7720000,01-OCT-2018,
FUTSTK,ADANIPOWER,29-Nov-2018,0,XX,23,25.45,23,25.25,26.4,24,116.23,440000,200000,01-OCT-2018,
FUTSTK,ADANIPOWER,27-Dec-2018,0,XX,26.45,26.45,26.45,26.45,26.45,1,5.29,20000,20000,01-OCT-2018,
FUTSTK,AJANTPHARM,25-Oct-2018,0,XX,1056.85,1084,1035,1079.5,1079.5,920,4886.23,658500,4500,01-OCT-2018,
FUTSTK,AJANTPHARM,29-Nov-2018,0,XX,1041,1062.75,1041,1062.75,1084.65,2,10.51,4000,0,01-OCT-2018,
FUTSTK,AJANTPHARM,27-Dec-2018,0,XX,0,0,0,1122.75,1090.95,0,0,0,0,01-OCT-2018,
