INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,25-Jan-2018,0,XX,26889.9,27045.4,26801.7,27015.5,27015.5,56459,608249.67,2317800,-82840,22-JAN-2018,
FUTIDX,BANKNIFTY,22-Feb-2018,0,XX,26949.9,27087.75,26830,27064.2,27064.2,18276,197081.61,698240,232160,22-JAN-2018,
FUTIDX,BANKNIFTY,28-Mar-2018,0,XX,26909.75,27110,26900,27093.3,27093.3,158,1706.31,15480,1120,22-JAN-2018,
FUTIDX,FTSE100,16-Feb-2018,0,XX,0,0,0,7503,7765,0,0,0,0,22-JAN-2018,
FUTIDX,FTSE100,16-Mar-2018,0,XX,0,0,0,7912,7810,0,0,0,0,22-JAN-2018,
FUTIDX,FTSE100,20-Apr-2018,0,XX,0,0,0,7832,7862,0,0,0,0,22-JAN-2018,
FUTIDX,FTSE100,15-Jun-2018,0,XX,0,0,0,7982,7946,0,0,0,0,22-JAN-2018,
FUTIDX,FTSE100,21-Sep-2018,0,XX,0,0,0,7867,8095,0,0,0,0,22-JAN-2018,
FUTIDX,FTSE100,21-Dec-2018,0,XX,0,0,0,7947,8237,0,0,0,0,22-JAN-2018,
FUTIDX,NIFTY,25-Jan-2018,0,XX,10914.5,10982.4,10883.5,10968,10968,138891,1137834.61,27831150,-2851650,22-JAN-2018,
FUTIDX,NIFTY,22-Feb-2018,0,XX,10944.9,11006.9,10907.05,10992.5,10992.5,63168,518414.02,6741975,3552750,22-JAN-2018,
FUTIDX,NIFTY,28-Mar-2018,0,XX,10952.25,11018.7,10925,11007.5,11007.5,1867,15352.32,386625,40200,22-JAN-2018,
FUTIDX,NIFTYCPSE,25-Jan-2018,0,XX,0,0,0,2752.3,2695.55,0,0,0,0,22-JAN-2018,
FUTIDX,NIFTYCPSE,22-Feb-2018,0,XX,0,0,0,2661.05,2710.05,0,0,0,0,22-JAN-2018,
FUTIDX,NIFTYCPSE,28-Mar-2018,0,XX,0,0,0,2729.2,2727.6,0,0,0,0,22-JAN-2018,
FUTIDX,NIFTYINFRA,25-Jan-2018,0,XX,0,0,0,3636.75,3695.25,0,0,0,0,22-JAN-2018,
FUTIDX,NIFTYINFRA,22-Feb-2018,0,XX,0,0,0,3569.3,3715.15,0,0,0,0,22-JAN-2018,
FUTIDX,NIFTYINFRA,28-Mar-2018,0,XX,0,0,0,3662.6,3739.25,0,0,0,0,22-JAN-2018,
FUTIDX,NIFTYIT,25-Jan-2018,0,XX,12613,12942,12535,12914,12914,426,2716.11,19650,-2050,22-JAN-2018,
FUTIDX,NIFTYIT,22-Feb-2018,0,XX,12618,12938,12599,12901,12901,73,465.45,4000,2500,22-JAN-2018,
FUTIDX,NIFTYIT,28-Mar-2018,0,XX,0,0,0,11682,13056,0,0,0,0,22-JAN-2018,
FUTIDX,NIFTYMID50,25-Jan-2018,0,XX,5453,5553.35,5453,5553.35,5513.7,2,22.01,515400,0,22-JAN-2018,
FUTIDX,NIFTYMID50,22-Feb-2018,0,XX,0,0,0,5289.3,5543.4,0,0,0,0,22-JAN-2018,
FUTIDX,NIFTYMID50,28-Mar-2018,0,XX,0,0,0,5588,5579.35,0,0,0,0,22-JAN-2018,
FUTIDX,NIFTYPSE,25-Jan-2018,0,XX,0,0,0,4478.55,4250.55,0,0,0,0,22-JAN-2018,
