INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,25-Jul-2019,0,XX,31310,31373,30606,30689.15,30689.15,170408,1053132,1894460,-26600,08-JUL-2019,
FUTIDX,BANKNIFTY,29-Aug-2019,0,XX,31449.7,31449.7,30723.4,30799,30799,3631,22508.32,61920,15000,08-JUL-2019,
FUTIDX,BANKNIFTY,26-Sep-2019,0,XX,31441.6,31450,30802.45,30887,30887,494,3084.35,6780,700,08-JUL-2019,
FUTIDX,NIFTY,25-Jul-2019,0,XX,11769.9,11770,11527.35,11566.3,11566.3,198947,1735344.15,18145275,93750,08-JUL-2019,
FUTIDX,NIFTY,29-Aug-2019,0,XX,11817.9,11822.55,11594.5,11635.65,11635.65,11546,101121.87,1906575,377625,08-JUL-2019,
FUTIDX,NIFTY,26-Sep-2019,0,XX,11975,11975,11640,11675.6,11675.6,1262,11123.49,93825,40125,08-JUL-2019,
FUTIDX,NIFTYIT,25-Jul-2019,0,XX,15430,15549,15335,15450,15450,141,1090.71,21400,-750,08-JUL-2019,
FUTIDX,NIFTYIT,29-Aug-2019,0,XX,0,0,0,16280,15524,0,0,0,0,08-JUL-2019,
FUTIDX,NIFTYIT,26-Sep-2019,0,XX,0,0,0,16264,15604,0,0,0,0,08-JUL-2019,
FUTSTK,ACC,25-Jul-2019,0,XX,1537.4,1539.85,1502.5,1508.75,1508.75,2753,16751.65,1938000,-6800,08-JUL-2019,
FUTSTK,ACC,29-Aug-2019,0,XX,1535,1540,1509.1,1513.55,1513.55,16,97.48,23200,1600,08-JUL-2019,
FUTSTK,ACC,26-Sep-2019,0,XX,0,0,0,1607.9,1524.25,0,0,0,0,08-JUL-2019,
FUTSTK,ADANIENT,25-Jul-2019,0,XX,145.55,146.35,138.25,139.2,139.2,3237,18325,28880000,260000,08-JUL-2019,
FUTSTK,ADANIENT,29-Aug-2019,0,XX,144.85,146.8,140,140.2,140.2,44,251.36,272000,20000,08-JUL-2019,
FUTSTK,ADANIENT,26-Sep-2019,0,XX,0,0,0,155.45,141,0,0,0,0,08-JUL-2019,
FUTSTK,ADANIPORTS,25-Jul-2019,0,XX,400.5,405.9,396.95,399.1,399.1,2496,25045.25,15057500,82500,08-JUL-2019,
FUTSTK,ADANIPORTS,29-Aug-2019,0,XX,403.2,405,399.3,399.7,399.7,25,251.65,227500,5000,08-JUL-2019,
FUTSTK,ADANIPORTS,26-Sep-2019,0,XX,0,0,0,412.3,403.7,0,0,20000,0,08-JUL-2019,
FUTSTK,ADANIPOWER,25-Jul-2019,0,XX,62.55,64.1,61.8,62.45,62.45,1888,23722.94,131820000,40000,08-JUL-2019,
FUTSTK,ADANIPOWER,29-Aug-2019,0,XX,64.2,64.2,62.65,62.75,62.75,16,202.28,2060000,20000,08-JUL-2019,
FUTSTK,ADANIPOWER,26-Sep-2019,0,XX,0,0,0,52.4,63.05,0,0,0,0,08-JUL-2019,
FUTSTK,AMARAJABAT,25-Jul-2019,0,XX,630.3,636.5,628.6,630.6,630.6,914,4043.3,1115800,-86800,08-JUL-2019,
FUTSTK,AMARAJABAT,29-Aug-2019,0,XX,633.25,633.25,633.25,633.25,642.25,2,8.86,12600,-700,08-JUL-2019,
FUTSTK,AMARAJABAT,26-Sep-2019,0,XX,0,0,0,630.85,645.55,0,0,0,0,08-JUL-2019,
FUTSTK,AMBUJACEM,25-Jul-2019,0,XX,210,210,204.75,206.8,206.8,2199,11394.71,16567500,460000,08-JUL-2019,
FUTSTK,AMBUJACEM,29-Aug-2019,0,XX,210,210,206.25,207.4,207.4,19,98.99,235000,40000,08-JUL-2019,
FUTSTK,AMBUJACEM,26-Sep-2019,0,XX,208,208,208,208,208.45,1,5.2,2500,2500,08-JUL-2019,
FUTSTK,APOLLOHOSP,25-Jul-2019,0,XX,1304,1330.05,1296.95,1309.65,1309.65,1784,11730.07,1609500,72000,08-JUL-2019,
FUTSTK,APOLLOHOSP,29-Aug-2019,0,XX,1302.2,1326.65,1302.2,1312,1315.8,14,92.34,13000,2500,08-JUL-2019,
FUTSTK,APOLLOHOSP,26-Sep-2019,0,XX,0,0,0,1334.8,1322.6,0,0,0,0,08-JUL-2019,
FUTSTK,APOLLOTYRE,25-Jul-2019,0,XX,192.4,192.4,184.35,185.05,185.05,2688,15066.42,8763000,423000,08-JUL-2019,
FUTSTK,APOLLOTYRE,29-Aug-2019,0,XX,190.85,190.85,184.55,184.65,184.65,71,396.54,297000,57000,08-JUL-2019,
FUTSTK,APOLLOTYRE,26-Sep-2019,0,XX,0,0,0,197.6,190.25,0,0,15000,0,08-JUL-2019,
FUTSTK,ARVIND,25-Jul-2019,0,XX,65.65,66.5,62.15,63,63,1011,3862.53,6846000,408000,08-JUL-2019,
FUTSTK,ARVIND,29-Aug-2019,0,XX,65.05,65.05,60.8,61.35,61.35,13,48.48,462000,30000,08-JUL-2019,
FUTSTK,ARVIND,26-Sep-2019,0,XX,0,0,0,67.25,63.7,0,0,0,0,08-JUL-2019,
FUTSTK,ASHOKLEY,25-Jul-2019,0,XX,83.05,83.4,80.7,82.15,82.15,4247,20859.94,71730000,1764000,08-JUL-2019,
FUTSTK,ASHOKLEY,29-Aug-2019,0,XX,83.7,83.75,81.35,82.8,82.8,205,1013.15,2322000,324000,08-JUL-2019,
