INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,26-Sep-2019,0,XX,30073.95,30080.9,29511,29637.65,29637.65,199109,1184359.54,1004420,-62860,25-SEP-2019,
FUTIDX,BANKNIFTY,31-Oct-2019,0,XX,30279.65,30279.65,29667.35,29784.75,29784.75,64327,384463,698080,155320,25-SEP-2019,
FUTIDX,BANKNIFTY,28-Nov-2019,0,XX,30250,30250,29793.55,29892.2,29892.2,920,5515.11,24240,2120,25-SEP-2019,
FUTIDX,NIFTY,26-Sep-2019,0,XX,11596.45,11596.45,11442.4,11469.1,11469.1,208929,1802169.55,8761050,-4887525,25-SEP-2019,
FUTIDX,NIFTY,31-Oct-2019,0,XX,11637.2,11637.2,11497,11522.05,11522.05,121603,1053508.65,10881375,2906100,25-SEP-2019,
FUTIDX,NIFTY,28-Nov-2019,0,XX,11673.45,11674.45,11544.75,11567.85,11567.85,2287,19889.87,522675,27675,25-SEP-2019,
FUTIDX,NIFTYIT,26-Sep-2019,0,XX,15453,15529,15383,15434,15434,138,1067.15,10700,-2200,25-SEP-2019,
FUTIDX,NIFTYIT,31-Oct-2019,0,XX,15500,15599,15438,15507,15507,83,644.57,3600,1800,25-SEP-2019,
FUTIDX,NIFTYIT,28-Nov-2019,0,XX,0,0,0,16132,15547,0,0,0,0,25-SEP-2019,
FUTSTK,ACC,26-Sep-2019,0,XX,1641,1662.4,1619.8,1636.45,1636.45,3299,21683.62,467600,-564000,25-SEP-2019,
FUTSTK,ACC,31-Oct-2019,0,XX,1647,1671,1629.8,1646.9,1646.9,3163,20898.45,1471600,606400,25-SEP-2019,
FUTSTK,ACC,28-Nov-2019,0,XX,1647.5,1670.7,1642.6,1642.6,1651.3,10,66.14,5600,400,25-SEP-2019,
FUTSTK,ADANIENT,26-Sep-2019,0,XX,149,150.95,145.3,147.45,147.45,4323,25655.29,4456000,-9212000,25-SEP-2019,
FUTSTK,ADANIENT,31-Oct-2019,0,XX,150.4,151.65,146.3,148.5,148.5,3342,19950.84,20872000,8256000,25-SEP-2019,
FUTSTK,ADANIENT,28-Nov-2019,0,XX,0,0,0,150,149.15,0,0,56000,0,25-SEP-2019,
