INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,28-Nov-2019,0,XX,31620.1,31791.85,31411,31648.9,31648.9,157384,996053.25,1361080,-89780,26-NOV-2019,
FUTIDX,BANKNIFTY,26-Dec-2019,0,XX,31739.2,31895.7,31535.05,31764.35,31764.35,37628,239011.47,875780,312660,26-NOV-2019,
FUTIDX,BANKNIFTY,30-Jan-2020,0,XX,31800.8,31985,31644,31853.6,31853.6,650,4140.67,18260,2500,26-NOV-2019,
FUTIDX,NIFTY,28-Nov-2019,0,XX,12121.05,12137.6,12017.65,12075.2,12075.2,150904,1367885.76,10401900,-1475250,26-NOV-2019,
FUTIDX,NIFTY,26-Dec-2019,0,XX,12149.9,12176,12069.5,12120.35,12120.35,93145,847550.65,8095725,4146450,26-NOV-2019,
FUTIDX,NIFTY,30-Jan-2020,0,XX,12200.9,12216.5,12115,12165.45,12165.45,3325,30379.05,307725,111825,26-NOV-2019,
FUTIDX,NIFTYIT,28-Nov-2019,0,XX,15231,15288,15020,15032,15032,45,340.32,6600,-600,26-NOV-2019,
FUTIDX,NIFTYIT,26-Dec-2019,0,XX,15349,15349,15067,15103,15103,65,493.53,5300,1800,26-NOV-2019,
FUTIDX,NIFTYIT,30-Jan-2020,0,XX,0,0,0,15790,15077,0,0,0,0,26-NOV-2019,
FUTSTK,ACC,28-Nov-2019,0,XX,1484.65,1497,1479.95,1483.85,1483.85,3811,22675.47,1809200,-519200,26-NOV-2019,
FUTSTK,ACC,26-Dec-2019,0,XX,1490,1503.35,1487.5,1490.1,1490.1,2918,17432.3,1480400,690400,26-NOV-2019,
FUTSTK,ACC,30-Jan-2020,0,XX,1496.95,1498.15,1496.95,1498.15,1497.65,3,17.97,5200,0,26-NOV-2019,
FUTSTK,ADANIENT,28-Nov-2019,0,XX,214.85,217.3,207.05,210.65,210.65,4440,37512.3,9964000,-6916000,26-NOV-2019,
FUTSTK,ADANIENT,26-Dec-2019,0,XX,216.3,218.2,208.2,211.6,211.6,2666,22602.17,20760000,5716000,26-NOV-2019,
FUTSTK,ADANIENT,30-Jan-2020,0,XX,218.1,218.1,209.05,209.05,212.8,10,84.92,72000,-12000,26-NOV-2019,
FUTSTK,ADANIPORTS,28-Nov-2019,0,XX,376.75,378.5,369.3,371.3,371.3,4752,44558.71,10225000,-6967500,26-NOV-2019,
FUTSTK,ADANIPORTS,26-Dec-2019,0,XX,378.05,379.85,371,372.7,372.7,4494,42279.24,12415000,6577500,26-NOV-2019,
FUTSTK,ADANIPORTS,30-Jan-2020,0,XX,380.55,381.25,376.05,376.05,374.25,8,75.83,30000,7500,26-NOV-2019,
FUTSTK,ADANIPOWER,28-Nov-2019,0,XX,62.95,63.7,61.25,61.7,61.7,2916,18243.96,40530000,-10830000,26-NOV-2019,
FUTSTK,ADANIPOWER,26-Dec-2019,0,XX,63.3,64.05,61.55,61.95,61.95,2173,13649.63,51880000,12900000,26-NOV-2019,
FUTSTK,ADANIPOWER,30-Jan-2020,0,XX,63.5,63.5,62.4,62.4,62.5,8,50.35,80000,-10000,26-NOV-2019,
FUTSTK,AMARAJABAT,28-Nov-2019,0,XX,744.1,772.7,741.5,768.4,768.4,3269,17351.37,779800,-315700,26-NOV-2019,
FUTSTK,AMARAJABAT,26-Dec-2019,0,XX,741.9,772.85,741.9,767.8,767.8,2032,10778.24,896000,419300,26-NOV-2019,
FUTSTK,AMARAJABAT,30-Jan-2020,0,XX,762.25,764.85,762.25,764.85,764.85,2,12.21,3200,800,26-NOV-2019,
FUTSTK,AMBUJACEM,28-Nov-2019,0,XX,201,202.95,199,200.7,200.7,4739,23866.59,8075000,-7240000,26-NOV-2019,
FUTSTK,AMBUJACEM,26-Dec-2019,0,XX,202.05,203.85,199.8,201.5,201.5,3616,18288.63,10000000,6965000,26-NOV-2019,
FUTSTK,AMBUJACEM,30-Jan-2020,0,XX,203.4,203.4,201.35,201.7,201.7,5,25.25,7500,7500,26-NOV-2019,
FUTSTK,APOLLOHOSP,28-Nov-2019,0,XX,1460,1484.05,1452.75,1459.2,1459.2,1988,14612.97,1031500,-216000,26-NOV-2019,
FUTSTK,APOLLOHOSP,26-Dec-2019,0,XX,1468.2,1490,1461.35,1465.25,1465.25,881,6503.05,545500,127500,26-NOV-2019,
FUTSTK,APOLLOHOSP,30-Jan-2020,0,XX,1469.25,1493.7,1469,1469.85,1469.85,12,88.48,6000,-500,26-NOV-2019,
FUTSTK,APOLLOTYRE,28-Nov-2019,0,XX,171.9,174.35,167.7,168.35,168.35,2907,14841.05,5292000,-2319000,26-NOV-2019,
FUTSTK,APOLLOTYRE,26-Dec-2019,0,XX,172,172.65,167.75,168.2,168.2,2126,10829.87,5694000,1419000,26-NOV-2019,
FUTSTK,APOLLOTYRE,30-Jan-2020,0,XX,170.05,170.3,168.75,169.5,170.15,18,91.68,69000,21000,26-NOV-2019,
FUTSTK,ASHOKLEY,28-Nov-2019,0,XX,83.9,84.45,80.45,80.8,80.8,7082,34925.03,39600000,-13974000,26-NOV-2019,
FUTSTK,ASHOKLEY,26-Dec-2019,0,XX,83.95,84.3,80.25,80.5,80.5,4759,23411.03,40548000,8160000,26-NOV-2019,
FUTSTK,ASHOKLEY,30-Jan-2020,0,XX,83.8,83.8,80.35,80.85,80.85,45,294.79,784000,216000,26-NOV-2019,
FUTSTK,ASIANPAINT,28-Nov-2019,0,XX,1722,1728.6,1690.95,1715,1715,6664,68487.87,4267200,-1978800,26-NOV-2019,
FUTSTK,ASIANPAINT,26-Dec-2019,0,XX,1728.4,1735.55,1698.1,1721.3,1721.3,5287,54532.53,5463000,2230800,26-NOV-2019,
FUTSTK,ASIANPAINT,30-Jan-2020,0,XX,1742.3,1742.3,1714.45,1727.8,1727.8,12,124.44,24000,1200,26-NOV-2019,
FUTSTK,AUROPHARMA,28-Nov-2019,0,XX,442.95,449.35,439.2,445.1,445.1,8637,38398.25,8685000,-4174000,26-NOV-2019,
FUTSTK,AUROPHARMA,26-Dec-2019,0,XX,445,451,441.15,446.95,446.95,5698,25433.38,9096000,3339000,26-NOV-2019,
FUTSTK,AUROPHARMA,30-Jan-2020,0,XX,449.65,452.5,445.05,446.65,450.1,38,170.4,95000,0,26-NOV-2019,
FUTSTK,AXISBANK,28-Nov-2019,0,XX,756.45,761.5,745.1,753.4,753.4,28431,257509.47,24835200,-15907200,26-NOV-2019,
FUTSTK,AXISBANK,26-Dec-2019,0,XX,759.9,764.4,748.3,756.5,756.5,20198,183699.04,32106000,16560000,26-NOV-2019,
FUTSTK,AXISBANK,30-Jan-2020,0,XX,765.15,766.2,752,760.5,760.5,49,447.6,76800,16800,26-NOV-2019,
FUTSTK,BAJAJ-AUTO,28-Nov-2019,0,XX,3200,3231.4,3177.15,3188.15,3188.15,4975,39792.86,1027250,-781250,26-NOV-2019,
FUTSTK,BAJAJ-AUTO,26-Dec-2019,0,XX,3207,3240.35,3187.45,3200.25,3200.25,4134,33180.49,1191750,785500,26-NOV-2019,
FUTSTK,BAJAJ-AUTO,30-Jan-2020,0,XX,3217.85,3221,3213.7,3216.85,3211.05,6,48.24,3000,750,26-NOV-2019,
FUTSTK,BAJAJFINSV,28-Nov-2019,0,XX,9178.75,9217.85,9115.6,9143.25,9143.25,4990,57251.93,693000,-338250,26-NOV-2019,
FUTSTK,BAJAJFINSV,26-Dec-2019,0,XX,9230.45,9253.85,9155.55,9177.45,9177.45,3747,43181.5,692500,354750,26-NOV-2019,
FUTSTK,BAJAJFINSV,30-Jan-2020,0,XX,9269.2,9278,9220,9240.25,9215.65,18,208.31,4625,0,26-NOV-2019,
FUTSTK,BAJFINANCE,28-Nov-2019,0,XX,4145.65,4173.95,4091.6,4107.5,4107.5,13252,137195.56,2971750,-1550500,26-NOV-2019,
FUTSTK,BAJFINANCE,26-Dec-2019,0,XX,4169.45,4191.9,4111.25,4124.05,4124.05,9787,101735.71,5021500,1653250,26-NOV-2019,
FUTSTK,BAJFINANCE,30-Jan-2020,0,XX,4185.65,4201,4138.95,4139.85,4139.85,47,490.83,14000,5250,26-NOV-2019,
FUTSTK,BALKRISIND,28-Nov-2019,0,XX,863.8,881,835.55,854.05,854.05,2852,19719.61,801600,-582400,26-NOV-2019,
FUTSTK,BALKRISIND,26-Dec-2019,0,XX,865,881.6,849.55,855.15,855.15,1851,12817.11,1074400,560800,26-NOV-2019,
FUTSTK,BALKRISIND,30-Jan-2020,0,XX,866.75,877.85,859.4,859.4,859.4,16,111.87,13600,0,26-NOV-2019,
FUTSTK,BANKBARODA,28-Nov-2019,0,XX,101.25,103.35,98.85,100.05,100.05,13987,63915.18,37197000,-20344500,26-NOV-2019,
FUTSTK,BANKBARODA,26-Dec-2019,0,XX,101.75,103.8,99.5,100.55,100.55,9025,41397.5,41445000,15763500,26-NOV-2019,
FUTSTK,BANKBARODA,30-Jan-2020,0,XX,101.95,104.1,100.3,101.05,101.05,52,287.47,675000,54000,26-NOV-2019,
FUTSTK,BANKINDIA,28-Nov-2019,0,XX,75,78.2,73.3,74.9,74.9,4255,19546.68,10056000,-3030000,26-NOV-2019,
FUTSTK,BATAINDIA,28-Nov-2019,0,XX,1643.35,1654.25,1623.05,1626.85,1626.85,3293,29715.04,1091750,-573650,26-NOV-2019,
FUTSTK,BATAINDIA,26-Dec-2019,0,XX,1645.65,1659.45,1631.5,1633.85,1633.85,2209,20028.91,1615900,788150,26-NOV-2019,
FUTSTK,BATAINDIA,30-Jan-2020,0,XX,1645.75,1652.15,1632.2,1632.2,1632.2,10,90.5,11000,550,26-NOV-2019,
FUTSTK,BEL,28-Nov-2019,0,XX,108.55,108.7,102.3,103.05,103.05,3596,22714.77,17940000,-2016000,26-NOV-2019,
FUTSTK,BEL,26-Dec-2019,0,XX,108.05,108.45,102.65,103.4,103.4,2301,14537.81,15576000,5760000,26-NOV-2019,
FUTSTK,BEL,30-Jan-2020,0,XX,108.2,108.25,103.15,103.5,103.5,37,234.7,246000,126000,26-NOV-2019,
FUTSTK,BERGEPAINT,28-Nov-2019,0,XX,488.1,493.35,463.15,467.7,467.7,6142,63915.71,5471400,-1698400,26-NOV-2019,
FUTSTK,BERGEPAINT,26-Dec-2019,0,XX,474.7,478.85,452.2,456.3,456.3,4723,47800.86,7064200,4642000,26-NOV-2019,
FUTSTK,BERGEPAINT,30-Jan-2020,0,XX,450,450,450,450,450,1,9.9,17600,0,26-NOV-2019,
FUTSTK,BHARATFORG,28-Nov-2019,0,XX,450,464.15,450,456.1,456.1,5589,30762.05,4712400,-1500000,26-NOV-2019,
FUTSTK,BHARATFORG,26-Dec-2019,0,XX,449.3,462.05,447.2,455.35,455.35,3022,16548.14,4851600,780000,26-NOV-2019,
FUTSTK,BHARATFORG,30-Jan-2020,0,XX,0,0,0,441.9,459.25,0,0,20800,0,26-NOV-2019,
FUTSTK,BHARTIARTL,28-Nov-2019,0,XX,443.95,446.75,431.25,433.25,433.25,16576,134319.3,19959333,-8077764,26-NOV-2019,
FUTSTK,BHARTIARTL,26-Dec-2019,0,XX,447.65,448.5,433,434.9,434.9,9893,80424.76,20751561,7876005,26-NOV-2019,
FUTSTK,BHARTIARTL,30-Jan-2020,0,XX,448.05,449.15,434,435.55,435.55,147,1195.62,303564,-3702,26-NOV-2019,
FUTSTK,BHEL,28-Nov-2019,0,XX,56.35,56.7,53.15,53.45,53.45,4097,16926.02,34035000,-6952500,26-NOV-2019,
FUTSTK,BHEL,26-Dec-2019,0,XX,56.7,56.9,53.4,53.65,53.65,3059,12685.84,24952500,7432500,26-NOV-2019,
FUTSTK,BHEL,30-Jan-2020,0,XX,56.9,56.95,53.8,54.05,54.05,45,256.76,759200,332800,26-NOV-2019,
FUTSTK,BIOCON,28-Nov-2019,0,XX,258.7,271.45,258.4,265.05,265.05,6804,32609.58,5396400,-3240000,26-NOV-2019,
FUTSTK,BIOCON,26-Dec-2019,0,XX,259.6,271.9,259.6,266.05,266.05,4711,22617.93,7029000,2151000,26-NOV-2019,
FUTSTK,BIOCON,30-Jan-2020,0,XX,260.75,271.75,260.75,269,267.1,13,79.39,255300,2300,26-NOV-2019,
FUTSTK,BOSCHLTD,28-Nov-2019,0,XX,16488.15,17091.85,16461.65,16641.85,16641.85,2979,14968.24,55140,-48750,26-NOV-2019,
FUTSTK,BOSCHLTD,26-Dec-2019,0,XX,16600,17148.95,16540.05,16707,16707,2464,12437.04,88320,42960,26-NOV-2019,
FUTSTK,BOSCHLTD,30-Jan-2020,0,XX,16920,17150,16920,17150,16768.1,3,20.39,280,80,26-NOV-2019,
FUTSTK,BPCL,28-Nov-2019,0,XX,508.9,510.7,494.75,497.65,497.65,12359,111671.65,9898200,-9349200,26-NOV-2019,
FUTSTK,BPCL,26-Dec-2019,0,XX,510.25,512.5,497.05,499.75,499.75,9464,85921.66,17344800,10985400,26-NOV-2019,
FUTSTK,BPCL,30-Jan-2020,0,XX,512.05,512.05,499.5,500.7,500.7,55,498.37,230400,48600,26-NOV-2019,
FUTSTK,BRITANNIA,28-Nov-2019,0,XX,3055,3088.25,3042.9,3062.4,3062.4,4794,29450.27,1215400,-489400,26-NOV-2019,
FUTSTK,BRITANNIA,26-Dec-2019,0,XX,3063,3100.85,3058,3074.65,3074.65,3799,23439.25,984000,570200,26-NOV-2019,
FUTSTK,BRITANNIA,30-Jan-2020,0,XX,3094.7,3102.55,3070,3088.1,3088.1,11,68,6000,1800,26-NOV-2019,
FUTSTK,CADILAHC,28-Nov-2019,0,XX,256.3,259.7,253.9,255.95,255.95,1713,7035.06,4305600,-1083200,26-NOV-2019,
FUTSTK,CADILAHC,26-Dec-2019,0,XX,258.2,260.7,255.1,256.95,256.95,1116,4597.8,4432000,784000,26-NOV-2019,
FUTSTK,CADILAHC,30-Jan-2020,0,XX,260.1,260.1,257.45,257.45,258.45,4,22.8,30800,4400,26-NOV-2019,
FUTSTK,CANBK,28-Nov-2019,0,XX,226,229.7,218.1,222.75,222.75,7904,35628.68,6784000,-3124000,26-NOV-2019,
FUTSTK,CANBK,26-Dec-2019,0,XX,227.55,230.1,218.4,223.1,223.1,4617,20834.01,6990000,2488000,26-NOV-2019,
FUTSTK,CANBK,30-Jan-2020,0,XX,230,230,220,223.5,223.5,25,146.74,78000,18200,26-NOV-2019,
FUTSTK,CASTROLIND,28-Nov-2019,0,XX,148.2,150.2,142.2,144.05,144.05,1513,7487.59,3780800,-1791800,26-NOV-2019,
FUTSTK,CASTROLIND,26-Dec-2019,0,XX,149.75,150.65,142.9,144.7,144.7,1152,5713.16,3893000,1601400,26-NOV-2019,
FUTSTK,CASTROLIND,30-Jan-2020,0,XX,150.4,150.4,144.05,144.05,144.05,2,12.07,36900,0,26-NOV-2019,
FUTSTK,CENTURYTEX,28-Nov-2019,0,XX,458.05,458.95,440.7,452.3,452.3,4489,12093.39,1164600,-1488600,26-NOV-2019,
FUTSTK,CENTURYTEX,26-Dec-2019,0,XX,460,460.9,442,454.2,454.2,3772,10195.83,2451000,1487400,26-NOV-2019,
FUTSTK,CENTURYTEX,30-Jan-2020,0,XX,444.6,450.1,444.6,450.1,456.05,5,13.43,2400,1200,26-NOV-2019,
FUTSTK,CESC,28-Nov-2019,0,XX,752,755,731.75,734.2,734.2,1063,6317.37,728800,-256800,26-NOV-2019,
FUTSTK,CESC,26-Dec-2019,0,XX,755,757.5,734.7,736.4,736.4,924,5508.4,664000,364800,26-NOV-2019,
FUTSTK,CESC,30-Jan-2020,0,XX,0,0,0,762.15,739.4,0,0,1600,0,26-NOV-2019,
FUTSTK,CHOLAFIN,28-Nov-2019,0,XX,319.25,321.95,310.1,312.1,312.1,1121,8836.85,2787500,-687500,26-NOV-2019,
