INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,28-Feb-2019,0,XX,27049.85,27195,26723.35,26817.15,26817.15,154818,834395.31,782780,-157580,27-FEB-2019,
FUTIDX,BANKNIFTY,28-Mar-2019,0,XX,27149.95,27288.6,26850,26937.75,26937.75,70116,379353.29,693740,247240,27-FEB-2019,
FUTIDX,BANKNIFTY,25-Apr-2019,0,XX,27250,27355,26917.05,27025,27025,1020,5530.41,19680,5800,27-FEB-2019,
FUTIDX,NIFTY,28-Feb-2019,0,XX,10855.25,10942.25,10746,10809.45,10809.45,221617,1801056.04,12152325,-2335200,27-FEB-2019,
FUTIDX,NIFTY,28-Mar-2019,0,XX,10899.95,10983,10790.15,10851,10851,134781,1099296.29,10623225,2505525,27-FEB-2019,
FUTIDX,NIFTY,25-Apr-2019,0,XX,10950,11025.7,10835.9,10897.85,10897.85,4809,39399.16,483975,104700,27-FEB-2019,
FUTIDX,NIFTYIT,28-Feb-2019,0,XX,15955,16012,15818,15904,15904,237,1885.7,7000,-5000,27-FEB-2019,
FUTIDX,NIFTYIT,28-Mar-2019,0,XX,16015,16060,15890,15970,15970,223,1780.61,8350,1550,27-FEB-2019,
FUTIDX,NIFTYIT,25-Apr-2019,0,XX,0,0,0,15773,16090,0,0,0,0,27-FEB-2019,
FUTSTK,ACC,28-Feb-2019,0,XX,1398.35,1459,1392.1,1425.85,1425.85,7110,40753.01,941600,-603600,27-FEB-2019,
FUTSTK,ACC,28-Mar-2019,0,XX,1389.1,1452.45,1386.5,1420.3,1420.3,5564,31741.53,2054400,802400,27-FEB-2019,
FUTSTK,ACC,25-Apr-2019,0,XX,1415,1452,1415,1452,1441.95,9,51.59,4400,400,27-FEB-2019,
FUTSTK,ADANIENT,28-Feb-2019,0,XX,135,136.95,130,133.1,133.1,1012,5409.03,5588000,-1048000,27-FEB-2019,
