INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,31-Dec-2020,0,XX,31060.05,31417,31022,31360.1,31360.1,164494,1285725.55,1196800,-177050,29-DEC-2020,
FUTIDX,BANKNIFTY,28-Jan-2021,0,XX,31148.9,31468.85,31080,31425.75,31425.75,38554,302062.2,676175,231900,29-DEC-2020,
FUTIDX,BANKNIFTY,25-Feb-2021,0,XX,31175.45,31513.55,31150.85,31471.3,31471.3,1617,12683.43,37025,5125,29-DEC-2020,
FUTIDX,NIFTY,31-Dec-2020,0,XX,13949.7,13965.45,13868,13935.05,13935.05,110926,1158755.79,8259525,-1118550,29-DEC-2020,
FUTIDX,NIFTY,28-Jan-2021,0,XX,14011.25,14015.55,13920.25,13988.85,13988.85,41628,436485.41,5617725,1203225,29-DEC-2020,
FUTIDX,NIFTY,25-Feb-2021,0,XX,14009.95,14047.6,13960,14028.2,14028.2,2773,29157.05,537150,58050,29-DEC-2020,
FUTSTK,ACC,31-Dec-2020,0,XX,1627.05,1632,1606.1,1617.65,1617.65,4030,32601.74,1302500,-836500,29-DEC-2020,
FUTSTK,ACC,28-Jan-2021,0,XX,1634.9,1638.7,1612,1623.5,1623.5,3191,25895.65,1875000,813500,29-DEC-2020,
FUTSTK,ACC,25-Feb-2021,0,XX,1633.95,1633.95,1612.45,1626.5,1626.5,15,122.19,22500,0,29-DEC-2020,
FUTSTK,ADANIENT,31-Dec-2020,0,XX,491.95,498.85,484.8,489.7,489.7,4232,41666.02,4534000,-3168000,29-DEC-2020,
FUTSTK,ADANIENT,28-Jan-2021,0,XX,495,501.05,487.4,491.75,491.75,3184,31481.4,14412000,2578000,29-DEC-2020,
FUTSTK,ADANIENT,25-Feb-2021,0,XX,497.65,499,496.05,496.05,492.45,4,39.79,44000,4000,29-DEC-2020,
FUTSTK,ADANIPORTS,31-Dec-2020,0,XX,487.35,490.2,478.95,484.8,484.8,3323,40287.56,16342500,-2890000,29-DEC-2020,
FUTSTK,ADANIPORTS,28-Jan-2021,0,XX,489.6,491.9,481.25,486.75,486.75,2370,28844.11,36035000,2742500,29-DEC-2020,
FUTSTK,ADANIPORTS,25-Feb-2021,0,XX,488.5,490.1,487,488.7,488.7,8,97.71,50000,5000,29-DEC-2020,
FUTSTK,AMARAJABAT,31-Dec-2020,0,XX,934.4,940.65,924.3,937.8,937.8,973,9094.31,584000,-244000,29-DEC-2020,
FUTSTK,AMARAJABAT,28-Jan-2021,0,XX,933.95,935.95,920.15,932.75,932.75,576,5356.65,1029000,162000,29-DEC-2020,
FUTSTK,AMARAJABAT,25-Feb-2021,0,XX,925.7,930,925.7,930,942.55,3,27.83,4000,0,29-DEC-2020,
FUTSTK,AMBUJACEM,31-Dec-2020,0,XX,248.4,248.7,242.85,244.75,244.75,3557,26116.51,10356000,-2955000,29-DEC-2020,
FUTSTK,AMBUJACEM,28-Jan-2021,0,XX,248.9,249.5,243.75,245.65,245.65,2756,20316.99,10260000,3540000,29-DEC-2020,
FUTSTK,AMBUJACEM,25-Feb-2021,0,XX,249.45,249.45,244.75,246.7,246.05,14,103.46,159000,0,29-DEC-2020,
FUTSTK,APOLLOHOSP,31-Dec-2020,0,XX,2403.4,2417,2375,2381.6,2381.6,2253,26893.63,1027000,-377000,29-DEC-2020,
FUTSTK,APOLLOHOSP,28-Jan-2021,0,XX,2415,2424,2382.25,2390.05,2390.05,1728,20688.73,1068000,370000,29-DEC-2020,
FUTSTK,APOLLOHOSP,25-Feb-2021,0,XX,2412,2412,2381.4,2385.8,2385.8,8,95.65,6500,500,29-DEC-2020,
FUTSTK,APOLLOTYRE,31-Dec-2020,0,XX,180.65,182.2,177.55,180.85,180.85,2673,24057.7,4955000,-1705000,29-DEC-2020,
FUTSTK,APOLLOTYRE,28-Jan-2021,0,XX,180.8,182.8,178.1,181.6,181.6,1800,16257.01,6620000,1460000,29-DEC-2020,
FUTSTK,APOLLOTYRE,25-Feb-2021,0,XX,181,182.75,178.7,182.2,182.2,27,244.22,210000,60000,29-DEC-2020,
FUTSTK,ASHOKLEY,31-Dec-2020,0,XX,96,96.1,94.25,95.25,95.25,2527,21625.37,21339000,-8028000,29-DEC-2020,
FUTSTK,ASHOKLEY,28-Jan-2021,0,XX,96.2,96.5,94.65,95.65,95.65,2081,17889.76,23094000,8352000,29-DEC-2020,
FUTSTK,ASHOKLEY,25-Feb-2021,0,XX,96.4,96.4,95.5,95.9,95.9,10,86.28,594000,45000,29-DEC-2020,
FUTSTK,ASIANPAINT,31-Dec-2020,0,XX,2688.55,2716.6,2676.1,2700.35,2700.35,9987,80801.01,1964700,-1596000,29-DEC-2020,
FUTSTK,ASIANPAINT,28-Jan-2021,0,XX,2692.3,2724.2,2684.55,2708.5,2708.5,7961,64592.05,3208800,1575300,29-DEC-2020,
FUTSTK,ASIANPAINT,25-Feb-2021,0,XX,2700.8,2727,2696.85,2716.1,2716.1,54,439.78,30300,3000,29-DEC-2020,
FUTSTK,AUROPHARMA,31-Dec-2020,0,XX,913.25,919.6,897.1,904.6,904.6,5116,30209.91,3976700,-1444950,29-DEC-2020,
FUTSTK,AUROPHARMA,28-Jan-2021,0,XX,917,923,901.6,909,909,3564,21124.98,6041750,1360450,29-DEC-2020,
FUTSTK,AUROPHARMA,25-Feb-2021,0,XX,920.1,921.85,905.5,909.55,909.55,13,77.09,20800,-1300,29-DEC-2020,
FUTSTK,AXISBANK,31-Dec-2020,0,XX,621.9,634.45,620.35,631.95,631.95,20441,154188.56,25816800,-10525200,29-DEC-2020,
FUTSTK,AXISBANK,28-Jan-2021,0,XX,625.8,637,623,634.55,634.55,14397,109076.86,25114800,10273200,29-DEC-2020,
FUTSTK,AXISBANK,25-Feb-2021,0,XX,628,638.95,625.8,637.1,637.1,66,501.8,100800,1200,29-DEC-2020,
FUTSTK,BAJAJ-AUTO,31-Dec-2020,0,XX,3434.9,3458.85,3421,3436.6,3436.6,2935,25225.6,810500,-194250,29-DEC-2020,
FUTSTK,BAJAJ-AUTO,28-Jan-2021,0,XX,3464.45,3469.8,3432.65,3449.8,3449.8,1677,14470.6,881500,196000,29-DEC-2020,
FUTSTK,BAJAJ-AUTO,25-Feb-2021,0,XX,3453,3456,3451.05,3451.05,3454.8,4,34.53,3000,-1000,29-DEC-2020,
FUTSTK,BAJAJFINSV,31-Dec-2020,0,XX,9040.6,9085,8912.05,8998.85,8998.85,5628,63236.47,479375,-287875,29-DEC-2020,
FUTSTK,BAJAJFINSV,28-Jan-2021,0,XX,9070.25,9115,8951,9038.2,9038.2,3111,35086.17,469625,263500,29-DEC-2020,
FUTSTK,BAJAJFINSV,25-Feb-2021,0,XX,9092.05,9092.05,9030,9065,9036.9,8,90.61,5875,125,29-DEC-2020,
FUTSTK,BAJFINANCE,31-Dec-2020,0,XX,5224.25,5254.95,5173.35,5208.3,5208.3,14523,189346.45,2804500,-1143500,29-DEC-2020,
FUTSTK,BAJFINANCE,28-Jan-2021,0,XX,5223.25,5258,5180,5215.7,5215.7,9391,122552.44,3798250,1451500,29-DEC-2020,
FUTSTK,BAJFINANCE,25-Feb-2021,0,XX,5226,5250.05,5191,5211.9,5211.9,42,548.29,34250,2000,29-DEC-2020,
FUTSTK,BALKRISIND,31-Dec-2020,0,XX,1563.3,1591.9,1554,1563.8,1563.8,3420,21462.14,917200,-567600,29-DEC-2020,
FUTSTK,BALKRISIND,28-Jan-2021,0,XX,1571.5,1597,1562,1571.15,1571.15,2548,16050.56,998800,582800,29-DEC-2020,
FUTSTK,BALKRISIND,25-Feb-2021,0,XX,1574,1596.45,1570,1581.6,1570.1,25,158.04,31600,800,29-DEC-2020,
FUTSTK,BANDHANBNK,31-Dec-2020,0,XX,407.45,420.25,407.4,413.95,413.95,5162,38561.35,6327000,-1807200,29-DEC-2020,
FUTSTK,BANDHANBNK,28-Jan-2021,0,XX,409,422.05,408.95,415.7,415.7,3181,23875.65,4381200,1396800,29-DEC-2020,
FUTSTK,BANDHANBNK,25-Feb-2021,0,XX,419.8,422.6,414,418.2,418.2,15,113.13,75600,16200,29-DEC-2020,
FUTSTK,BANKBARODA,31-Dec-2020,0,XX,63,64.35,62.15,62.35,62.35,4972,25798.1,21361000,-6961800,29-DEC-2020,
FUTSTK,BANKBARODA,28-Jan-2021,0,XX,62.7,63.8,61.65,61.85,61.85,3206,23477.75,40528800,12893400,29-DEC-2020,
FUTSTK,BANKBARODA,25-Feb-2021,0,XX,63,63.6,61.75,61.9,61.9,223,1629.04,3708900,2351700,29-DEC-2020,
FUTSTK,BATAINDIA,31-Dec-2020,0,XX,1614.25,1616,1580,1589.55,1589.55,1377,12081.77,596200,-188650,29-DEC-2020,
FUTSTK,BATAINDIA,28-Jan-2021,0,XX,1617,1623.1,1585.85,1594.5,1594.5,983,8655.36,537900,144650,29-DEC-2020,
FUTSTK,BATAINDIA,25-Feb-2021,0,XX,1616.1,1616.1,1594,1594,1594,6,52.86,20900,2200,29-DEC-2020,
FUTSTK,BEL,31-Dec-2020,0,XX,115.65,116.3,114.5,114.9,114.9,1738,15246.53,14987200,-4924800,29-DEC-2020,
FUTSTK,BEL,28-Jan-2021,0,XX,116.2,116.8,114.9,115.45,115.45,1367,12043.53,17457200,2910800,29-DEC-2020,
FUTSTK,BEL,25-Feb-2021,0,XX,116.25,116.25,114.8,115.3,115.3,11,96.53,615600,53200,29-DEC-2020,
