INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,30-Apr-2020,0,XX,19284.7,19500,18817.65,19135.5,19135.5,271543,1040204.34,874480,-17380,31-MAR-2020,
FUTIDX,BANKNIFTY,28-May-2020,0,XX,19296.8,19550,18875,19211.45,19211.45,5610,21524.99,152200,-780,31-MAR-2020,
FUTIDX,BANKNIFTY,25-Jun-2020,0,XX,19251,19581,19000,19273.75,19273.75,160,617.04,2440,160,31-MAR-2020,
FUTIDX,NIFTY,30-Apr-2020,0,XX,8499.5,8715,8357,8620.95,8620.95,291903,1872377.24,9933750,-313200,31-MAR-2020,
FUTIDX,NIFTY,28-May-2020,0,XX,8441.25,8730.5,8380.15,8638.65,8638.65,8323,53520.32,1703325,39075,31-MAR-2020,
FUTIDX,NIFTY,25-Jun-2020,0,XX,8470.4,8734.45,8400.1,8641.45,8641.45,915,5888.03,83625,29025,31-MAR-2020,
FUTIDX,NIFTYIT,30-Apr-2020,0,XX,12459,12900,12459,12839,12839,38,243.6,1600,-150,31-MAR-2020,
FUTIDX,NIFTYIT,28-May-2020,0,XX,0,0,0,16357,12858,0,0,0,0,31-MAR-2020,
FUTIDX,NIFTYIT,25-Jun-2020,0,XX,0,0,0,12732,12904,0,0,0,0,31-MAR-2020,
FUTSTK,ACC,30-Apr-2020,0,XX,961.55,986,942.5,971.45,971.45,2670,10348.96,2018400,37600,31-MAR-2020,
FUTSTK,ACC,28-May-2020,0,XX,958.2,984.05,952.65,976.1,976.1,13,50.13,4800,-2000,31-MAR-2020,
FUTSTK,ACC,25-Jun-2020,0,XX,0,0,0,981.15,979.15,0,0,0,0,31-MAR-2020,
FUTSTK,ADANIENT,30-Apr-2020,0,XX,133,139,130.6,138.3,138.3,692,3739.72,16180000,236000,31-MAR-2020,
FUTSTK,ADANIENT,28-May-2020,0,XX,132,137,132,137,138.6,21,113.01,36000,16000,31-MAR-2020,
FUTSTK,ADANIENT,25-Jun-2020,0,XX,0,0,0,142.45,139.1,0,0,0,0,31-MAR-2020,
