SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
1018GS2026,GS,97,97,97,97,97,95.05,1,97,14-JAN-2022,1,IN0020010081,
20MICRONS,EQ,91.55,99.65,88.8,96.8,96.6,91.35,2453246,234030773.55,14-JAN-2022,31230,INE144J01027,
21STCENMGM,EQ,46.15,47.7,46,46.15,46,46.9,19795,916670.4,14-JAN-2022,297,INE253B01015,
3IINFOLTD,EQ,88.6,92.6,87.7,90.9,90.8,88.25,2272241,205332338.05,14-JAN-2022,12024,INE748C01038,
3MINDIA,EQ,25000,25170.4,24882.25,25093.7,25100,25267.6,2642,66298587.55,14-JAN-2022,1906,INE470A01017,
3PLAND,BE,26.15,26.15,24.85,24.85,24.85,26.15,38260,956025.05,14-JAN-2022,309,INE105C01023,
5PAISA,EQ,432,432,422,423.25,424,425.15,23431,9982648.3,14-JAN-2022,861,INE618L01018,
610GS2031,GS,98.25,100.25,96.5,100.25,100.25,98.2,3,295,14-JAN-2022,3,IN0020210095,
622GS2035,GS,94.06,94.06,94.06,94.06,94.06,94.07,97,9123.82,14-JAN-2022,1,IN0020200245,
63MOONS,EQ,310.35,338,310.35,338,338,321.95,439419,146387382.2,14-JAN-2022,7686,INE111B01023,
667GS2035,GS,99.25,99.25,98.5,98.5,98.5,99.95,2301,228298.5,14-JAN-2022,3,IN0020210152,
667GS2050,GS,96,96,95.99,95.99,96,96,4950,475195.34,14-JAN-2022,26,IN0020200252,
676GS2061,GS,103,103,100,100,101.5,102,1503,150306.5,14-JAN-2022,5,IN0020200401,
68GS2060,GS,104.9,104.9,104.4,104.4,104.4,106,42,4385.4,14-JAN-2022,5,IN0020200187,
695GS2061,GS,95.1,95.1,95.1,95.1,95.1,94.1,400,38040,14-JAN-2022,1,IN0020210202,
699GS2051,GS,99,99,98.5,98.51,98.5,99,660,65018.5,14-JAN-2022,5,IN0020210194,
706GS2046,GS,106.05,106.05,106.05,106.05,106.05,101,2,212.1,14-JAN-2022,1,IN0020160068,
727GS2026,GS,106,107.1,106,107.1,107.1,102,2,213.1,14-JAN-2022,2,IN0020190016,
A2ZINFRA,EQ,12.35,13,12.35,12.35,12.35,13,4064044,50713865.85,14-JAN-2022,3534,INE619I01012,
AAATECH,SM,68,68,68,68,68,67,3000,204000,14-JAN-2022,1,INE0D0U01013,
AAKASH,EQ,264.95,270,261.25,268.65,266,268.6,112923,30100926.1,14-JAN-2022,1456,INE087Z01016,
AAREYDRUGS,EQ,52.8,55.2,52.05,54.2,54.4,52.8,173635,9327762,14-JAN-2022,2244,INE198H01019,
AARON,EQ,136.55,136.55,131.05,133.5,134.9,133.85,5914,788237.35,14-JAN-2022,273,INE721Z01010,
AARTIDRUGS,EQ,522.8,529.3,522.8,527.45,527.8,526.55,80577,42408912.75,14-JAN-2022,4782,INE767A01016,
AARTIIND,EQ,1095,1116,1082,1098.15,1095.5,1106.5,344706,379679792.85,14-JAN-2022,14494,INE769A01020,
AARTISURF,EQ,1059,1059,1044.25,1052.3,1050,1051.7,7296,7678152.15,14-JAN-2022,1121,INE09EO01013,
AARVEEDEN,EQ,31,31.8,30.6,31.45,31.55,30.8,46515,1457600.45,14-JAN-2022,419,INE273D01019,
AARVI,EQ,90.6,92,87.4,91.25,92,91.2,20398,1854435.25,14-JAN-2022,260,INE754X01016,
AAVAS,EQ,2820,2820.75,2735.6,2770.95,2771,2845.35,76750,211856574.2,14-JAN-2022,15893,INE216P01012,
ABAN,EQ,49.7,50.1,49.1,49.55,49.6,50.3,129082,6394333.65,14-JAN-2022,1396,INE421A01028,
ABB,EQ,2290,2354,2290,2341.55,2345,2306.5,190526,444832890.95,14-JAN-2022,12094,INE117A01022,
ABBOTINDIA,EQ,17850,17950,17670,17690.45,17682,17809.9,17547,311825115.3,14-JAN-2022,5911,INE358A01014,
ABCAPITAL,EQ,133.1,136.4,132.75,133.5,133.65,133.4,4529973,608444757.25,14-JAN-2022,32734,INE674K01013,
ABCOTS,ST,46.7,46.7,46.7,46.7,46.7,44.5,20000,934000,14-JAN-2022,5,INE08PH01015,
ABFRL,EQ,306.5,312.8,304,308,307.2,308.45,4749708,1469176711.85,14-JAN-2022,54225,INE647O01011,
ABMINTLLTD,EQ,98.3,99.3,96.05,98.35,97.5,98.3,1363,133174.8,14-JAN-2022,118,INE251C01025,
ABSLAMC,EQ,574.85,587.95,567.6,586.6,586.1,571.85,354577,205750433.3,14-JAN-2022,15439,INE404A01024,
ABSLBANETF,EQ,38.5,38.5,37.7,38.24,38.25,38.29,3610,137247.53,14-JAN-2022,140,INF209KB17D5,
ABSLNN50ET,EQ,44.1,44.5,43.6,44.45,44.46,44.1,1671,74066.94,14-JAN-2022,79,INF209KB16D7,
ACC,EQ,2319.9,2374,2304.75,2358.1,2353.05,2314.15,676328,1592774618.9,14-JAN-2022,40268,INE012A01025,
ACCELYA,EQ,1101.3,1113.35,1069.55,1091.05,1088.8,1104.7,20062,21866826.4,14-JAN-2022,3072,INE793A01012,
ACCURACY,EQ,219.7,223.7,216,217.55,218.3,218.2,51289,11265095.1,14-JAN-2022,597,INE648Z01015,
ACE,EQ,230.8,234.5,229,232.05,231.5,230.8,259978,60428926.05,14-JAN-2022,6289,INE731H01025,
ACRYSIL,EQ,835.9,854.4,823.85,844.45,844.5,837.4,59484,50200211.2,14-JAN-2022,4310,INE482D01024,
ADANIENT,EQ,1850,1890.45,1831.1,1870.25,1868.95,1853.35,2357616,4402539546.4,14-JAN-2022,58570,INE423A01024,
ADANIGREEN,EQ,1657,1720.5,1637.05,1697.95,1690,1661.8,656706,1102595533,14-JAN-2022,30167,INE364U01010,
ADANIPORTS,EQ,769,795,763.65,780.1,783.5,772.2,9627761,7547029585.6,14-JAN-2022,147081,INE742F01042,
ADANIPOWER,EQ,116,119.7,115,117.15,116.7,116.45,15228552,1792988329.3,14-JAN-2022,71163,INE814H01011,
ADANITRANS,BE,1998,2030,1930,2020.6,2001.75,2019.7,55454,110373790.6,14-JAN-2022,5622,INE931S01010,
ADFFOODS,EQ,822.25,837.35,822,827.3,827,827.2,19063,15819092.9,14-JAN-2022,1241,INE982B01019,
ADL,BE,58.5,58.65,55.8,57,58.65,58.7,4443,248900.4,14-JAN-2022,53,INE0CHO01012,
ADORWELD,EQ,702.5,747.55,701.15,731.8,733,708.4,18075,13215600.2,14-JAN-2022,1788,INE045A01017,
ADROITINFO,BE,14.45,14.45,14.4,14.45,14.4,13.8,101083,1460541.2,14-JAN-2022,442,INE737B01033,
ADSL,EQ,167.4,168.5,160.6,162.55,163,165.35,273836,45043226.15,14-JAN-2022,6006,INE102I01027,
ADVANIHOTR,EQ,81,83.75,79.85,82,81.75,80.35,22650,1858570.7,14-JAN-2022,398,INE199C01026,
ADVENZYMES,EQ,328,334,327.4,332.45,333.6,327.35,105556,34858857.7,14-JAN-2022,3515,INE837H01020,
AEGISCHEM,EQ,215.8,228.25,214.8,227.25,226.7,214.8,2070541,461782472.75,14-JAN-2022,38799,INE208C01025,
AFFLE,EQ,1431,1511,1418.7,1480.3,1475,1436.5,1123159,1670766780.2,14-JAN-2022,89083,INE00WC01027,
AGARIND,EQ,521,521.4,500,508.2,510,511.25,55592,28359269.4,14-JAN-2022,3331,INE204E01012,
AGRITECH,EQ,66,72,65.7,68,70.8,69.15,14512,967145.7,14-JAN-2022,404,INE449G01018,
AGROPHOS,EQ,24.4,25.25,24.05,25.05,25.15,24.4,79262,1976472.4,14-JAN-2022,549,INE740V01019,
AHLADA,EQ,139.15,139.15,135,136.1,135,137.9,12930,1764602.05,14-JAN-2022,201,INE00PV01013,
AHLEAST,EQ,188,202,188,196.85,199.95,186.5,27653,5371239.05,14-JAN-2022,488,INE926K01017,
AHLUCONT,EQ,421.45,421.45,413.65,417.85,418.9,419.1,4396,1834689.7,14-JAN-2022,356,INE758C01029,
AIAENG,EQ,1864.65,1890,1852,1870.4,1874.65,1869.7,13833,25940866.6,14-JAN-2022,2149,INE212H01026,
AILIMITED,SM,25.5,25.5,25.5,25.5,25.5,25,3000,76500,14-JAN-2022,1,INE0CAJ01017,
AIRAN,EQ,25.6,25.6,23.75,23.8,23.95,24.85,1612449,39154311.8,14-JAN-2022,4176,INE645W01026,
AIROLAM,EQ,73.6,75.75,73.1,74.2,74.5,74,15261,1126967.5,14-JAN-2022,173,INE801L01010,
AIRTELPP,E1,388,388,375.5,382.5,382.4,387.6,280011,106729204.75,14-JAN-2022,1221,IN9397D01014,
AISL,SM,58.4,58.4,55.1,58.4,58.4,55.65,3600,206280,14-JAN-2022,3,INE635Y01015,
AJANTPHARM,EQ,2268.75,2317.2,2268.75,2307.1,2304.9,2299.45,36340,83665991.75,14-JAN-2022,5000,INE031B01049,
AJMERA,EQ,387,407.75,380,407.75,407.75,388.35,157297,63300503.95,14-JAN-2022,3498,INE298G01027,
AJOONI,EQ,75,75,70.7,72,72.65,74.25,158426,11630845,14-JAN-2022,1135,INE820Y01013,
AJRINFRA,BE,2.95,3.25,2.95,3.25,3.25,3.1,12672421,39636771.05,14-JAN-2022,7041,INE181G01025,
AKASH,BE,178.65,178.65,170.1,174.6,174.5,175.15,5147,896909.85,14-JAN-2022,96,INE737W01013,
AKG,EQ,56.7,56.95,55.6,55.85,56.15,55.25,36143,2030971.75,14-JAN-2022,307,INE00Y801016,
AKSHARCHEM,EQ,465.7,477.4,460.5,468.2,468.8,466.65,17782,8368883.35,14-JAN-2022,1140,INE542B01011,
AKSHOPTFBR,EQ,14,14.35,13.7,14.35,14.35,13.7,1103483,15684885.25,14-JAN-2022,1565,INE523B01011,
AKZOINDIA,EQ,1989.5,1996.6,1976.4,1979.75,1979.95,1979.8,9581,18979530.55,14-JAN-2022,897,INE133A01011,
ALANKIT,EQ,19.3,19.8,18.65,19.35,19.25,19.3,1221809,23692826.25,14-JAN-2022,3961,INE914E01040,
ALBERTDAVD,EQ,682.25,691.05,678,680.4,678.1,685.3,10674,7308431,14-JAN-2022,859,INE155C01010,
ALEMBICLTD,EQ,107.95,107.95,106.85,107.15,107.4,107,144871,15542155.25,14-JAN-2022,2093,INE426A01027,
ALICON,EQ,848.25,848.25,825,831.35,826.1,843.7,8930,7467108.95,14-JAN-2022,707,INE062D01024,
ALKALI,EQ,107.5,118.4,105.1,118.4,118.4,107.65,492896,56535112.3,14-JAN-2022,5610,INE773I01017,
ALKEM,EQ,3708.25,3712.4,3590,3625.1,3628,3697.45,149874,544506276.65,14-JAN-2022,10121,INE540L01014,
ALKYLAMINE,EQ,3782,3782.15,3710,3720.65,3718,3758.75,25918,96864981.75,14-JAN-2022,6107,INE150B01039,
ALLCARGO,EQ,364,371.4,357,364.6,364.5,364.1,249267,91181402.5,14-JAN-2022,9509,INE418H01029,
ALLSEC,EQ,646,652,635,645.25,643,644.65,34787,22364909.25,14-JAN-2022,5018,INE835G01018,
ALMONDZ,EQ,124.5,125,122.85,124.5,124.95,123.9,11459,1422939.4,14-JAN-2022,186,INE326B01027,
ALOKINDS,EQ,28.6,30.9,28.4,30.05,30.05,28.75,40716393,1221829826.7,14-JAN-2022,47375,INE270A01029,
ALPA,EQ,82.55,95.7,82.55,92.25,92.05,83.5,1268890,116751463.85,14-JAN-2022,16053,INE385I01010,
ALPHAGEO,EQ,391.9,402.5,389.2,392.7,393,392.75,21290,8423902.85,14-JAN-2022,1071,INE137C01018,
AMARAJABAT,EQ,645,650.8,637,639.05,637,642.8,1271804,818330471.75,14-JAN-2022,36399,INE885A01032,
AMBER,EQ,3480,3480,3441,3453.8,3458,3463.9,70472,243483000.35,14-JAN-2022,3167,INE371P01015,
AMBICAAGAR,EQ,24.7,26.8,23.9,25.75,25.8,24.25,218192,5657575.15,14-JAN-2022,1008,INE792B01012,
AMBIKCO,EQ,2175,2247.4,2116.65,2197.9,2190.15,2171.35,36616,80928854.4,14-JAN-2022,5048,INE540G01014,
AMBUJACEM,EQ,395.1,405,394.2,402.7,402,396.4,2146874,863018846.55,14-JAN-2022,32589,INE079A01024,
AMDIND,EQ,49,49,46.55,47.8,47.2,47.8,127389,6144248.35,14-JAN-2022,719,INE005I01014,
AMIORG,EQ,1121,1127,1098.95,1105.6,1102.05,1121.7,133271,148175327.75,14-JAN-2022,7565,INE00FF01017,
AMJLAND,EQ,35.5,35.65,33.6,34.7,34.8,35.5,68994,2385494.6,14-JAN-2022,594,INE606A01024,
AMJUMBO,SM,7.5,8.2,7.5,8.2,8.2,7.85,152000,1234000,14-JAN-2022,17,INE749Y01014,
AMRUTANJAN,EQ,917,925.5,911.8,915,912,917.7,22585,20689066.3,14-JAN-2022,3072,INE098F01031,
ANANDRATHI,EQ,623.9,629,616.55,622.95,619.7,619.9,166453,103694255.15,14-JAN-2022,3666,INE463V01026,
ANANTRAJ,EQ,76.75,81.7,76.75,81.7,81.7,77.85,2038012,164076951.75,14-JAN-2022,6170,INE242C01024,
ANDHRACEMT,EQ,17,18.1,16.6,17.55,17.7,17.3,1298043,22808214.45,14-JAN-2022,4016,INE666E01012,
ANDHRAPAP,EQ,219.9,220.5,218.15,219.8,219.75,218.3,30850,6777872.5,14-JAN-2022,709,INE435A01028,
ANDHRSUGAR,EQ,133.9,136.7,133,134.05,135.1,134.25,426599,57606098.05,14-JAN-2022,5426,INE715B01021,
ANDREWYU,EQ,27.5,28.8,27.1,28,28,27.5,825237,23157073.15,14-JAN-2022,3237,INE449C01025,
ANGELONE,EQ,1290,1340,1275.5,1322.05,1318.6,1287.8,1208657,1587338978.55,14-JAN-2022,39733,INE732I01013,
ANIKINDS,EQ,32.6,35.8,32.55,35,35.2,34.25,135207,4633112.45,14-JAN-2022,761,INE087B01017,
ANKITMETAL,BE,17.9,17.9,17.9,17.9,17.9,18.8,99793,1786294.7,14-JAN-2022,804,INE106I01010,
ANMOL,EQ,187.05,187.05,182.5,183.15,182.5,186.55,7762,1430550.65,14-JAN-2022,202,INE02AR01019,
ANSALAPI,EQ,12.2,12.95,12.2,12.6,12.6,12.6,139833,1768715.5,14-JAN-2022,437,INE436A01026,
ANSALHSG,BE,9.7,9.8,9.3,9.4,9.45,9.65,241524,2283072.75,14-JAN-2022,618,INE880B01015,
ANTGRAPHIC,BE,2.2,2.2,2.2,2.2,2.2,2.1,226690,498718,14-JAN-2022,110,INE414B01021,
ANUP,EQ,1200,1200,1150.15,1166.1,1169,1203.1,86085,100961078.2,14-JAN-2022,10588,INE294Z01018,
ANURAS,EQ,1032.65,1038,1018,1019.35,1019,1022.95,50587,51805488.85,14-JAN-2022,3242,INE930P01018,
APARINDS,EQ,780,807.55,768.5,796.7,798,778.85,105116,83549561.8,14-JAN-2022,11075,INE372A01015,
APCL,EQ,332,338.5,328.6,336.35,337,331.8,31761,10639230.5,14-JAN-2022,1413,INE071F01012,
APCOTEXIND,EQ,391.8,404,387.65,397.6,399.5,392.55,43350,17251170.95,14-JAN-2022,2657,INE116A01032,
APEX,EQ,338.4,349.9,335.5,338,340,337.85,351931,120728712.95,14-JAN-2022,15584,INE346W01013,
APLAPOLLO,EQ,930,940,919.85,937,936.95,925.2,366488,340587453.35,14-JAN-2022,19715,INE702C01027,
APLLTD,EQ,808,812,801.2,802.7,804.5,805.65,126683,102073633.05,14-JAN-2022,8501,INE901L01018,
APOLLO,BE,163.5,164.55,160,164.4,164.5,156.75,165482,27017737,14-JAN-2022,2460,INE713T01010,
APOLLOHOSP,EQ,4997.9,5015,4930,4974.05,4970,4983.35,207639,1031215968.5,14-JAN-2022,22865,INE437A01024,
APOLLOPIPE,EQ,593.8,604,585.1,590.95,590,592.1,159409,94908548.65,14-JAN-2022,9353,INE126J01016,
APOLLOTYRE,EQ,235.35,237.5,230.5,231.6,232,234.95,2592666,603220311.7,14-JAN-2022,20369,INE438A01022,
APOLSINHOT,EQ,849,876.25,825.05,854.8,855,836.25,2840,2398592.15,14-JAN-2022,221,INE451F01024,
APTECHT,EQ,420.65,429.7,420.4,426.75,427.6,421.75,144722,61560605.8,14-JAN-2022,4187,INE266F01018,
APTUS,EQ,350.05,375,350.05,366.4,366,351.35,1367860,504437117.95,14-JAN-2022,37602,INE852O01025,
ARCHIDPLY,EQ,50,54,49.8,54,54,51.45,86054,4554747.35,14-JAN-2022,652,INE877I01016,
ARCHIES,EQ,19.65,20.25,19.2,20,19.85,19.45,116286,2318599.3,14-JAN-2022,509,INE731A01020,
ARENTERP,BE,52,55.85,51.15,54.4,55.45,53.4,19227,1040734.35,14-JAN-2022,226,INE610C01014,
ARIES,EQ,163.35,166.5,161,161.9,162.1,162.45,58269,9480908.95,14-JAN-2022,1444,INE298I01015,
ARIHANT,EQ,42.5,43.9,41.1,43.15,43.5,42.3,154908,6545285.75,14-JAN-2022,1556,INE413D01011,
ARIHANTCAP,EQ,263,268.15,250,254,254.7,262.1,108434,27986675.8,14-JAN-2022,3744,INE420B01028,
ARIHANTSUP,EQ,182.3,187,178.5,185.05,184,182.3,177750,32474373.35,14-JAN-2022,2116,INE643K01018,
ARMANFIN,EQ,831.6,831.6,806.1,813.2,814,815.3,11005,8946246.6,14-JAN-2022,1442,INE109C01017,
AROGRANITE,EQ,80.05,82.9,79.65,81.4,81.3,80.55,81288,6638071.55,14-JAN-2022,997,INE210C01013,
ARROWGREEN,EQ,125.65,131.75,125.6,131.75,131.75,125.5,24035,3119631.45,14-JAN-2022,475,INE570D01018,
ARSHIYA,EQ,38.5,39.35,37.55,37.95,37.95,37.95,461341,17702929.15,14-JAN-2022,1622,INE968D01022,
ARSSINFRA,BE,40,42.35,40,41.8,42.35,41.25,38749,1604782.75,14-JAN-2022,313,INE267I01010,
ARTEMISMED,EQ,47.9,48.25,47,47.5,47.5,47.5,54581,2596402.95,14-JAN-2022,738,INE025R01021,
ARTNIRMAN,BE,126.4,126.4,126.4,126.4,126.4,120.4,3064,387289.6,14-JAN-2022,44,INE738V01013,
ARVEE,EQ,84.9,85.95,82.95,85.5,85.55,82.75,984,83687.9,14-JAN-2022,56,INE006Z01016,
ARVIND,EQ,135,143,134.05,141.95,141.5,135.5,3389628,475860239.75,14-JAN-2022,27531,INE034A01011,
ARVINDFASN,EQ,298,318,294.05,314.75,313,298.35,449592,138639293.75,14-JAN-2022,14655,INE955V01021,
ARVSMART,EQ,245,248.45,243,245.1,244.5,244.45,30653,7560222.4,14-JAN-2022,904,INE034S01021,
ASAHIINDIA,EQ,556,579.8,550.1,576.3,578,556.25,268628,152941657.7,14-JAN-2022,11883,INE439A01020,
ASAHISONG,EQ,305,312.7,303.55,305.9,308,306.25,22426,6924499.85,14-JAN-2022,1118,INE228I01012,
ASAL,BE,793.5,793.5,793.5,793.5,793.5,835.25,2859,2268616.5,14-JAN-2022,389,INE900C01027,
ASALCBR,EQ,519,532.25,517.5,528.05,526,519.5,96492,50809776.7,14-JAN-2022,6373,INE073G01016,
ASHAPURMIN,EQ,108.8,118,107.2,111.1,110.6,109,650470,73843862.2,14-JAN-2022,11800,INE348A01023,
ASHIANA,EQ,172.6,174.8,170.9,171.3,171.8,172.55,41016,7089954.15,14-JAN-2022,758,INE365D01021,
ASHIMASYN,EQ,21.1,21.65,20.1,20.55,20.45,21.1,671037,13904173.35,14-JAN-2022,1869,INE440A01010,
ASHOKA,EQ,104.7,106.85,103.5,103.95,103.8,104.55,2472133,259272963.85,14-JAN-2022,21293,INE442H01029,
ASHOKLEY,EQ,137.65,139.5,136.85,137.75,137.95,138.05,6053961,835780592.9,14-JAN-2022,38713,INE208A01029,
ASIANENE,EQ,153,169,153,165.25,165.8,153.3,688884,113624540.75,14-JAN-2022,9122,INE276G01015,
ASIANHOTNR,EQ,81.45,83.5,81.45,82.5,82.1,81.45,10392,856309.75,14-JAN-2022,303,INE363A01022,
ASIANPAINT,EQ,3462,3462,3346,3364.4,3364,3456.25,1558978,5247444521.9,14-JAN-2022,146062,INE021A01026,
ASIANTILES,EQ,123.9,130,123.4,129.5,128.9,122.65,1850090,235270098.45,14-JAN-2022,15038,INE022I01019,
ASPINWALL,EQ,158.45,158.45,155.1,156.3,156,155.7,7292,1139958.35,14-JAN-2022,202,INE991I01015,
