SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,87,87,84,85.05,85.6,87.15,137362,11685955.75,27-APR-2022,2438,INE144J01027,
21STCENMGM,EQ,29.65,29.65,28.65,28.65,28.65,29.2,5491,157471.65,27-APR-2022,47,INE253B01015,
3IINFOLTD,EQ,60.4,60.4,58.2,58.9,58.7,60.4,553416,32749006.1,27-APR-2022,5316,INE748C01038,
3MINDIA,EQ,20100,20100,19939.6,19968.6,19950,20008.6,1072,21425548,27-APR-2022,541,INE470A01017,
3PLAND,BE,18.6,18.6,17,17,17,17.85,4662,80187.85,27-APR-2022,47,INE105C01023,
579GS2030,GS,93,93,93,93,93,91.31,50,4650,27-APR-2022,1,IN0020200070,
5PAISA,EQ,366,373,360,366.8,367,374.6,59033,21681749.25,27-APR-2022,2578,INE618L01018,
610GS2031,GS,94.5,94.5,94.5,94.5,94.5,96.6,10,945,27-APR-2022,1,IN0020210095,
63MOONS,BE,244.75,244.75,244.75,244.75,244.75,257.6,9944,2433794,27-APR-2022,259,INE111B01023,
654GS2032,GS,98.5,98.7,98,98.7,98.7,98.5,171,16807.5,27-APR-2022,3,IN0020210244,
667GS2035,GS,97,97,97,97,97,97,6104,592088,27-APR-2022,6,IN0020210152,
667GS2050,GS,94.89,94.99,93.71,94.5,94.5,94,934,88263.58,27-APR-2022,5,IN0020200252,
676GS2061,GS,95.5,95.5,94,94,94,94,217,20454.8,27-APR-2022,9,IN0020200401,
68GS2060,GS,97.5,97.5,96.5,97.5,97.5,96.5,32,3090,27-APR-2022,3,IN0020200187,
699GS2051,GS,98.95,98.95,97.4,97.92,98.44,97.55,6,589.08,27-APR-2022,6,IN0020210194,
726GS2029,GS,103.1,103.1,103.1,103.1,103.1,104,500,51550,27-APR-2022,1,IN0020180454,
732GS2024,GS,101.01,101.01,100.01,100.01,100.01,100.01,300,30235.99,27-APR-2022,4,IN0020180488,
824GS2027,GS,108,108,103.61,107.5,107.5,103.27,1001,107627.11,27-APR-2022,8,IN0020060078,
835GS2022,GS,103.77,103.77,103.75,103.75,103.75,104.02,1000,103752.42,27-APR-2022,2,IN0020020072,
A2ZINFRA,EQ,14.2,14.9,13.85,14.1,14.1,14.55,1078195,15183442.05,27-APR-2022,1428,INE619I01012,
AAATECH,SM,69,69,69,69,69,72,3000,207000,27-APR-2022,1,INE0D0U01013,
AAKASH,EQ,29.9,29.9,28.1,28.9,28.85,29.85,348154,9991792.1,27-APR-2022,695,INE087Z01024,
AAREYDRUGS,EQ,43.8,43.95,42.3,42.9,43.2,43.8,22215,955457,27-APR-2022,429,INE198H01019,
AARON,EQ,123,123,116.1,117.45,116.1,119.65,3105,369189.15,27-APR-2022,130,INE721Z01010,
AARTIDRUGS,EQ,472.2,479.65,458.3,463.7,465,480.8,120476,56334248.9,27-APR-2022,6758,INE767A01016,
AARTIIND,EQ,890,893.65,869.3,876.3,877,895.65,785761,688940378.3,27-APR-2022,19720,INE769A01020,
AARTISURF,EQ,827.25,827.25,798.35,806.65,809,827.25,12554,10116439.45,27-APR-2022,1963,INE09EO01013,
AARVEEDEN,EQ,28.35,28.35,26.8,27.5,27.6,27.75,16866,458458,27-APR-2022,179,INE273D01019,
AARVI,EQ,115.65,115.65,113,114.85,115,115.35,11252,1291588.9,27-APR-2022,183,INE754X01016,
AAVAS,EQ,2325.4,2366.5,2275.55,2312.05,2306,2325.4,61838,143971684.65,27-APR-2022,11999,INE216P01012,
ABAN,EQ,64,67.8,62.7,64.35,64.5,64.4,761901,49709285.3,27-APR-2022,7814,INE421A01028,
ABB,EQ,2082,2094.9,2038,2084.65,2080,2087.85,111258,230016914.7,27-APR-2022,13140,INE117A01022,
ABBOTINDIA,EQ,17430.05,17597.45,17336.05,17413.65,17352,17542.3,5848,101905278.5,27-APR-2022,1663,INE358A01014,
ABCAPITAL,EQ,114.55,121.9,114.5,120.6,120.45,116.8,14264782,1701541740.9,27-APR-2022,58975,INE674K01013,
ABCOTS,SM,41,46,41,44.95,46,40,48000,2091000,27-APR-2022,12,INE08PH01015,
ABFRL,EQ,282,284.55,277.95,281.8,283.3,282.85,1885566,529051314.9,27-APR-2022,15843,INE647O01011,
ABMINTLLTD,EQ,96.3,102.1,96.3,98.8,97.6,99.05,2546,250439.95,27-APR-2022,379,INE251C01025,
ABSLAMC,EQ,518,533,517.3,530.15,532,540.25,155921,82185310.75,27-APR-2022,6672,INE404A01024,
ABSLBANETF,EQ,36.24,36.95,35.51,36.12,35.76,36.24,17176,616835.26,27-APR-2022,171,INF209KB17D5,
ABSLNN50ET,EQ,44.6,44.6,43.04,43.77,43.77,43.87,3988,173694.02,27-APR-2022,76,INF209KB16D7,
ACC,EQ,2306.2,2361.75,2263.05,2349.9,2343.95,2311.35,1043493,2430416737.2,27-APR-2022,45896,INE012A01025,
ACCELYA,EQ,976.95,983.2,965,968,968.6,979,16861,16408430.15,27-APR-2022,1930,INE793A01012,
ACCORD,SM,31.85,31.85,31.85,31.85,31.85,30.35,4000,127400,27-APR-2022,2,INE113X01015,
ACCURACY,EQ,210,215,203.9,212.8,215,213.6,30770,6463224.1,27-APR-2022,799,INE648Z01015,
ACE,EQ,242.9,246.9,236.55,243.6,244,243.95,628853,151773036.7,27-APR-2022,9805,INE731H01025,
ACEINTEG,SM,25.5,25.5,25.5,25.5,25.5,25,4500,114750,27-APR-2022,1,INE543V01017,
ACRYSIL,EQ,791.9,791.9,776.8,781.25,782.6,787.7,25545,20026039.65,27-APR-2022,2180,INE482D01024,
ADANIENT,EQ,2404.95,2420.95,2325,2334.1,2338,2395.3,2559876,6062305737.45,27-APR-2022,79776,INE423A01024,
ADANIGREEN,EQ,2955,2955,2821.5,2841.65,2835.3,2952.45,982473,2822287564.5,27-APR-2022,73936,INE364U01010,
ADANIPORTS,EQ,914.05,924.65,880,887.3,886,909.5,20793885,18781366274.4,27-APR-2022,320936,INE742F01042,
ADANIPOWER,EQ,298,299.9,276.65,299.2,299.9,285.65,44895283,13293258651.55,27-APR-2022,360693,INE814H01011,
ADANITRANS,EQ,2849.7,2870,2694.35,2712.2,2720,2812.55,603568,1673760969.8,27-APR-2022,48062,INE931S01010,
