SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,68.15,70.45,67.45,68.55,68.45,67.6,92908,6393657.9,27-JUN-2022,2245,INE144J01027,
21STCENMGM,EQ,24.6,24.6,24.6,24.6,24.6,24.15,160,3936,27-JUN-2022,7,INE253B01015,
3IINFOLTD,EQ,41.6,42.6,40.35,41.9,42.1,40.8,299521,12564383.95,27-JUN-2022,3514,INE748C01038,
3MINDIA,EQ,20700,20975,20100,20838.75,20650.5,20456.45,20933,428395338.5,27-JUN-2022,1639,INE470A01017,
3PLAND,EQ,14.55,14.55,13.85,13.85,13.85,13.95,1133,15948.9,27-JUN-2022,43,INE105C01023,
456GS2023,GS,97.8,97.8,97.8,97.8,97.8,97.5,100,9780,27-JUN-2022,2,IN0020210210,
563GS2026,GS,94,94.05,93.5,93.5,93.5,93.6,200,18757.75,27-JUN-2022,4,IN0020210012,
574GS2026,GS,97.9,97.9,97.9,97.9,97.9,95.9,10,979,27-JUN-2022,2,IN0020210186,
5PAISA,EQ,299.45,302.95,288,292.75,292.5,293.45,29210,8756205.6,27-JUN-2022,551,INE618L01018,
63MOONS,EQ,178,183.4,167.65,170.25,169.55,174.7,166000,29115455.15,27-JUN-2022,3387,INE111B01023,
654GS2032,GS,99,99,95,95,95,95.11,10310,1020461,27-JUN-2022,8,IN0020210244,
667GS2035,GS,95.9,95.9,95,95,95,93.5,2,190.9,27-JUN-2022,2,IN0020210152,
667GS2050,GS,93.59,93.59,90,92.44,92.44,90.99,1288,116373.57,27-JUN-2022,15,IN0020200252,
676GS2061,GS,96,96,96,96,96,96,30,2880,27-JUN-2022,2,IN0020200401,
695GS2061,GS,92.3,92.3,92.3,92.3,92.3,92.35,1042,96176.6,27-JUN-2022,4,IN0020210202,
699GS2051,GS,93.8,93.8,93.5,93.5,93.5,94.94,514,48059.3,27-JUN-2022,4,IN0020210194,
754GS2036,GS,100,100.02,100,100.02,100.02,100,5100,510100,27-JUN-2022,2,IN0020220029,
A2ZINFRA,EQ,10.05,10.4,10.05,10.4,10.4,9.95,207230,2153973.1,27-JUN-2022,140,INE619I01012,
AAATECH,SM,72.75,72.75,72.75,72.75,72.75,71.75,9000,654750,27-JUN-2022,1,INE0D0U01013,
AAKASH,EQ,15.35,16,15.25,15.25,15.25,16.05,305863,4709526.75,27-JUN-2022,944,INE087Z01024,
AAREYDRUGS,EQ,33.4,34,32.4,33.35,33.45,32.1,20952,699225.85,27-JUN-2022,215,INE198H01019,
AARON,EQ,116.6,116.6,114.05,115.55,115,114,2604,300157.55,27-JUN-2022,118,INE721Z01010,
AARTIDRUGS,EQ,397,407.8,393.15,400.3,400.65,392.15,63496,25417607.9,27-JUN-2022,4862,INE767A01016,
AARTIIND,EQ,716.55,726.5,715,723.95,725,712.45,785451,567584228,27-JUN-2022,22518,INE769A01020,
AARTISURF,EQ,633.2,648.4,622.35,628.4,645,623.7,19162,12110835.7,27-JUN-2022,1385,INE09EO01013,
AARVEEDEN,EQ,19.65,20.5,18.95,20.2,20.2,19,12016,239345.7,27-JUN-2022,98,INE273D01019,
AARVI,EQ,91.3,91.3,86.2,88,88.4,87.7,9850,871624.15,27-JUN-2022,138,INE754X01016,
AAVAS,EQ,2008.5,2022,1950,1963.8,1959.75,1998,78034,154878693.95,27-JUN-2022,14688,INE216P01012,
ABAN,EQ,45,45.7,44.75,45.05,45.15,44,76610,3456835.4,27-JUN-2022,1367,INE421A01028,
ABB,EQ,2304,2360,2273.05,2292.55,2288,2290.35,289818,668900303.9,27-JUN-2022,22623,INE117A01022,
ABBOTINDIA,EQ,18101.55,18298,17937.1,18000.35,18023.85,18058.45,12115,219187104.6,27-JUN-2022,4547,INE358A01014,
ABCAPITAL,EQ,92.5,93.95,91.3,92.3,92.7,90.75,2362509,218503263.95,27-JUN-2022,13444,INE674K01013,
ABFRL,EQ,244.95,244.95,240,242.05,242,239.75,1477705,358394781.1,27-JUN-2022,16760,INE647O01011,
ABMINTLLTD,BE,87,87,79.6,79.6,79.6,83.7,130,11240,27-JUN-2022,8,INE251C01025,
ABSLAMC,EQ,403,407,403,406.4,406.45,400.8,34563,14029176.85,27-JUN-2022,1721,INE404A01024,
ABSLBANETF,EQ,33.75,34.69,33.75,33.88,33.93,33.7,1369,46448.3,27-JUN-2022,138,INF209KB17D5,
ABSLNN50ET,EQ,38.97,38.97,37.5,37.89,37.87,37.35,1950,74194.45,27-JUN-2022,79,INF209KB16D7,
ACC,EQ,2114.95,2128.2,2103,2115.85,2110.7,2098.2,235386,498121150.85,27-JUN-2022,16596,INE012A01025,
ACCELYA,EQ,895.45,919.8,889,894.75,893,886.6,12647,11439638.2,27-JUN-2022,1130,INE793A01012,
ACCORD,SM,23.5,23.5,23.5,23.5,23.5,24.7,4000,94000,27-JUN-2022,2,INE113X01015,
ACCURACY,EQ,208.95,213.8,198.4,202.9,203,206.95,58005,11787888.25,27-JUN-2022,2769,INE648Z01015,
ACE,EQ,216.95,217.85,213.05,214.55,213.8,214.7,112639,24238453.7,27-JUN-2022,2810,INE731H01025,
ACRYSIL,EQ,577.7,587,559,565.1,560.5,557.6,161395,91970018.85,27-JUN-2022,10164,INE482D01024,
ADANIENT,EQ,2189,2211,2169.35,2181.6,2182,2161.45,1202504,2631570083.3,27-JUN-2022,37716,INE423A01024,
ADANIGREEN,EQ,1880,1925,1875.05,1917.65,1912,1857.6,1251839,2388189632.1,27-JUN-2022,60528,INE364U01010,
ADANIPORTS,EQ,698,698.7,684.9,687.75,685.75,686.4,2711512,1877812831.95,27-JUN-2022,44609,INE742F01042,
ADANIPOWER,EQ,270.95,277.65,268.2,272.9,272.45,264.45,12506733,3414722999.9,27-JUN-2022,93461,INE814H01011,
ADANITRANS,EQ,2162.55,2179.95,2118.05,2140.55,2135.8,2152.1,170984,367151922.35,27-JUN-2022,13809,INE931S01010,
ADFFOODS,EQ,712,720,709.85,716.1,715.95,706.5,6503,4653985.75,27-JUN-2022,430,INE982B01019,
ADL,BE,59.5,62.1,57,58.8,59.7,59.25,2002,116668.9,27-JUN-2022,39,INE0CHO01012,
ADORWELD,EQ,644.45,650,633,638.75,650,631.85,4708,3017005.95,27-JUN-2022,704,INE045A01017,
ADROITINFO,EQ,15.4,15.4,15.4,15.4,15.4,14.7,11963,184230.2,27-JUN-2022,27,INE737B01033,
ADSL,EQ,124.35,126.8,123.45,124,123.5,122.25,95474,11927295.5,27-JUN-2022,2803,INE102I01027,
ADVANIHOTR,EQ,64.95,67.95,64.35,67.2,67.8,63.75,19760,1302850.9,27-JUN-2022,445,INE199C01026,
ADVENZYMES,EQ,273.7,278.85,271.7,275.7,276.1,268.4,48511,13381936.15,27-JUN-2022,2531,INE837H01020,
AEGISCHEM,EQ,217,217,210.8,212.45,211.2,210.1,257968,54976496.65,27-JUN-2022,7260,INE208C01025,
AETHER,EQ,770.05,775.75,759.3,765.4,766.9,764,64118,49159565.75,27-JUN-2022,5770,INE0BWX01014,
AFFLE,EQ,1046.25,1047.4,1020.8,1041.05,1042,1025.75,276316,285782337.6,27-JUN-2022,15871,INE00WC01027,
AGARIND,EQ,453.3,481.9,446.85,455.9,463,443.9,48044,22576553.45,27-JUN-2022,3137,INE204E01012,
AGI,EQ,197.65,209.95,197.65,207.3,206,195.05,133354,27320374.5,27-JUN-2022,5177,INE415A01038,
AGRITECH,EQ,68.85,69.85,66.3,68.9,66.3,66.55,7963,551019.15,27-JUN-2022,135,INE449G01018,
