SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
182D090524,TB,96.81,96.81,96.81,96.81,96.81,96.84,600,58086,24-NOV-2023,4,IN002023Y334,
182D140324,TB,98.07,98.07,98.07,98.07,98.07,97.77,100,9807,24-NOV-2023,1,IN002023Y250,
182D160524,TB,96.58,96.64,96.58,96.64,96.64,96.64,200,19322,24-NOV-2023,2,IN002023Y342,
182D180424,TB,97.14,97.14,97.14,97.14,97.14,97.14,900,87426,24-NOV-2023,2,IN002023Y300,
182D230524,TB,95,96.6,95,96.6,96.6,96.58,500,48110,24-NOV-2023,5,IN002023Y359,
20MICRONS,BE,180,184.7,180,182.5,183,178.7,90734,16621007.55,24-NOV-2023,688,INE144J01027,
21STCENMGM,EQ,22.5,22.5,22.35,22.5,22.5,22.1,14838,333621.1,24-NOV-2023,80,INE253B01015,
360ONE,EQ,540.7,552.7,536.85,543.1,543.6,540.3,201774,110083583.95,24-NOV-2023,13900,INE466L01038,
364D110124,TB,98.93,98.93,98.93,98.93,98.93,98.87,100,9893,24-NOV-2023,1,IN002022Z416,
364D130624,TB,96.2,96.2,96.2,96.2,96.2,96.37,2000,192400,24-NOV-2023,1,IN002023Z125,
364D141124,TB,93.47,93.47,93.47,93.47,93.47,93.4,500,46735,24-NOV-2023,1,IN002023Z356,
3IINFOLTD,EQ,48.65,50.95,46.55,47.1,47.3,48.45,15201040,742629992.1,24-NOV-2023,29773,INE748C01038,
3MINDIA,EQ,30600,30769.55,30230,30325.2,30448,30721.55,1311,39978200.05,24-NOV-2023,699,INE470A01017,
3PLAND,EQ,29.65,30.7,29.25,29.95,30.15,29.5,28011,837098.3,24-NOV-2023,875,INE105C01023,
574GS2026,GS,96,97,96,97,97,97,303,29191,24-NOV-2023,3,IN0020210186,
5PAISA,EQ,456.6,503.5,454.8,498.85,503.5,454.6,956754,467867445.7,24-NOV-2023,48660,INE618L01018,
