INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,24-Apr-2024,0,XX,47750,47750,47422,47660.95,47660.95,122845,876889.43,1830375,-20160,16-APR-2024,
FUTIDX,BANKNIFTY,29-May-2024,0,XX,47800,48010,47735.55,47944.95,47944.95,17717,127217.37,437430,33870,16-APR-2024,
FUTIDX,BANKNIFTY,26-Jun-2024,0,XX,48220,48323.7,48050.05,48257.55,48257.55,3368,24345.94,64875,10590,16-APR-2024,
FUTIDX,FINNIFTY,30-Apr-2024,0,XX,21061.15,21222.3,21028.65,21183.15,21183.15,3032,25616.63,59000,7280,16-APR-2024,
FUTIDX,FINNIFTY,28-May-2024,0,XX,21166,21323.55,21134.95,21283.5,21283.5,99,840.53,13040,560,16-APR-2024,
FUTIDX,FINNIFTY,25-Jun-2024,0,XX,21375.8,21403.55,21355.3,21386.45,21386.45,16,136.79,560,80,16-APR-2024,
FUTIDX,MIDCPNIFTY,29-Apr-2024,0,XX,10705.35,10847.8,10697.75,10752.4,10752.4,7670,62019.87,1752975,-9225,16-APR-2024,
FUTIDX,MIDCPNIFTY,27-May-2024,0,XX,10763,10878.8,10750.05,10784.25,10784.25,525,4257.69,49875,7275,16-APR-2024,
FUTIDX,MIDCPNIFTY,24-Jun-2024,0,XX,10800.05,10890,10770.55,10808.45,10808.45,151,1227.66,8925,-1650,16-APR-2024,
FUTIDX,NIFTY,25-Apr-2024,0,XX,22176.55,22249.8,22113.85,22200.75,22200.75,157026,1742937.71,11034550,-588350,16-APR-2024,
FUTIDX,NIFTY,30-May-2024,0,XX,22365,22404.95,22270.15,22356.4,22356.4,17326,193615.9,2395750,230550,16-APR-2024,
FUTIDX,NIFTY,27-Jun-2024,0,XX,22503,22550,22408.55,22481.85,22481.85,6516,73248.29,426250,74950,16-APR-2024,
FUTSTK,AARTIIND,25-Apr-2024,0,XX,727,760.85,727,750.35,750.35,5887,44028.03,12070000,91000,16-APR-2024,
FUTSTK,AARTIIND,30-May-2024,0,XX,734.15,766,734.15,755.9,755.9,1090,8225.29,2868000,281000,16-APR-2024,
FUTSTK,AARTIIND,27-Jun-2024,0,XX,740.1,769.2,740.1,761,761,27,204.88,61000,4000,16-APR-2024,
FUTSTK,ABB,25-Apr-2024,0,XX,6580,6679.5,6525,6656.85,6656.85,3133,25866.69,869875,-35500,16-APR-2024,
FUTSTK,ABB,30-May-2024,0,XX,6578.25,6698.75,6555,6682.5,6682.5,324,2686.4,36750,5125,16-APR-2024,
FUTSTK,ABB,27-Jun-2024,0,XX,6645.3,6735,6605,6733.3,6733.3,9,74.87,5375,500,16-APR-2024,
FUTSTK,ABBOTINDIA,25-Apr-2024,0,XX,26000,26446.55,26000,26187.7,26187.7,524,5502.09,192360,-160,16-APR-2024,
FUTSTK,ABBOTINDIA,30-May-2024,0,XX,26338,26662.55,26300,26404,26404,216,2287.63,14640,5320,16-APR-2024,
FUTSTK,ABBOTINDIA,27-Jun-2024,0,XX,0,0,0,26713.45,26519.95,0,0,400,0,16-APR-2024,
FUTSTK,ABCAPITAL,25-Apr-2024,0,XX,209.15,211,200.95,203.7,203.7,7671,85474.43,49323600,1717200,16-APR-2024,
