Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,05-02-2024,21921.05,21964.3,21726.95,21771.7,-82.1,-.38,440849699,33807.94,22.39,3.81,1.21
Nifty Next 50,05-02-2024,56330.55,56535.35,55463.5,55669.85,-270.45,-.48,468212848,16326.8,24.57,4.47,1.22
Nifty 100,05-02-2024,22284.15,22329.7,22064.15,22113.4,-85.6,-.39,915604325,50541.12,22.97,3.95,1.19
Nifty 200,05-02-2024,12063.5,12091.65,11949.35,11975.65,-41.55,-.35,2749478264,82004.32,23.39,3.93,1.13
Nifty 500,05-02-2024,19989.65,20044,19805.75,19853.5,-57.3,-.29,5177876323,118400.66,24.17,3.99,1.1
Nifty Midcap 50,05-02-2024,13728.3,13799.45,13625,13700.05,42.35,.31,642524714,14810.05,21.93,3.72,1.02
NIFTY Midcap 100,05-02-2024,48668.65,48876.4,48296.1,48410.2,-66.8,-.14,1833873939,31463.2,25.86,3.88,.82
NIFTY Smallcap 100,05-02-2024,16376.15,16531.75,16220.45,16319.75,41.9,.26,1712250282,23388.83,29.98,4.03,.95
Nifty50 Dividend Points,05-02-2024,-,-,-,191.41,0.0,-,-,-,-,-,-
Nifty Auto,05-02-2024,19655.85,19823.35,19529.2,19615.3,234.8,1.21,115089413,7322.17,27.14,5.62,.85
Nifty Bank,05-02-2024,45962.25,46048.6,45615.1,45825.55,-145.4,-.32,265909716,11202.01,15.07,2.67,.81
Nifty Energy,05-02-2024,38395.45,39045.3,38028.85,38481.3,403.6,1.06,264930913,9224.26,13.07,2.48,2.13
Nifty Financial Services,05-02-2024,20441.35,20458.05,20260,20315.85,-118.2,-.58,133559363,12374.07,16.87,3.18,.82
Nifty FMCG,05-02-2024,55340.4,55387.9,54590.6,54698.4,-420.0,-.76,26675833,2568.33,43.41,11.35,1.86
Nifty IT,05-02-2024,37441,37574.45,37097.95,37162.15,-161.1,-.43,15430785,2865.2,31.79,8.07,1.91
Nifty Media,05-02-2024,2146.4,2167.7,2117.85,2124.2,-4.85,-.23,172775197,1005.87,-,2.27,.4
Nifty Metal,05-02-2024,8120.55,8226.45,8059.25,8109.55,31.3,.39,341613132,7088.92,28.09,2.38,2.32
Nifty MNC,05-02-2024,24391.65,24426.6,24107.3,24146.3,-162.85,-.67,78661360,3899.98,40.09,8.38,1.87
Nifty Pharma,05-02-2024,18034.2,18379.8,17979.55,18292.95,320.85,1.79,35021232,3691.86,36.14,4.98,.7
Nifty PSU Bank,05-02-2024,6622.05,6714.55,6537.85,6582.0,-27.75,-.42,1101974704,11047.52,8.9,1.52,1.61
Nifty Realty,05-02-2024,854.2,871.7,853.9,862.75,6.55,.77,14107676,1462.18,55.27,5.49,.26
Nifty India Consumption,05-02-2024,9673.9,9696.4,9536.35,9553.55,-79.55,-.83,76895491,8316.03,44.16,8.19,1.04
Nifty Commodities,05-02-2024,8157.1,8216.35,8072.8,8112.9,7.05,.09,522600122,16526.51,14.86,2.35,1.84
Nifty Dividend Opportunities 50,05-02-2024,5806.05,5855.65,5768.5,5791.5,20.55,.36,1538670816,31295.72,17.52,3.65,2.54
Nifty Infrastructure,05-02-2024,7987.15,8018.05,7884.35,7913.1,-33.05,-.42,416905649,17446.99,19.87,3.11,1.08
Nifty PSE,05-02-2024,9111.25,9334.9,9034.45,9189.2,184.2,2.05,1212480676,23477.72,10.46,2.37,2.69
Nifty Services Sector,05-02-2024,27593,27630.1,27337.1,27402.6,-140.75,-.51,247621999,18284.39,21.53,4.03,1.13
Nifty50 Shariah,05-02-2024,-,-,-,4780.96,-9.43,-.2,194300370,9654.98,28.43,5.08,1.84
Nifty500 Shariah,05-02-2024,-,-,-,6608.09,-19.35,-.29,1064892889,35836.29,32.06,5.35,1.3
Nifty Low Volatility 50,05-02-2024,-,-,-,21473.98,-11.63,-.05,320403704,23031.14,26.41,4.68,1.21
Nifty Alpha 50,05-02-2024,47227.1,47362.5,46519.25,46752.0,-334.15,-.71,1229644186,22185,27.55,4.21,.84
Nifty High Beta 50,05-02-2024,-,-,-,3658.76,-17.25,-.47,1045434117,25985.51,17.52,2.16,1.55
Nifty100 Equal Weight,05-02-2024,27937.75,28024.75,27626.1,27700.5,-89.05,-.32,915604325,50541.12,23.9,4.16,1.24
Nifty100 Liquid 15,05-02-2024,6115.1,6132.35,6015.5,6025.45,-57.2,-.94,188786253,14607.94,25.33,3.44,.79
Nifty CPSE,05-02-2024,5716.25,5880.9,5672.75,5758.75,110.95,1.96,1140457360,17711.05,12.53,2.42,3.17
Nifty50 Value 20,05-02-2024,12175.8,12244.15,12108.25,12141.4,-4.5,-.04,290279236,12855.53,18.99,3.53,2.15
Nifty Midcap Liquid 15,05-02-2024,11255.5,11293.4,11121.75,11193.6,-17.6,-.16,187063946,5778.95,19.89,3.24,.91
Nifty Shariah 25,05-02-2024,-,-,-,7771.38,-18.73,-.24,196037931,10552.72,26.01,4.92,1.76
India VIX,05-02-2024,14.6975,16.05,14.6975,15.62,0.92,6.26,-,-,-,-,-
Nifty Growth Sectors 15,05-02-2024,11066.35,11112.3,10983.6,11003.2,-31.5,-.29,93797915,6193.42,33.3,8.43,1.75
Nifty50 TR 1x Inverse,05-02-2024,183.5,185.15,183.15,184.75,0.75,.41,-,-,-,-,-
Nifty50 TR 2x Leverage,05-02-2024,17108.55,17174.45,16807.2,16876.05,-136.45,-.8,-,-,-,-,-
Nifty50 PR 1x Inverse,05-02-2024,219,220.9,218.55,220.5,0.95,.43,-,-,-,-,-
Nifty50 PR 2x Leverage,05-02-2024,11988.45,12034.65,11777.25,11825.5,-95.65,-.8,-,-,-,-,-
NIFTY100 Quality 30,05-02-2024,5053.05,5063.4,5005.9,5017.15,-17.0,-.34,119534937,11228.27,30.65,8.2,1.77
Nifty 50 Futures Index,05-02-2024,-,-,-,6281.42,-42.62,-.67,-,-,-,-,-
NIFTY50 Equal Weight,05-02-2024,27531.15,27630.45,27290.9,27355.4,-56.25,-.21,440849699,33807.94,21.77,3.74,1.35
